"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACAD-174","Innovators Forum","","1.0 units, max 2","Lecture","10200D","001","5:00-5:50pm","Monday","113","106","0","Brian Shepard","GFS106"
"ACAD-175","Innovators Roundtable","","1.0 units, max 2","Lecture","10201D","001","6:00-7:20pm","Monday","31","31","0","Brian Shepard","GFS106"
"ACAD-176","Rapid Visualization","","4.0 units","Lecture","10202D","001","2:00-4:50pm","Tue, Thu","31","31","0","Osvaldo Trujillo","SKS404"
"ACAD-177","Digital Toolbox for Design","M","2.0 units","Lecture","10203D","635","11:00-12:20pm","Tue, Thu","31","31","0","Stephen Child","SKS404"
"ACAD-178","Digital Toolbox: Motion Graphics","M","2.0 units","Lecture","10204D","648","11:00-12:20pm","Tue, Thu","31","31","0","Shane Acker","SKS404"
"ACAD-181","Disruptive Innovation","M","4.0 units","Lecture","10207D","001","10:00-11:40am","Mon, Wed","31","31","0","Andrea Belz","SKS404"
"ACAD-200a","Recording Arts Workshop","M","4.0 units","Lecture-Lab","44205D","001","12:00-1:50pm","Mon, Wed","1","0","0","Richard Mc Ilvery",""
"","","","","Lecture-Lab","44206D","001","10:00-11:50am","Mon, Wed","1","0","0","Richard Mc Ilvery",""
"ACAD-200b","Recording Arts Workshop","M","4.0 units","Lecture","44217D","001","10:00-11:50am","Tuesday","1","0","0","Andrew Garver",""
"","","","","Lab","44218D","001","10:00-11:50am","Thursday","1","0","0","Andrew Garver",""
"","","","","Lab","44219D","001","12:00-1:50pm","Thursday","1","0","0","Andrew Garver",""
"ACAD-206","Communication and Culture","","4.0 units","Lecture","20388D","001","12:30-1:50pm","Tue, Thu","120","120","0","Alison Trope","ANN L105A"
"","","","","Discussion","20389D","001","8:00-8:50am","Monday","20","20","0","Melina Sherman","ANN211"
"","","","","Discussion","20391D","001","9:00-9:50am","Monday","21","20","0","Melina Sherman","ANN309"
"","","","","Discussion","20392D","001","10:00-10:50am","Monday","20","20","0","Kari Storla","ANN309"
"","","","","Discussion","20393D","001","10:00-10:50am","Monday","20","20","0","Emma Bloomfield","ANN408"
"","","","","Discussion","20394D","001","11:00-11:50am","Monday","20","20","0","Emma Bloomfield","ANN408"
"","","","","Discussion","20395D","001","11:00-11:50am","Monday","20","20","0","Kari Storla","ANN309"
"","","","","Discussion","20396D","001","11:00-11:50am","Friday","20","0","0","",""
"","","","","Discussion","20398D","001","12:00-12:50pm","Friday","20","0","0","",""
"ACAD-230","3D Design: Materials and Tools","P","4.0 units","Lecture-Lab","33331D","001","2:00-4:50pm","Mon, Wed","18","12","0","Alexis Zoto","HAR112D"
"ACAD-303","Web Design","P","2.0 units","Lecture-Lab","33327D","001","12:00-1:20pm","Mon, Wed","17","17","0","Jeffrey Cain","HAR112D"
"","","","","Lecture-Lab","33333D","001","6:00-7:20pm","Mon, Wed","16","12","0","Jody Zellen","WAH6"
"","","","","Lecture-Lab","33335D","001","6:00-7:20pm","Tue, Thu","16","16","0","Jeffrey Cain","HAR112D"
"ACAD-306","Innovation, Entertainment, and the Arts","","4.0 units","Lecture","20480D","001","3:30-4:50pm","Mon, Wed","90","69","0","Jonathan Taplin","ANN L105A"
"ACAD-315x","Basics of Project and Operations Management for Non-Majors","M","2.0 units","Lecture","14976R","431","6:00-7:50pm","Tue, Thu","32","29","0","Hiroshi Ochiumi","HOH302"
"ACAD-323","Design Theory","","4.0 units","Lecture","33329D","001","12:00-1:50pm","Tue, Thu","20","20","0","Andrew Kutchera","WAH105"
"ACAD-332","Typography","","2.0 units","Lecture-Lab","33214D","001","2:00-4:50pm","Friday","20","18","0","Joseph Potts","WAH105"
"","","","","Lecture-Lab","33326D","001","9:00-11:50am","Friday","20","16","0","Joseph Potts","WAH105"
"ACAD-342","Mobile Application Development","P","3.0 units","Lecture-Lab","31890R","001","2:00-3:50pm","Mon, Wed","80","38","0","Trina Gregory","KAP160"
"ACAD-366","Designing Media and Communication Projects for Social Change","","4.0 units","Lecture","20994D","914","10:00-1:00pm","Wednesday","20","8","0","Lisa Robinson, Sabrina Chong","OFF CAMPUS"
"ACAD-375","Business and Professional Communication","","4.0 units","Lecture","20576D","001","11:00-12:20pm","Tue, Thu","18","18","0","Laurel Felt","ANN309"
"","","","","Lecture","20577D","001","3:30-4:50pm","Mon, Wed","18","15","0","Paula Patnoe-Woodley","ANN409ABC"
"","","","","Lecture","20578D","001","10:00-11:50am","Mon, Wed","18","18","0","Jillian Pierson","ANN409ABC"
"ACAD-423","Management of Small Businesses","","4.0 units","Lecture","14373D","001","12:00-1:50pm","Mon, Wed","70","69","0","Greg Autry","HOH2"
