"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ACCT-370","External Financial Reporting Issues","P","4.0 units","Lecture","14025D","001","12:00-1:50pm","Mon, Wed","42","42","0","Elizabeth Chuk","ACC310"
"","","","","Lecture","14026D","001","2:00-3:50pm","Mon, Wed","42","41","0","Elizabeth Chuk","ACC310"
"","","","","Lecture","14027D","001","4:00-5:50pm","Mon, Wed","40","32","0","Elizabeth Chuk","ACC310"
"","","","","Lab","14029D","001","10:00-11:50am","Friday","135","115","0","Elizabeth Chuk","THH201"
"ACCT-371","Introduction to Accounting Systems","P","4.0 units","Lecture","14040D","001","8:00-9:50am","Tue, Thu","40","29","0","Leslie Porter","HOH301"
"","","","","Lecture","14041D","001","10:00-11:50am","Tue, Thu","40","42","0","Leslie Porter","ACC310"
"","","","","Lecture","14042D","001","12:00-1:50pm","Tue, Thu","40","40","0","Leslie Porter","ACC310"
"","","","","Discussion","14044D","001","10:00-11:50am","Friday","150","111","0","Leslie Porter","THH201"
"ACCT-372","Internal Reporting Issues","P","2.0 units","Lecture","14050D","442","4:00-5:50pm","Tue, Thu","46","44","0","Cecil Jackson","ACC303"
"","","","","Lecture","14051D","442","10:00-11:50am","Tue, Thu","46","47","0","Cecil Jackson","ACC303"
"","","","","Lecture","14052D","442","12:00-1:50pm","Tue, Thu","46","46","0","Cecil Jackson","ACC303"
"","","","","Lab","14053D","442","12:00-1:50pm","Friday","269","136","0","Cecil Jackson","HOH EDI"
"ACCT-373","Introduction to Auditing and Assurance Services","P","2.0 units","Lecture","14055D","431","10:00-11:50am","Tue, Thu","46","46","0","Rose Layton","ACC303"
"","","","","Lecture","14056D","431","12:00-1:50pm","Tue, Thu","46","45","0","Rose Layton","ACC303"
"","","","","Lecture","14057D","431","8:00-9:50am","Tue, Thu","46","42","0","Rose Layton","ACC303"
"","","","","Discussion","14058R","431","12:00-1:50pm","Friday","269","133","0","Rose Layton","HOH EDI"
"ACCT-374","Introduction to Tax Issues","P","2.0 units","Lecture","14060D","431","8:00-9:50am","Mon, Wed","45","39","0","Charles Swenson","ACC310"
"","","","","Lecture","14061D","431","10:00-11:50am","Mon, Wed","51","49","0","Charles Swenson","ACC310"
"","","","","Lecture","14062D","431","12:00-1:50pm","Mon, Wed","45","44","0","Charles Swenson","HOH421"
"","","","","Lecture","14063R","431","12:00-1:50pm","Friday","1","0","0","Charles Swenson",""
"ACCT-377","Valuation for Financial Statement Purposes","P","2.0 units","Lecture","14065R","442","12:00-1:50pm","Tue, Thu","37","36","0","Thomas Ryan","ACC205"
"","","","","Lecture","14066R","442","8:00-9:50am","Tue, Thu","45","39","0","Thomas Ryan","ACC303"
"ACCT-410x","Foundations of Accounting","","4.0 units","Lecture","14091D","001","10:00-11:50am","Tue, Thu","40","39","0","Maria Loumioti","HOH422"
"","","","","Lecture","14092D","001","8:00-9:50am","Mon, Wed","1","0","0","",""
"","","","","Lecture","14093D","001","12:00-1:50pm","Tue, Thu","40","39","0","Maria Loumioti","HOH422"
"","","","","Lecture","14094D","001","2:00-3:50pm","Mon, Wed","39","39","0","John Karayan","ACC236"
"","","","","Lecture","14096D","001","10:00-11:50am","Mon, Wed","40","40","0","John Karayan","HOH301"
"","","","","Lecture","14098D","001","4:00-5:50pm","Tue, Thu","40","32","0","Maria Loumioti","HOH422"
"ACCT-415","Intermediate Financial Accounting for Non-Accounting Majors","PM","4.0 units","Lecture","14102D","001","10:00-11:50am","Mon, Wed","45","41","0","Tom Ryan","HOH421"
"ACCT-462","Detecting Fraudulent Financial Reporting","P","2.0 units","Lecture","14183D","431","4:00-5:50pm","Mon, Wed","42","38","0","Cecil Jackson","HOH303"
"","","","","Lecture","14184D","431","12:00-1:50pm","Mon, Wed","35","35","0","Cecil Jackson","ACC205"
"","","","","Lecture","14185D","431","10:00-11:50am","Mon, Wed","39","39","0","Cecil Jackson","ACC236"
"ACCT-463","Internal Audit","P","2.0 units","Lecture","14186R","442","10:00-11:50am","Tue, Thu","36","35","0","Rose Layton","ACC205"
"ACCT-470","Advanced External Financial Reporting Issues","P","4.0 units","Lecture","14120D","001","2:00-3:50pm","Mon, Wed","46","46","0","Kendall Simmonds","ACC303"
"","","","","Lecture","14121D","001","4:00-5:50pm","Mon, Wed","46","37","0","Kendall Simmonds","ACC303"
"","","","","Discussion","14123R","001","2:00-3:50pm","Friday","269","83","0","Kendall Simmonds","HOH EDI"
"ACCT-473","Financial Statement Auditing","P","2.0 units","Lecture","14135R","442","12:00-1:50pm","Tue, Thu","46","30","0","Rose Layton","ACC201"
"","","","","Lecture","14136R","442","2:00-3:50pm","Tue, Thu","46","45","0","Rose Layton","ACC303"
"","","","","Discussion","14137R","442","2:00-3:50pm","Friday","269","75","0","Rose Layton","HOH EDI"
"ACCT-474","Tax Issues for Business","P","2.0 units","Lecture","14140R","442","8:00-9:50am","Mon, Wed","46","46","0","Gregory Kling","ACC310"
"","","","","Lecture","14141R","442","10:00-11:50am","Mon, Wed","50","50","0","Gregory Kling","ACC310"
"","","","","Lecture","14143R","442","2:00-3:50pm","Friday","1","0","0","Gregory Kling",""
"ACCT-478","Accounting Systems Design","P","4.0 units","Lecture","14160D","001","2:00-3:50pm","Mon, Wed","36","18","0","Bob Kiddoo","ACC205"
"ACCT-479","Accounting Systems Development","P","4.0 units","Lecture","14165D","001","4:00-5:50pm","Mon, Wed","36","12","0","Bob Kiddoo","ACC205"
"ACCT-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","14180D","001","TBA","TBA","10","1","0","","OFFICE"
"ACCT-509","Concepts of Financial and Management Accounting","M","4.0 units","Lecture","14187R","372","TBA","TBA","25","22","0","Merle Hopkins","ONLINE"
"ACCT-528","Fair Value Accounting: GAAP, IFRS and Emerging Issues","M","1.5 units","Lecture","14201D","001","8:00-9:20am","Monday","1","0","0","Thomas Ryan",""
"","","","","Lecture","14202D","001","8:00-9:20am","Wednesday","40","16","0","Thomas Ryan","JKP202"
"ACCT-546","Auditing and Assurance Services","M","3.0 units","Lecture","14206D","001","9:30-10:50am","Tue, Thu","28","30","3","Sarah Bonner","JKP202"
"","","","","Lecture","14207D","001","12:30-1:50pm","Tue, Thu","28","24","0","Sarah Bonner","JKP104"
"ACCT-547","Enterprise Information Systems","M","3.0 units","Lecture","14209D","001","8:00-9:20am","Mon, Wed","40","34","0","Daniel O'Leary","JKP102"
"ACCT-549","Advanced Enterprise Systems and Technologies","M","3.0 units","Lecture","14214D","001","11:00-12:20pm","Mon, Wed","48","47","0","Daniel O'Leary","JKP102"
"","","","","Lecture","14216D","001","9:30-10:50am","Mon, Wed","48","44","0","Daniel O'Leary","JKP102"
"ACCT-550t","Tax Research and Professional Responsibilities","M","3.0 units","Lecture","14217D","431","9:30-12:20pm","Tue, Thu","22","22","0","Diane Comi","JKP104"
"","","","","Lecture","14218D","431","2:00-4:50pm","Tue, Thu","22","20","0","Diane Comi","JKP202"
"","","","","Lecture","14219D","378","5:30-6:30pm","Monday","32","30","0","Patricia Mills","ONLINE"
"ACCT-551t","Taxation of Partnerships and S-Corps","M","3.0 units","Lecture","14220D","442","9:30-12:20pm","Tue, Thu","28","28","0","Patricia Mills","JKP104"
"","","","","Lecture","14221D","442","2:00-4:50pm","Tue, Thu","28","28","0","Patricia Mills","JKP202"
"","","","","Lecture","14222D","378","5:30-6:30pm","Thursday","25","13","0","James Gergurich, Shirley Maxey","ONLINE"
"ACCT-557","Advanced Financial Statement Auditing Topics","P","3.0 units","Lecture","14223D","001","8:00-9:20am","Tue, Thu","36","34","0","Patrick Kinsella","JKP102"
"","","","","Lecture","14224D","001","9:30-10:50am","Tue, Thu","36","37","8","Patrick Kinsella","JKP102"
"ACCT-559","Strategy and Operations Through CFO Lens","M","3.0 units","Lecture","14226R","033","8:00-9:20am","Tue, Thu","77","76","10","John Owens","JKP110"
"ACCT-560t","Tax Theory and Ethics","M","3.0 units","Lecture","14230D","431","9:30-12:20pm","Mon, Wed","22","23","0","Jack Barcal","JKP104"
"","","","","Lecture","14231D","431","2:00-4:50pm","Mon, Wed","22","19","0","Jack Barcal","JKP202"
"","","","","Lecture","14232D","001","6:30-9:30pm","Wednesday","40","29","0","Cynthia Gensler","JKP202"
"ACCT-561t","Income Tax of Corporations and Their Shareholders","M","3.0 units","Lecture","14235D","442","9:30-12:20pm","Mon, Wed","22","22","0","Joseph Keller","JKP104"
"","","","","Lecture","14237D","442","2:00-4:50pm","Mon, Wed","22","20","0","Joseph Keller","JKP202"
"","","","","Lecture","14238D","001","6:30-9:30pm","Monday","45","40","0","Todd Stein, Shirley Maxey","JKP102"
"ACCT-568t","Taxation of Foreign Business Operations","PM","3.0 units","Lecture","14247D","001","6:30-9:30pm","Tuesday","40","16","0","Michael Sylvester, Shirley Maxey","JKP202"
"ACCT-570t","State and Local Tax Concepts","PM","3.0 units","Lecture","14250D","378","5:30-6:30pm","Wednesday","28","16","0","Charles Swenson","ONLINE"
"ACCT-572","Corporate Accounting and Reporting","P","3.0 units","Lecture","14256R","033","6:30-9:30pm","Monday","54","47","0","Robert Trezevant","JKP202"
"ACCT-576t","Tax Consolidations","PM","3.0 units","Lecture","14264D","001","6:30-9:20pm","Thursday","27","0","0","",""
"ACCT-581","Financial Statement Analysis","PM","3.0 units","Lecture","14279D","001","6:30-9:30pm","Monday","35","32","0","Robert Louk, Shirley Maxey","ACC236"
"","","","","Lecture","14280R","033","6:30-9:30pm","Thursday","50","18","0","Mark Soliman","OCC"
"","","","","Lecture","14282R","033","12:30-1:50pm","Mon, Wed","35","30","0","Lori Smith","JKP202"
"","","","","Lecture","14283D","001","12:30-1:50pm","Mon, Wed","19","16","0","Lori Smith","JKP202"
"ACCT-582","Accounting for Mergers and Acquisitions","PM","3.0 units","Lecture","14288D","001","11:00-12:20pm","Tue, Thu","38","38","1","Shiing-Wu Wang, Robert Trezevant","JKP202"
"","","","","Lecture","14289D","001","12:30-1:50pm","Tue, Thu","38","32","0","Shiing-Wu Wang, Robert Trezevant","JKP202"
"ACCT-583","Income Tax Accounting and Auditing","M","3.0 units","Lecture","14290D","378","5:30-6:30pm","Tuesday","28","11","0","Joe Keller","ONLINE"
"ACCT-585","Professional Responsibilities in Accounting","M","3.0 units","Lecture","14293D","001","9:30-10:50am","Mon, Wed","40","45","1","Lori Smith, Bob Roussey","JKP202"
"","","","","Lecture","14294D","001","11:00-12:20pm","Mon, Wed","40","43","0","Lori Smith, Bob Roussey","JKP202"
"","","","","Lecture","14295D","001","12:30-1:50pm","Mon, Wed","40","37","0","Bob Roussey, Lori Smith","JKP210"
"ACCT-590","Directed Research","M","1.0-4.0 units","Lecture","14300D","001","TBA","TBA","10","0","0","","OFFICE"
"ACCT-602","Survey of Judgment and Decision-Making Research in Accounting","","3.0 units","Lecture","14316R","036","9:00-11:50am","Wednesday","8","5","0","Sarah Bonner","HOH506"
"ACCT-611","Selected Topics in Accounting Research","","1.0 units, max 4","Lecture","14321R","036","10:30-11:50am","Friday","8","8","0","Mark Soliman","HOH506"
