"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AEST-100a","Aerospace Studies I (Air Force Mission and Organization)","","1.0 unit","Lecture","41710R","001","1:00-1:50pm","Friday","24","7","0","Luke Dinh, Ghia Simmons","THH114"
"","","","","Lecture","41791D","791","TBA","TBA","40","16","0","Luke Dinh, Ghia Simmons","OFFICE"
"AEST-110a","Leadership Laboratory I","","1.0 unit","Lecture","41795D","790","TBA","TBA","40","9","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"","","","","Lecture-Lab","41715R","001","10:00-11:50am","Friday","40","4","0","Zabrina Hoggard, Ghia Simmons","SGM101"
"AEST-200a","Aerospace Studies II (Air Force History)","","1.0 unit","Lecture","41720R","001","2:00-2:50pm","Friday","24","4","0","Luke Dinh, Ghia Simmons","THH114"
"","","","","Lecture","41792D","791","TBA","TBA","30","13","0","Luke Dinh, Ghia Simmons","OFFICE"
"AEST-210a","Leadership Laboratory II","","1.0 unit","Lecture","41796D","790","TBA","TBA","30","14","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"","","","","Lecture-Lab","41725R","001","10:00-11:50am","Friday","30","3","0","Zabrina Hoggard, Ghia Simmons","SGM101"
"AEST-220a","Advanced Leadership Laboratory II","","1.0 unit","Lecture","41799D","790","TBA","TBA","30","0","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"AEST-300a","Aerospace Studies III (Air Force Management and Leadership)","","3.0 units","Lecture","41730R","001","1:00-3:50pm","Friday","20","4","0","Ghia Simmons, Zabrina Hoggard","VKC106"
"","","","","Lecture","41793D","791","TBA","TBA","30","0","0","Ghia Simmons, Zabrina Hoggard","OFFICE"
"AEST-310a","Leadership Laboratory III","","1.0 unit","Lecture","41797D","790","TBA","TBA","30","5","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"","","","","Lecture-Lab","41735R","001","10:00-11:50am","Friday","30","4","0","Zabrina Hoggard, Ghia Simmons","SGM101"
"AEST-400a","Aerospace Studies IV (National Security Forces in Contemporary American Society)","","3.0 units","Lecture","41740R","001","1:00-3:50pm","Friday","22","3","0","Zabrina Hoggard, Ghia Simmons","VKC107"
"","","","","Lecture","41794D","791","TBA","TBA","30","0","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"AEST-410a","Leadership Laboratory IV","","1.0 unit","Lecture","41798D","790","TBA","TBA","30","10","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
"","","","","Lecture-Lab","41745R","001","10:00-11:50am","Friday","30","3","0","Zabrina Hoggard, Ghia Simmons","SGM101"
"AEST-420a","Leadership Laboratory V","","1.0 unit","Lecture-Lab","41751R","001","TBA","TBA","10","0","0","Zabrina Hoggard, Ghia Simmons","OFFICE"
