"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-100","Introduction to Visual Culture","","4.0 units","Lecture","11801R","001","10:00-11:50am","Mon, Wed","15","0","0","",""
"AHIS-120g","Foundations of Western Art","","4.0 units","Lecture","11805R","001","12:30-1:50pm","Tue, Thu","176","171","0","Carolyn Malone","SGM123"
"","","","","Discussion","11807R","001","9:00-9:50am","Friday","27","26","0","Karen Huang","VKC257"
"","","","","Discussion","11808R","001","10:00-10:50am","Friday","26","25","0","Karen Huang","VKC257"
"","","","","Discussion","11809R","001","11:00-11:50am","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11810R","001","12:00-12:50pm","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11811R","001","1:00-1:50pm","Friday","25","25","0","Catherine Besancon","VKC257"
"","","","","Discussion","11812R","001","2:00-2:50pm","Friday","25","24","0","Catherine Besancon","VKC257"
"","","","","Discussion","11813R","001","11:00-11:50am","Friday","25","23","0","Ambra Spinelli","VKC209"
"AHIS-125g","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","12:00-1:50pm","Mon, Wed","102","98","0","Sonya Lee","ZHS159"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","26","25","0","Yoon Hwang","VKC260"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","26","25","0","Yoon Hwang","VKC260"
"","","","","Discussion","11841R","001","11:00-11:50am","Friday","25","25","0","Rika Hiro","VKC260"
"","","","","Discussion","11842R","001","12:00-12:50pm","Friday","26","23","0","Rika Hiro","VKC260"
"AHIS-128g","Arts of Latin America","","4.0 units","Lecture","11863D","001","12:00-1:50pm","Mon, Wed","100","98","0","Daniela Bleichmar","GFS106"
"","","","","Discussion","11864D","001","9:00-9:50am","Friday","25","23","0","Alexis Clark","VKC258"
"","","","","Discussion","11865D","001","10:00-10:50am","Friday","26","23","0","Alexis Clark","VKC258"
"","","","","Discussion","11866D","001","11:00-11:50am","Friday","26","25","0","Alexis Clark","VKC258"
"","","","","Discussion","11867D","001","12:00-12:50pm","Friday","27","27","0","Alexis Clark","VKC258"
"AHIS-321","Greek Art and Archaeology","","4.0 units","Lecture","11923R","001","11:00-12:20pm","Tue, Thu","26","22","0","Ann Yasin","VKC260"
