"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ALI-224","Low Intermediate Oral Skills","","2.0 units","Lecture","10108D","001","12:00-1:50pm","Mon, Wed","10","9","0","Kimberley Briesch Sumner","VKC103"
"","","","","Lecture","10109D","001","10:00-11:50am","Mon, Wed","8","8","0","Kimberley Briesch Sumner","THH207"
"ALI-225","Low Intermediate Writing Skills","","2.0 units","Lecture","10111D","001","9:30-10:50am","Tue, Thu","12","11","0","Kimberley Briesch Sumner","THH205"
"ALI-234","Intermediate Oral Skills","","2.0 units","Lecture","10115D","001","8:30-9:50am","Mon, Wed","14","14","0","Olivia Martinez","THH205"
"","","","","Lecture","10117D","001","9:30-10:50am","Tue, Thu","12","12","0","Barry Griner","THH211"
"","","","","Lecture","10118D","001","12:00-1:50pm","Mon, Wed","12","8","0","Olivia Martinez","THH205"
"","","","","Lecture","10119D","001","12:00-1:50pm","Mon, Wed","12","9","0","Mary Murphy","THH207"
"","","","","Lecture","10120D","001","12:30-1:50pm","Tue, Thu","13","13","0","Barry Griner","THH211"
"","","","","Lecture","10121D","001","2:00-3:20pm","Mon, Wed","12","11","0","Olivia Martinez","THH205"
"","","","","Lecture","10122D","001","3:30-4:50pm","Mon, Wed","12","11","0","Olivia Martinez","THH209"
"","","","","Lecture","10123D","001","3:30-4:50pm","Mon, Wed","12","12","0","Mary Murphy","THH211"
"ALI-235","Intermediate Writing Skills","","2.0 units","Lecture","10127D","001","8:00-9:20am","Tue, Thu","14","14","0","Lori Kagawa","THH205"
"","","","","Lecture","10128D","001","10:00-11:50am","Mon, Wed","15","15","0","Pamela Minet-Lucid","THH209"
"","","","","Lecture","10129D","001","11:00-12:20pm","Tue, Thu","14","13","0","Juli Kirkpatrick, Richard Jones","THH209"
"","","","","Lecture","10130D","001","12:00-1:50pm","Mon, Wed","14","11","0","Pamela Minet-Lucid","THH209"
"","","","","Lecture","10131D","001","2:00-3:20pm","Mon, Wed","14","11","0","Juli Kirkpatrick, Pamela Minet-Lucid","THH117"
"","","","","Lecture","10133D","001","2:00-3:20pm","Tue, Thu","17","17","0","Pamela Minet-Lucid","THH117"
"ALI-242","High Intermediate Pronunciation","","2.0 units","Lecture","10138D","001","3:30-4:50pm","Tue, Thu","13","13","0","B Byczkiewicz Cutler","THH209"
"","","","","Lecture","10139D","001","12:30-1:50pm","Tue, Thu","12","12","0","Viktoria Byczkiewicz Cutler","THH207"
"ALI-244","High Intermediate Oral Skills","","2.0 units","Lecture","10142D","001","8:00-9:20am","Tue, Thu","15","12","0","Barry Griner","THH211"
"","","","","Lecture","10144D","001","10:00-11:50am","Mon, Wed","15","15","0","Nina Kang","THH211"
"","","","","Lecture","10146D","001","11:00-12:20pm","Tue, Thu","15","15","0","Barry Griner","THH211"
"","","","","Lecture","10148D","001","2:00-3:20pm","Mon, Wed","15","15","0","Reka Clausen, Lyubov Hodges","THH207"
"","","","","Lecture","10149D","001","3:30-4:50pm","Mon, Wed","15","15","0","Reka Clausen, Lyubov Hodges","SOS B38"
"ALI-245","High Intermediate Writing Skills","","2.0 units","Lecture","10152D","001","8:30-9:50am","Mon, Wed","14","13","0","Nina Kang","THH209"
"","","","","Lecture","10153D","001","9:30-10:50am","Tue, Thu","14","14","0","Eric Roth","THH209"
"","","","","Lecture","10155D","001","12:30-1:50pm","Tue, Thu","14","13","0","Eric Roth","THH209"
"","","","","Lecture","10157D","001","2:00-3:20pm","Mon, Wed","14","14","0","Nina Kang","THH209"
"","","","","Lecture","10159D","001","3:30-4:50pm","Tue, Thu","14","12","0","James Polk","THH211"
"","","","","Lecture","10154D","001","12:00-1:50pm","Mon, Wed","14","12","0","Nina Kang","THH211"
"ALI-246","Intermediate Oral Communication for ITAs","","3.0 units","Lecture","10161D","001","10:00-11:50am","Tue, Thu","11","11","0","Anastassia Tzoytzoyrakos","THH117"
"","","","","Lecture","10162D","001","12:00-1:50pm","Mon, Wed","8","8","0","Juli Kirkpatrick, Luba Hodges","THH117"
"","","","","Lecture","10163D","001","12:00-1:50pm","Tue, Thu","8","6","0","Anastassia Tzoytzoyrakos","THH117"
"ALI-252","Advanced Pronunciation","","2.0 units","Lecture","10168D","001","11:00-12:20pm","Tue, Thu","12","11","0","Viktoria Byczkiewicz Cutler","THH207"
"ALI-254","Advanced Oral Skills","","2.0 units","Lecture","10172D","001","8:30-9:50am","Mon, Wed","15","14","0","Eric Roth","THH211"
"","","","","Lecture","10173D","001","2:00-3:20pm","Tue, Thu","15","14","0","Eric Roth","THH209"
"ALI-255","Advanced Writing Skills","","2.0 units","Lecture","10174D","001","9:30-10:50am","Tue, Thu","15","15","0","Richard Jones","THH207"
"","","","","Lecture","10175D","001","2:00-3:20pm","Tue, Thu","15","15","0","James Polk","THH211"
"ALI-256","High Intermediate Oral Communication for ITAs","","3.0 units","Lecture","10177D","001","2:00-3:50pm","Tue, Thu","9","7","0","Anastassia Tzoytzoyrakos","THH205"
"ALI-270","Advanced Oral Communication for ITAs","","3.0 units","Lecture","10181D","001","10:00-11:50am","Mon, Wed","8","8","0","Reka Clausen","THH117"
"","","","","Lecture","10183D","001","12:00-1:50pm","Mon, Wed","9","7","0","Reka Clausen","SOS B38"
"","","","","Lecture","10184D","001","2:00-3:50pm","Mon, Wed","8","8","0","Tracy Levin","THH219"
"","","","","Lecture","10185D","001","12:00-1:50pm","Mon, Wed","9","9","0","Tracy Levin","THH109"
"","","","","Lecture","10186D","001","4:00-5:50pm","Tue, Thu","8","7","0","Lucienne Aarsen","THH205"
"","","","","Lecture","10187D","001","4:00-5:50pm","Tue, Thu","8","8","0","Jim Valentine, Pamela Minet-Lucid","THH207"
"ALI-271","Language Tutorial for International Teaching Assistants","","2.0 units","Lecture","10188D","001","10:00-11:50am","Friday","3","3","0","Mary Murphy","THH219"
"","","","","Lecture","10189D","001","12:00-1:50pm","Friday","3","3","0","Lucienne Aarsen","OFFICE"
"","","","","Lecture","10190D","001","12:00-1:50pm","Friday","3","3","0","Reka Clausen","OFFICE"
"ALI-274","Advanced Academic and Professional Spoken English","","2.0 units","Lecture","10192D","001","9:30-10:50am","Tue, Thu","8","6","0","Tracy Levin","THH219"
