"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AME-101L","Introduction to Mechanical Engineering and Graphics","","3.0 units","Lecture","28700R","001","8:00-9:20am","Tue, Thu","48","45","0","Paul Ronney","ZHS252"
"","","","","Lecture","28701R","001","9:30-10:50am","Tue, Thu","48","45","0","Paul Ronney","ZHS252"
"","","","","Lab","28702R","001","12:30-1:50pm","Tuesday","28","27","0","Paul Ronney","SAL109"
"","","","","Lab","28703R","001","12:30-1:50pm","Tuesday","34","30","0","Paul Ronney","SAL127"
"","","","","Lab","28704R","001","12:30-1:50pm","Thursday","34","33","0","Paul Ronney","SAL127"
"AME-105","Introduction to Aerospace Engineering","","4.0 units","Lecture","28706R","001","9:00-9:50am","MWF","30","24","0","Geoffrey Spedding","VHE206"
"","","","","Lab","28707R","001","11:00-12:20pm","Tuesday","15","14","0","Geoffrey Spedding","SAL127"
"","","","","Lab","28708R","001","11:00-12:20pm","Thursday","15","10","0","Geoffrey Spedding","SAL127"
"AME-201","Statics","P","3.0 units","Lecture","28716R","001","11:00-12:20pm","Tue, Thu","69","64","0","Roger Ghanem","GFS116"
"","","","","Lecture","28717D","001","12:30-1:50pm","Tue, Thu","64","64","0","Oussama Safadi","SLH102"
"AME-204","Strength of Materials","P","3.0 units","Lecture","28719R","001","2:00-3:20pm","Mon, Wed","50","48","0","Oussama Safadi","ZHS163"
"AME-301","Dynamics","P","3.0 units","Lecture","28725R","001","8:00-8:50am","MWF","50","42","0","Geoffrey Shiflett","ZHS252"
"","","","","Lecture","28726R","001","9:00-9:50am","MWF","55","53","0","Geoffrey Shiflett","ZHS252"
"AME-302","Dynamic Systems","P","3.0 units","Lecture","28728R","001","1:00-1:50pm","MWF","70","68","0","Bingen Yang","MHP101"
"AME-305","Mechanical Design","P","3.0 units","Lecture","28730R","001","2:00-3:20pm","Tue, Thu","38","36","0","Oussama Safadi","KAP144"
"AME-308","Computer-Aided Analyses for Aero-Mechanical Design","P","3.0 units","Lecture-Lab","28732R","001","2:00-4:50pm","Monday","30","23","0","Yann Staelens","SAL127"
"","","","","Lecture-Lab","28733R","001","2:00-4:50pm","Tuesday","30","9","0","Yann Staelens","SAL127"
"","","","","Lecture-Lab","28734R","001","3:30-6:20pm","Wednesday","30","9","0","Yann Staelens","WPH B36"
"AME-309","Dynamics of Fluids","","4.0 units","Lecture","28736R","001","10:00-11:50am","Tue, Thu","88","86","0","Veronica Eliasson","MHP106"
"AME-310","Engineering Thermodynamics I","P","3.0 units","Lecture","28738R","001","12:00-1:50pm","Mon, Wed","50","46","0","Geoffrey Shiflett","LVL16"
"","","","","Lecture","28739R","001","12:30-1:50pm","Tue, Thu","50","47","0","Anita Penkova","GFS118"
"AME-341aL","Mechoptronics Laboratory","P","3.0 units","Lecture","28741R","001","8:00-8:50am","MWF","70","67","0","Oliver Franke, Charles Radovich","ZHS159"
"","","","","Lecture","28742R","001","9:00-9:50am","MWF","70","70","0","Oliver Franke, Charles Radovich","ZHS159"
"","","","","Lab","28743R","001","2:00-4:50pm","Monday","32","29","0","Oliver Franke, Charles Radovich","BHE301"
"","","","","Lab","28745R","001","2:00-4:50pm","Tuesday","38","38","0","Oliver Franke, Charles Radovich","BHE301"
"","","","","Lab","28746R","001","2:00-4:50pm","Wednesday","35","33","0","Oliver Franke, Charles Radovich","BHE301"
"","","","","Lab","28747R","001","2:00-4:50pm","Thursday","37","37","0","Oliver Franke, Charles Radovich","BHE301"
"AME-404","Computational Solutions to Engineering Problems","","3.0 units","Lecture","28754R","001","8:00-9:20am","Mon, Wed","89","87","0","Takahiro Sakai","SLH102"
"","","","","Lecture","28755R","001","11:00-12:20pm","Mon, Wed","82","82","0","Takahiro Sakai","OHE132"
"","","","","Lecture","29005D","014","11:00-12:20pm","Mon, Wed","20","7","0","Takahiro Sakai","DEN@Viterbi"
"AME-408","Computer-Aided Design of Mechanical Systems","P","3.0 units","Lecture","28758R","001","6:30-9:20pm","Tuesday","34","34","0","Babak Boloury-Azad","SAL127"
"","","","","Lecture","28759R","001","6:30-9:20pm","Thursday","34","33","0","Babak Boloury-Azad","SAL127"
"AME-410","Engineering Design Theory and Methodology","C","3.0 units","Lecture","28762D","001","6:30-9:10pm","Wednesday","42","39","0","Yan Jin","GFS116"
"AME-415","Turbine Design and Analysis","M","3.0 units","Lecture","28765R","001","5:00-7:40pm","Thursday","27","25","0","Bogdan Marcu","VHE206"
"AME-430","Thermal Systems Design","P","3.0 units","Lecture","28772R","001","2:00-4:50pm","Thursday","25","12","0","Richard Martin","VHE210"
"AME-441aL","Senior Projects Laboratory","P","3.0 units","Lecture","28775R","001","12:30-1:50pm","Wednesday","24","20","0","Prabu Sellappan","KAP165"
"","","","","Lab","28779R","001","2:00-4:50pm","Mon, Wed","24","20","0","Prabu Sellappan","BHE310"
"","","","","Lecture","28774R","001","12:30-1:50pm","Tuesday","58","54","0","Charles Radovich","ZHS159"
"","","","","Lab","28778R","001","9:00-11:50am","Tue, Thu","58","54","0","Charles Radovich","BHE310"
