"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AMST-101gm","Race and Class in Los Angeles","","4.0 units","Lecture","10310D","001","12:30-1:50pm","Tue, Thu","140","140","0","Chrisshonna Nieva","THH201"
"","","","","Discussion","10311R","001","10:00-10:50am","Monday","25","22","0","Luis Rodriguez","THH B9"
"","","","","Discussion","10312R","001","11:00-11:50am","Friday","25","24","0","Luis Rodriguez","THH217"
"","","","","Discussion","10313R","001","12:00-12:50pm","Friday","25","21","0","Luis Rodriguez","THH217"
"","","","","Discussion","10314D","001","10:00-10:50am","Thursday","26","25","0","Rebekah Garrison","VKC252"
"","","","","Discussion","10316R","001","10:00-10:50am","Tuesday","25","24","0","Rebekah Garrison","VKC252"
"","","","","Discussion","10317R","001","2:00-2:50pm","Monday","26","24","0","Luis Rodriguez","THH106"
"AMST-135gm","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320D","001","9:30-10:50am","Tue, Thu","155","152","0","Alicia Chavez","SGM101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","26","26","0","Luis Rodriguez","THH217"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","27","27","0","Luis Rodriguez","THH B9"
"","","","","Discussion","10323D","001","12:00-12:50pm","Thursday","23","25","0","Cecilia Caballero","VKC109"
"","","","","Discussion","10324D","001","1:00-1:50pm","Thursday","23","24","0","Cecilia Caballero","SOS B52"
"","","","","Discussion","10326R","001","2:00-2:50pm","Wednesday","26","25","0","Luis Rodriguez","SOS B37"
"","","","","Discussion","10328R","001","3:00-3:50pm","Wednesday","26","25","0","Luis Rodriguez","SOS B37"
"AMST-200m","Introduction to American Studies and Ethnicity","","4.0 units","Lecture","10347D","001","12:30-1:50pm","Tue, Thu","30","26","0","Alicia Chavez","VKC207"
"AMST-252gm","Black Social Movements in the U.S.","","4.0 units","Lecture","10381D","001","10:00-11:50am","Mon, Wed","144","114","0","Francille Wilson","GFS106"
"","","","","Discussion","10382R","001","10:00-10:50am","Friday","24","22","0","Joshua Mitchell, Francille Wilson","THH213"
"","","","","Discussion","10383R","001","11:00-11:50am","Tuesday","24","23","0","Stephanie Sparling, Francille Wilson","THH B10"
