"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANST-500","Human Anatomy","","3.0 units","Lecture","40300D","046","9:00-12:50pm","Thursday","16","16","0","Michele Gold, Philip Lumb","CHP233A"
"ANST-501","Advanced Pharmacology of Anesthesia Practice I","","4.0 units","Lecture","40301D","046","9:00-1:00pm","Tuesday","16","16","0","Michele Gold, Karen Embrey","CHP233A"
"ANST-502","Principles of Nurse Anesthesia Practice","","4.0 units","Lecture","40302D","046","9:00-1:00pm","Wednesday","16","16","0","Teresa Norris","CHP233A"
"ANST-505","Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40305D","046","TBA","TBA","16","0","0","Michele Gold, Karen Embrey","OFFICE"
"ANST-507","Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40318R","046","TBA","TBA","16","0","0","Michele Gold, Karen Embrey","OFFICE"
"ANST-508","Research: Investigative Inquiry","","3.0 units","Lecture","40308R","046","12:00-2:00pm","Monday","16","16","0","Michele Gold","CHP233A"
"ANST-509","Advanced Clinical Residency in Nurse Anesthesia I","PM","2.0 units","Lecture-Lab","40320R","046","TBA","TBA","16","16","0","Teresa Norris, Michele Gold","OFFICE"
"ANST-510","Leadership and Professional Aspects of Nurse Anesthesia","","3.0 units","Lecture","40310R","046","9:00-11:50am","Monday","17","17","0","Michele Gold, Teresa Norris","CHP233A"
"ANST-511","Advanced Clinical Residency in Nurse Anesthesia II","PM","2.0 units","Lecture-Lab","40311D","046","TBA","TBA","16","1","0","Michele Gold, Karen Embrey","OFFICE"
"ANST-513","Advanced Clinical Residency in Nurse Anesthesia III","PM","2.0 units","Lecture-Lab","40319R","046","TBA","TBA","16","0","0","Michele Gold, Karen Embrey","OFFICE"
"ANST-590","Directed Research","PM","1.0-12.0 units","Lecture","40315R","046","TBA","TBA","5","0","0","Michele Gold","OFFICE"
"ANST-591","Special Projects","M","1.0-4.0 units, max 4","Lecture","40316D","046","TBA","TBA","5","0","0","Michele Gold","OFFICE"
