"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ANTH-100g","Principles of Human Organization: Non-Western Societies","","4.0 units","Lecture","10602D","001","11:00-12:20pm","Tue, Thu","100","92","0","Eugene Cooper","GFS106"
"","","","","Discussion","10603R","001","9:00-9:50am","Tuesday","25","22","0","","GFS108"
"","","","","Discussion","10604R","001","9:00-9:50am","Thursday","26","26","0","","GFS108"
"","","","","Discussion","10605R","001","10:00-10:50am","Tuesday","25","24","0","","GFS108"
"","","","","Discussion","10606R","001","10:00-10:50am","Thursday","25","20","0","","GFS108"
"ANTH-200Lg","The Human Animal","","4.0 units","Lecture","38511R","001","2:00-3:20pm","Mon, Wed","240","235","0","Craig Stanford","SGM123"
"","","","","Lab","38512R","001","8:00-9:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38513R","001","8:00-9:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38514R","001","8:00-9:50am","Wednesday","20","20","0","","GFS220"
"","","","","Lab","38515R","001","10:00-11:50am","Monday","20","20","0","","AHF B10"
"","","","","Lab","38516R","001","10:00-11:50am","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38517R","001","10:00-11:50am","Wednesday","20","20","0","Stephanie Bogart","GFS220"
"","","","","Lab","38518R","001","12:00-1:50pm","Monday","20","20","0","","AHF B10"
"","","","","Lab","38522R","001","12:00-1:50pm","Wednesday","20","20","0","","AHF B10"
"","","","","Lab","38528R","001","12:00-1:50pm","Wednesday","21","21","0","","GFS220"
"","","","","Lab","38537R","001","8:00-9:50am","Friday","20","17","0","Stephanie Bogart","AHF B10"
"","","","","Lab","38538R","001","10:00-11:50am","Friday","20","19","0","","AHF B10"
"","","","","Lab","38539R","001","12:00-1:50pm","Friday","20","18","0","Stephanie Bogart","AHF B10"
"ANTH-201","Introduction to Social Anthropology","","4.0 units","Lecture","10640R","001","2:00-3:20pm","Mon, Wed","25","24","0","Thomas Ward","GFS107"
"ANTH-202","Archaeology: Our Human Past","","4.0 units","Lecture","10642R","001","9:30-10:50am","Tue, Thu","25","7","0","Thomas Garrison","GFS221"
"ANTH-205","Introduction to Global Studies and Overseas Research","","4.0 units","Lecture","10743R","001","11:00-12:20pm","Tue, Thu","25","14","0","Tok Thompson","GFS107"
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10644R","001","8:00-9:20am","Mon, Wed","116","116","0","Jennifer Cool","GFS106"
"","","","","Discussion","10645R","001","8:00-8:50am","Friday","27","27","0","","KAP163"
"","","","","Discussion","10646R","001","9:00-9:50am","Friday","30","30","0","","KAP163"
"","","","","Discussion","10647R","001","10:00-10:50am","Friday","28","28","0","","KAP163"
"","","","","Discussion","10648R","001","11:00-11:50am","Friday","29","29","0","","KAP163"
"","","","","Lecture","10653R","001","2:00-3:20pm","Tue, Thu","123","123","0","Andrei Simic","GFS106"
"","","","","Discussion","10655R","001","9:00-9:50am","Tuesday","30","30","0","","GFS222"
"","","","","Discussion","10656R","001","10:00-10:50am","Tuesday","31","31","0","","GFS222"
"","","","","Discussion","10657R","001","9:00-9:50am","Thursday","30","30","0","","GFS222"
"","","","","Discussion","10658R","001","10:00-10:50am","Thursday","31","31","0","","GFS222"
"ANTH-300","Evolution, Ecology, and Culture","","4.0 units","Lecture","38529R","001","4:00-6:50pm","Monday","15","15","0","Christopher Boehm","KAP165"
"ANTH-305","Childhood, Birth and Reproduction","","4.0 units","Lecture","10662R","001","9:30-10:50am","Tue, Thu","25","18","0","Erin Moore","GFS228"
"ANTH-308","Origins and Evolution of Human Behavior","","4.0 units","Lecture","38530R","001","11:00-12:20pm","Tue, Thu","30","27","0","Stephanie Bogart","VHE206"
"ANTH-310","Archaeology of the Americas","","4.0 units","Lecture","10666R","001","11:00-12:20pm","Tue, Thu","25","6","0","Thomas Garrison","GFS223"
"ANTH-314g","The Nature of Maya Civilization","","4.0 units","Lecture","10667R","001","12:30-1:50pm","Tue, Thu","27","26","0","Thomas Garrison","GFS107"
"ANTH-316gm","North American Indians in American Public Life","","4.0 units","Lecture","10668R","001","12:30-1:50pm","Tue, Thu","104","103","0","Tok Thompson","GFS106"
"","","","","Discussion","10669R","001","9:00-9:50am","Tuesday","26","26","0","","GFS107"
"","","","","Discussion","10670R","001","10:00-10:50am","Tuesday","28","28","0","","GFS107"
"","","","","Discussion","10671R","001","11:00-11:50am","Wednesday","26","24","0","","LVL13"
"","","","","Discussion","10672R","001","2:00-2:50pm","Thursday","25","25","0","","WPH205"
"ANTH-328m","Culture Change and the Mexican People","","4.0 units","Lecture","10673R","001","3:30-4:50pm","Mon, Wed","25","17","0","Thomas Ward","KAP113"
"ANTH-357","Culture of Genocide","","4.0 units","Lecture","10674R","001","2:00-5:00pm","Tuesday","20","5","0","Nancy Lutkehaus","GFS104"
"ANTH-365","Life History in Anthropological Perspective","","4.0 units","Lecture","10681R","001","4:00-6:50pm","Thursday","25","10","0","Dorinne Kondo","GFS108"
"ANTH-370","Family and Kinship in Cross-Cultural Perspective","","4.0 units","Lecture","10680R","001","12:30-1:50pm","Tue, Thu","25","20","0","Erin Moore","GFS222"
"ANTH-372","Interpretation of Myth and Narrative","","4.0 units","Lecture","10682R","001","2:00-3:20pm","Tue, Thu","40","38","0","Tok Thompson","VPD106"
"ANTH-410a","Ethnographic Field Methods and Practicum","P","4.0 units","Lecture","10686D","001","4:00-6:50pm","Tuesday","25","13","0","Joseph Hawkins","GFS108"
"ANTH-440","History of Anthropological Theory","","4.0 units","Lecture","10785D","001","2:00-4:50pm","Thursday","25","10","0","Cheryl Mattingly","GFS104"
"ANTH-470","Multidisciplinary Seminar in Visual Anthropology","","2.0-4.0 units","Lecture","10687R","001","2:00-4:50pm","Thursday","12","3","0","Gary Seaman","KAP138"
"ANTH-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","10688D","001","TBA","TBA","8","1","0","Gary Seaman","OFFICE"
"ANTH-491","Directed Research for Honors","P","4.0 units","Lecture","10689D","001","TBA","TBA","15","1","0","Gary Seaman","OFFICE"
"ANTH-562","The Practice of Ethnography","","4.0 units","Lecture","10693R","001","2:00-4:50pm","Tuesday","20","18","0","Lanita Jacobs","GFS204"
"ANTH-575","Seminar in Ethnographic Film","","4.0 units","Lecture","10793R","001","2:00-4:55pm","Wednesday","15","7","0","Andrei Simic","GFS201"
"ANTH-576L","Anthropological Media Seminar","","4.0 units, max 8","Lecture","10694R","001","4:00-6:50pm","Monday","20","7","0","Jennifer Cool","GFS217"
"","","","","Lab","10695R","001","TBA","Mon, Wed","20","7","0","","OFFICE"
"ANTH-590","Directed Research","","1.0-12.0 units","Lecture","10696D","001","TBA","Tuesday","20","0","0","Gary Seaman","OFFICE"
"ANTH-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"ANTH-594a","Master's Thesis","","2.0 units","Lecture","10697D","001","TBA","TBA","10","0","0","Gary Seaman","OFFICE"
"ANTH-594b","Master's Thesis","P","2.0 units","Lecture","10698D","001","TBA","Thursday","10","1","0","Gary Seaman","OFFICE"
"ANTH-594z","Master's Thesis","P","0.0 units","Lecture","10699D","001","TBA","TBA","10","0","0","Gary Seaman","OFFICE"
"ANTH-790","Research","C","1.0-12.0 units","Lecture","10700D","001","TBA","TBA","10","0","0","Gary Seaman","OFFICE"
"ANTH-794z","Doctoral Dissertation","PC","0.0 units","Lecture","10702D","001","TBA","TBA","2","0","0","Gary Seaman","OFFICE"
"","","","","Lecture","10703D","001","TBA","TBA","10","0","0","Gary Seaman","OFFICE"
