"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ARLT-100g","Arts and Letters","C","4.0 units"
"","Modern Russian Art","","4.0","Lecture","35200D","001","8:00-9:20am","Tue, Thu","30","30","0","John Bowlt","VKC200"
"","Uncharted","","4.0","Lecture","35201D","001","8:00-9:20am","Tue, Thu","28","14","0","Emily Zeamer","WPH103"
"","Into the Pacific","","4.0","Lecture","35202D","001","8:30-9:50am","Mon, Wed","29","27","0","Michael Block","VKC200"
"","Classics in Modern Philosophy","","4.0","Lecture","35204D","001","9:00-9:50am","MWF","31","30","0","Zlatan Damnjanovic","WPH206"
"","Chinese Imagination: Culture in Fiction","","4.0","Lecture","35206D","001","9:30-10:50am","Tue, Thu","28","28","0","George Hayden","VKC200"
"","Los Angeles Stories","","4.0","Lecture","35207D","001","9:30-10:50am","Tue, Thu","30","30","0","Christopher Freeman","VKC201"
"","Conquest and Revolution in 20th Century Mexican Literary and Visual Texts","","4.0","Lecture","35208D","001","9:30-10:50am","Tue, Thu","29","29","0","Liana Stepanyan","VKC211"
"","Sex and the Bible","","4.0","Lecture","35209D","001","9:30-10:50am","Tue, Thu","30","28","0","Cavan Concannon","VKC258"
"","Masterpieces of the Short Story","","4.0","Lecture","35211D","001","9:30-10:50am","Tue, Thu","28","25","0","Alexander Zholkovsky","WPH107"
"","Health and the Body Politic in African Literature and Film","","4.0","Lecture","35212D","001","10:00-11:50am","Mon, Wed","29","29","0","Julie Nack Ngue","THH215"
"","The Story of the Chinese Language","","4.0","Lecture","35213D","001","10:00-11:50am","Mon, Wed","28","27","0","Audrey Li","VKC201"
"","Problems of Time and Space","","4.0","Lecture","35214D","001","10:00-11:50am","Mon, Wed","30","30","0","Kadri Vihvelin","VKC211"
"","Democracy, Dissent and Assimilation: Catholics in the U.S.","","4.0","Lecture","35217D","001","10:00-11:50am","Mon, Wed","28","26","0","James Heft","VKC200"
"","Time and Time Travel","","4.0","Lecture","35219D","001","11:00-11:50am","MWF","30","29","0","James Van Cleve","WPH103"
"","Biography and the Renaissance Artist","","4.0","Lecture","35220D","001","11:00-12:20pm","Tue, Thu","29","28","0","Eunice Howe","VKC200"
"","Pioneers of the Impossible: Poetry and Fiction Through Regions of Unlikeness","","4.0","Lecture","35221D","001","11:00-12:20pm","Tue, Thu","28","25","0","Mark Irwin","VKC201"
"","Korean Literature and Thought","","4.0","Lecture","35222D","001","11:00-12:20pm","Tue, Thu","30","29","0","Seung-Ah Lee","VKC211"
