"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASCJ-100","The Changing World of Communication and Journalism","","2.0 units","Lecture","21910R","138","4:00-6:20pm","Tuesday","150","82","0","Geoffrey Cowan, Ernest Wilson","ANN L105A"
"ASCJ-220x","Annenberg Experimental","","0.0-2.0 units, max 6"
"","Design Thinking: Conceptualizing&amp;Strategizing Communications","","2.0","Lecture","21913R","950","2:00-5:20pm","Friday","20","0","0","",""
"","Pitching Your Ideas and Stories","","2.0","Lecture","21914R","950","12:00-3:20pm","Wednesday","20","4","0","Marc Cooper","ANN308"
"","Getting the Skills You Need Tomorrow, Today","","2.0","Lecture","21916R","106","10:00-1:20pm","Friday","17","4","0","Jonathan Aronson","KER202"
"","Going Viral","","2.0","Lecture","21917R","106","2:00-5:20pm","Friday","17","3","0","Jonathan Aronson","KER202"
"ASCJ-420","Annenberg Collaboratory","","0.0-4.0 units, max 8"
"","Environmental Communications Experience, Catalina","","2.0","Lecture","21919R","950","10:00-1:20pm","Friday","20","7","0","K Cole, Roberta Marinelli","ANN413"
"","Leadership in Startup Digital Media Ventures","","2.0","Lecture","21920R","950","3:30-6:50pm","Thursday","20","14","0","Jonathan Aronson","ANN L116"
"","Maker Experience: I-Fixit, San Luis Obispo","","2.0","Lecture","21921R","106","2:00-5:20pm","Friday","20","0","0","K Cole, Courtney Miller","ANN413"
"","Maker Experience: The Exploratorium, San Francisco","","2.0","Lecture","21922R","106","2:00-5:20pm","Friday","20","11","0","K Cole","ANN413"
