"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTE-101L","Introduction to Astronautics","","4.0 units","Lecture","29100R","001","9:30-10:50am","Mon, Wed","25","20","0","Dan Erwin","RTH115"
"","","","","Lab","29101R","001","8:00-9:50am","Tuesday","25","20","0","Dan Erwin","SAL126"
"ASTE-291","Team Projects I","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29103D","001","9:00-12:50pm","Wednesday","20","0","0","Joseph Kunc","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29104D","001","5:00-6:20pm","Tuesday","20","0","0","Joseph Kunc","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29105D","001","3:30-4:50pm","Friday","20","3","0","Dan Erwin","OFFICE"
"ASTE-301a","Thermal and Statistical Systems","P","3.0 units","Lecture","29107R","001","12:30-1:50pm","Tue, Thu","25","9","0","Joseph Kunc","VHE210"
"ASTE-330","Introduction to Spacecraft Systems and the Space Environment","P","3.0 units","Lecture","29110R","001","6:00-8:50pm","Thursday","25","9","0","Anita Sengupta","VHE210"
"ASTE-470","Spacecraft Propulsion","C","3.0 units","Lecture","29117R","001","5:10-7:50pm","Friday","50","34","0","Mike Gruntman","OHE136"
"","","","","Lecture","29157D","014","5:10-7:50pm","Friday","50","21","0","Mike Gruntman","DEN@Viterbi"
"ASTE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29120D","001","TBA","TBA","20","1","0","Dan Erwin","OFFICE"
"ASTE-491","Team Projects II","","1.0 units, max 4"
"","Lunar Lander","","1.0","Lecture","29123D","001","9:00-12:50pm","Wednesday","20","0","0","Joseph Kunc","OFFICE"
"","Microsatellite Project","","1.0","Lecture","29124D","001","5:00-6:20pm","Tuesday","20","0","0","Joseph Kunc","OFFICE"
"","Rocket Laboratory","","1.0","Lecture","29125D","001","3:30-4:50pm","Friday","30","30","0","Dan Erwin","OFFICE"
"ASTE-520","Spacecraft System Design","","3.0 units","Lecture","29132R","048","6:40-9:20pm","Monday","60","29","0","Mike Gruntman","OHE132"
"","","","","Lecture","29162D","034","6:40-9:20pm","Monday","60","45","0","Mike Gruntman","DEN@Viterbi"
"ASTE-527","Space Exploration Architectures Concept Synthesis Studio","C","3.0 units","Lecture","29134D","048","6:40-9:20pm","Tuesday","5","4","0","Madhu Thangavelu","RTH109"
