"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTR-100Lxg","The Universe","","4.0 units","Quiz","50811R","001","TBA","TBA","180","173","0","","OFFICE"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","180","174","0","Edward Rhodes","SLH200"
"","","","","Lab","50812R","001","10:00-11:50am","Wednesday","16","14","0","Joseph Vandiver","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50814R","001","12:00-1:50pm","Wednesday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50815R","001","12:00-1:50pm","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50816R","001","2:00-3:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM313"
"","","","","Lab","50817R","001","2:00-3:50pm","Thursday","16","14","0","Joseph Vandiver","SGM313"
"","","","","Lab","50818R","001","4:00-5:50pm","Wednesday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50819R","001","4:00-5:50pm","Thursday","16","15","0","Joseph Vandiver","SGM313"
"","","","","Lab","50821R","001","10:00-11:50am","Tuesday","16","13","0","Joseph Vandiver","SGM313"
"","","","","Lab","50822R","001","10:00-11:50am","Friday","16","11","0","Joseph Vandiver","SGM313"
"","","","","Lab","50823R","001","12:00-1:50pm","Tuesday","16","16","0","Joseph Vandiver","SGM313"
"","","","","Lab","50824R","001","12:00-1:50pm","Friday","16","15","0","Joseph Vandiver","SGM313"
"ASTR-104L","Special Laboratory","","1.0 unit","Lecture-Lab","50820D","001","TBA","TBA","16","2","0","Joseph Vandiver","OFFICE"
"ASTR-450","Stellar Astrophysics","P","4.0 units","Lecture","50849R","001","2:00-3:50pm","Mon, Wed","24","12","0","Geraldine Peters","HED103"
"ASTR-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture-Lab","50850D","001","TBA","TBA","24","0","0","","OFFICE"
"ASTR-740","Selected Topics in Astrophysics","P","3.0 units, max 6","Lecture","50890R","001","10:00-11:50am","Tue, Thu","12","2","0","Elena Pierpaoli","VKC103"
