"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BAEP-423","Management of Small Businesses","","4.0 units","Lecture","14373D","001","12:00-1:50pm","Mon, Wed","70","69","0","Greg Autry","HOH2"
"BAEP-450","Fundamentals of Entrepreneurship","","4.0 units","Lecture","14375D","001","4:00-5:50pm","Mon, Wed","63","62","0","Christopher Harrer","JKP112"
"BAEP-451","The Management of New Enterprises","","4.0 units","Lecture","14377D","001","8:00-9:50am","Tue, Thu","57","55","0","Patrick Henry","HOH2"
"","","","","Lecture","14378D","001","2:00-3:50pm","Tue, Thu","65","65","0","Michael Napoliello","HOH1"
"","","","","Lecture","14379D","001","4:00-5:50pm","Tue, Thu","60","60","0","Thomas Knapp","HOH1"
"","","","","Lecture","14383D","001","2:00-3:50pm","Tue, Thu","47","47","0","Patrick Henry","ACC310"
"BAEP-452","Feasibility Analysis","P","4.0 units","Lecture","14380R","001","2:00-3:50pm","Mon, Wed","42","20","0","Lori Williams","BRI5"
"","","","","Lecture","14381R","001","10:00-11:50am","Mon, Wed","42","32","0","Elissa Grossman","BRI5"
"BAEP-460","Seminar in Entrepreneurship","","2.0 units, max 4"
"","Building the Entrepreneurial Organization","","2.0","Lecture","14386D","431","4:00-7:50pm","Tuesday","22","22","0","Paul Orfalea","OFFICE"
"","Building the Entrepreneurial Organization","","2.0","Lecture","14387D","442","4:00-7:50pm","Tuesday","20","20","0","Paul Orfalea","OFFICE"
"","Raising Capital","","2.0","Lecture","14398D","001","6:00-7:50pm","Tuesday","27","27","0","Ivan Nikkhoo","ACC236"
"BAEP-465","Digital Playbook for Entrepreneurs: Creating a Tech Startup","","2.0 units","Lecture","14389D","001","2:00-3:50pm","Wednesday","39","39","0","Anthony Borquez","HOH305"
"BAEP-480","Entrepreneurial Family Business","C","4.0 units","Lecture","14384D","001","4:00-5:50pm","Tue, Thu","41","41","0","Albert Napoli","HOH304"
"BAEP-495","Practicum in Business Issues (Internship)","","1.0 unit","Lecture","14395D","001","TBA","TBA","10","0","0","","TBA"
"BAEP-497","Field Project in Entrepreneurship","C","1.0-2.0 units, max 4","Lecture","14397D","001","TBA","TBA","10","0","0","","OFFICE"
"BAEP-552","Cases in Feasibility Analysis","MC","3.0 units","Lecture","14414R","033","6:30-9:30pm","Thursday","35","20","0","Thomas Knapp","ACC236"
"","","","","Lecture","14415R","033","6:30-9:30pm","Wednesday","56","53","0","Steven Mednick","JKP212"
"","","","","Lecture","14416D","033","6:30-9:30pm","Thursday","45","28","0","Elissa Grossman","MHP105"
"BAEP-553","Cases in New Venture Management","MC","3.0 units","Lecture","14417R","033","6:30-9:30pm","Monday","72","65","0","Steven Mednick","JKP212"
"BAEP-556","Technology Feasibility","MC","3.0 units","Lecture","14418R","033","6:30-9:30pm","Tuesday","52","45","1","Kathleen Allen","JKP104"
"BAEP-559","Investing in New Ventures","MC","3.0 units","Lecture","14420R","033","6:30-9:30pm","Monday","66","65","2","Ivan Nikkhoo","HOH1"
"BAEP-563","Corporate Entrepreneurship","M","3.0 units","Lecture","14419R","033","5:00-6:20pm","Mon, Wed","60","44","0","Jeremy Dann","JKP212"
"BAEP-590","Directed Research","","1.0-12.0 units","Lecture","14409D","033","TBA","TBA","10","1","0","","OFFICE"
"BAEP-591","Social Entrepreneurship","MC","3.0 units","Lecture","14422D","033","6:30-9:30pm","Wednesday","48","44","0","Adlai Wertman","HOH2"
"BAEP-596","Research Practicum in Business Entrepreneurship","C","0.5-2.0 units, max 8","Lecture","14405D","033","TBA","TBA","10","0","0","","OFFICE"
"BAEP-597","Consulting Project in Business Entrepreneurship","C","0.5-5.0 units, max 12","Lecture","14406D","033","TBA","TBA","10","7","0","Helena Yli-Renko","OFFICE"
