"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BIOC-502","Biochemistry Seminar","","1.0 units, max 12","Lecture","40353D","046","5:00-7:00pm","Wednesday","20","0","0","",""
"BIOC-504","Molecular Biology of Cancer","","4.0 units","Lecture","40657D","046","3:00-4:50pm","Mon, Wed","40","17","0","Joseph Landolph, Gerhard Coetzee, Louis Dubeau, Darryl Shibata, Fredrick Schumacher, Anton Valouev, Wange Lu, Christina Curtis, Judd Rice, Ite Laird, Gangning Liang, James Knowles, Muller Fabbri, Axel Schonthal, Florence Hofman, Baruch Frenkel, Amir Goldkorn, Graham Casey, Wijbe Kast, Young-Kwon Hong, Ruchi Bajpai",""
"BIOC-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"BIOC-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"BIOC-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"BIOC-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"BIOC-573","Optimal Research Presentations by Ph.D. Students","M","1.0 units, max 12","Lecture","40361D","046","12:00-12:50pm","Friday","90","35","0","Young-Kwon Hong",""
"BIOC-575","Predictive and Prognostic Biomarkers in Cancer Treatment","","2.0 units","Lecture","40360D","001","1:00-3:00pm","Wednesday","11","6","0","Peter Danenberg",""
"BIOC-590","Directed Research","","1.0-10.0 units","Lecture","40365D","046","TBA","TBA","30","8","0","Zoltan Tokes","OFFICE"
"BIOC-594a","Master's Thesis","C","2.0 units","Lecture","40370D","046","TBA","TBA","25","13","0","Zoltan Tokes","OFFICE"
"BIOC-594b","Master's Thesis","PC","2.0 units","Lecture","40375D","046","TBA","TBA","25","1","0","Zoltan Tokes","OFFICE"
"BIOC-594z","Master's Thesis","PC","0.0 units","Lecture","40380D","046","TBA","TBA","25","0","0","Zoltan Tokes","OFFICE"
"BIOC-790","Research","C","1.0-12.0 units","Lecture","40386D","046","TBA","TBA","95","25","0","Michael Stallcup","OFFICE"
"BIOC-794a","Doctoral Dissertation","C","2.0 units","Lecture","40389D","046","TBA","TBA","20","8","0","Michael Stallcup","OFFICE"
"BIOC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40395D","046","TBA","TBA","40","19","0","Michael Stallcup","OFFICE"
"BIOC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40405D","046","TBA","TBA","20","3","0","Michael Stallcup","OFFICE"
"BIOC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40410D","046","TBA","TBA","20","19","0","","OFFICE"
"BIOC-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40415D","046","TBA","TBA","40","27","0","","OFFICE"
