"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BISC-101Lxg","Cellular and Molecular Biology","","4.0 units","Lecture","13117R","001","2:00-3:20pm","Tue, Thu","60","43","0","Raffaella Ghittoni","THH114"
"","","","","Lab","13102R","001","11:00-12:50pm","Tuesday","20","11","0","Raffaella Ghittoni","ZHS258"
"","","","","Lab","13103R","001","11:00-12:50pm","Wednesday","20","17","0","Raffaella Ghittoni","ZHS258"
"","","","","Lab","13105R","001","11:00-12:50pm","Friday","20","15","0","Raffaella Ghittoni","ZHS258"
"BISC-102Lxg","Humans and Their Environment","","4.0 units","Lecture","13000R","001","9:30-10:50am","Tue, Thu","180","104","0","Dale Kiefer, James Moffett</a>","SAL101"
"","","","","Lab","13106R","001","2:00-3:50pm","Tuesday","24","21","0","Yang Han","ZHS257"
"","","","","Lab","13107R","001","12:00-1:50pm","Tuesday","24","24","0","Yang Han","ZHS257"
"","","","","Lab","13108R","001","12:00-1:50pm","Thursday","24","21","0","Homera Zadran","ZHS257"
"","","","","Lab","13109R","001","2:00-3:50pm","Thursday","24","9","0","Homera Zadran","ZHS257"
"","","","","Lab","13111R","001","4:00-5:50pm","Tuesday","24","9","0","Yang Han","ZHS257"
"","","","","Lab","13113R","001","2:00-3:50pm","Wednesday","24","20","0","Homera Zadran","ZHS257"
"BISC-103Lx","General Biology for the Environment and Life","","4.0 units","Lecture","13009R","001","9:30-10:50am","Tue, Thu","60","48","0","Karla Heidelberg, Eric Webb</a>","GFS101"
"","","","","Lab","13011D","001","1:00-3:50pm","Wednesday","18","14","0","Fatma Koker","ZHS460"
"","","","","Lab","13010D","001","9:00-11:50am","Wednesday","18","18","0","Shanyuan Niu","ZHS460"
"","","","","Lab","13013D","001","12:00-2:50pm","Thursday","18","16","0","Fatma Koker","ZHS460"
"BISC-104Lxg","How the Body Works: Topics in Human Physiology","","4.0 units","Lecture","13001R","001","1:00-1:50pm","MWF","120","116","0","Bruce Yazejian, Chien-Ping Ko</a>","THH102"
"","","","","Lab","13120D","001","10:00-11:50am","Tuesday","20","20","0","Sarah Vargas","ZHS372"
"","","","","Lab","13121D","001","10:00-11:50am","Wednesday","20","19","0","Sarah Vargas","ZHS372"
"","","","","Lab","13122D","001","10:00-11:50am","Thursday","20","20","0","Damian Wang","ZHS372"
"","","","","Lab","13126D","001","2:00-3:50pm","Tuesday","20","18","0","Sarah Vargas","ZHS372"
"","","","","Lab","13127D","001","2:00-3:50pm","Wednesday","20","19","0","Damian Wang","ZHS372"
"","","","","Lab","13128D","001","2:00-3:50pm","Thursday","20","20","0","Damian Wang","ZHS372"
"BISC-108L","Special Laboratory I","","1.0 unit","Lecture-Lab","13002D","001","TBA","TBA","10","1","0","Albert Herrera","OFFICE"
"BISC-120Lg","General Biology: Organismal Biology and Evolution","","4.0 units","Lecture","13003R","001","2:00-3:20pm","Tue, Thu","305","271","0","Andrew Gracey, Oliver Rizk","THH101"
"","","","","Lecture","13004R","001","9:00-9:50am","MWF","300","155","0","Suzanne Edmands, Wiebke Ziebis, Oliver Rizk","THH101"
"","","","","Lecture","13005R","001","10:00-10:50am","MWF","310","285","0","Suzanne Edmands, Wiebke Ziebis, Oliver Rizk","THH101"
"","","","","Lab","13140R","001","8:00-10:50am","Tuesday","20","15","0","Polina Nesterova","ZHS361"
"","","","","Lab","13141R","001","8:00-10:50am","Tuesday","20","15","0","Refael Levi","ZHS363"
"","","","","Lab","13142R","001","8:00-10:50am","Tuesday","20","19","0","Casey Barr","ZHS365"
"","","","","Lab","13143R","001","8:00-10:50am","Wednesday","20","19","0","Carolina Vazquez Reyes","ZHS365"
"","","","","Lab","13144R","001","11:00-1:50pm","Friday","20","20","0","Adam Schanen","ZHS361"
"","","","","Lab","13145R","001","5:00-7:50pm","Tuesday","20","19","0","Trond Sigurdsen","ZHS365"
"","","","","Lab","13146R","001","8:00-10:50am","Thursday","20","20","0","Carolina Vazquez Reyes","ZHS361"
"","","","","Lab","13147R","001","8:00-10:50am","Thursday","20","19","0","Refael Levi","ZHS363"
"","","","","Lab","13148R","001","8:00-10:50am","Thursday","20","20","0","Christina Johnson","ZHS365"
"","","","","Lab","13149R","001","5:00-7:50pm","Wednesday","20","18","0","Polina Nesterova","ZHS361"
"","","","","Lab","13150R","001","5:00-7:50pm","Thursday","20","20","0","Richard Giles","ZHS361"
