"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BKN-504","Neuromuscular Systems","","3.0 units","Lecture","29295D","048","11:00-12:20pm","Mon, Wed","30","21","0","Francisco Valero-Cuevas","KAP165"
"BKN-551","Musculoskeletal and Biomechanical Basis of Movement","","4.0 units","Lecture","12402R","012","4:00-6:00pm","Tuesday","15","14","0","Kornelia Kulig","CHP233A, CHP233A"
"BKN-559","Readings in Biokinesiology","","1.0-4.0 units, max 8","Lecture","12406D","012","TBA","TBA","20","9","0","Jim Gordon","OFFICE"
"BKN-563","Biomechanics","","2.0 units","Lecture","12418R","012","TBA","TBA","20","7","0","Chris Powers, George Salem","OFFICE"
"BKN-578","Classic Readings in Biokinesiology","","2.0 units","Lecture","12422D","012","5:30-7:30pm","Wednesday","12","12","0","Jim Gordon","CHP233A"
"BKN-590","Directed Research","","1.0-12.0 units","Lecture","12432D","012","TBA","TBA","20","8","0","Jim Gordon","OFFICE"
"BKN-599","Special Topics","","2.0-4.0 units, max 8"
"","Restorative Neurorehabitation","","4.0","Lecture","12443R","012","8:00-9:50am","Mon, Wed","15","10","0","Michael Jakowec","CHP224"
"BKN-672","Advanced Independent Study in Biokinesiology","MC","1.0-4.0 units, max 8","Lecture","12454D","012","TBA","TBA","10","2","0","Jim Gordon","OFFICE"
"BKN-790","Research","","1.0-12.0 units","Lecture","12456D","012","TBA","TBA","10","2","0","Jim Gordon","OFFICE"
"BKN-794a","Doctoral Dissertation","","2.0 units","Lecture","12460R","012","TBA","TBA","10","5","0","","OFFICE"
"BKN-794b","Doctoral Dissertation","P","2.0 units","Lecture","12462R","012","TBA","TBA","10","0","0","","OFFICE"
"BKN-794c","Doctoral Dissertation","P","2.0 units","Lecture","12464R","012","TBA","TBA","5","3","0","","OFFICE"
"BKN-794d","Doctoral Dissertation","P","2.0 units","Lecture","12466R","012","TBA","TBA","5","1","0","","OFFICE"
"BKN-794z","Doctoral Dissertation","P","0.0 units","Lecture","12468R","012","TBA","TBA","5","2","0","","OFFICE"
