"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BME-101","Introduction to Biomedical Engineering","","3.0 units","Lecture","29200D","001","9:30-10:50am","Tue, Thu","66","59","0","Brittany Kay","THH212"
"","","","","Discussion","29210R","001","8:30-9:50am","Monday","66","59","0","Brittany Kay","DRB351"
"","","","","Lecture","29205D","001","9:30-10:50am","Tue, Thu","58","57","0","Jean-Michel Maarek","SSL150"
"","","","","Discussion","29215R","001","1:30-2:50pm","Monday","58","57","0","Jean-Michel Maarek","DRB351"
"BME-403","Physiological Systems","P","3.0 units","Lecture","29220D","001","8:00-9:20am","Mon, Wed","76","66","0","Stan Yamashiro","ZHS352"
"BME-404","Biomechanics","P","3.0 units","Lecture","29225D","001","5:00-6:20pm","Mon, Wed","31","23","0","Edward Ebramzadeh","VHE206"
"BME-405L","Senior Projects: Measurements and Instrumentation","P","4.0 units","Lecture","29230D","001","11:00-12:20pm","Tue, Thu","37","36","0","Jean-Michel Maarek","DRB351"
"","","","","Lab","29228D","001","2:00-4:50pm","Tuesday","20","20","0","Jean-Michel Maarek","DRB351"
"","","","","Lab","29235D","001","3:00-5:50pm","Monday","18","16","0","Jean-Michel Maarek","DRB351"
"BME-423","Statistical Methods in Biomedical Engineering","P","3.0 units","Lecture","29250D","001","12:00-1:50pm","Mon, Wed","36","36","0","David D'Argenio","DRB351"
"","","","","Lecture","29255D","001","12:00-1:50pm","Mon, Wed","38","34","0","Brittany Kay","KAP140"
"BME-425","Basics of Biomedical Imaging","P","3.0 units","Lecture","29251D","001","2:00-4:50pm","Thursday","48","25","0","Brent Liu","RTH109"
"BME-452","Introduction to Biomimetic Neural Engineering","P","3.0 units","Lecture","29265D","001","2:00-4:50pm","Wednesday","17","18","0","Tuan Hoang","KAP159"
"BME-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","29270D","001","TBA","TBA","25","6","0","Norberto Grzywacz","OFFICE"
"BME-499","Special Topics","","2.0-4.0 units, max 8"
"","Principles and Applications of Systems Biology","","3.0","Lecture","29262D","001","12:30-1:50pm","Tue, Thu","30","26","0","Stacey Finley","VHE206"
"BME-501","Advanced Topics in Biomedical Systems","","4.0 units","Lecture","29275D","034","12:30-1:50pm","Tue, Thu","20","5","0","Brittany Kay","DEN@Viterbi"
"","","","","Lecture","29280D","048","12:30-1:50pm","Tue, Thu","28","22","0","Brittany Kay","OHE120"
"BME-502","Advanced Studies of the Nervous System","","4.0 units","Lecture","29285D","034","12:30-1:50pm","Tue, Thu","70","4","0","Bartlett Mel","DEN@Viterbi"
"","","","","Lecture","29290D","048","12:30-1:50pm","Tue, Thu","70","50","0","Bartlett Mel","OHE122"
"BME-504","Neuromuscular Systems","","3.0 units","Lecture","29295D","048","11:00-12:20pm","Mon, Wed","30","21","0","Francisco Valero-Cuevas","KAP165"
