"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUAD-100x","Foundations of Finance and Accounting","","2.0 units","Lecture","14470D","928","4:00-5:50pm","Mon, Wed","160","125","0","Robert Trezevant","THH301"
"BUAD-101","Freshman Leadership Seminar","M","2.0 units","Lecture","14472D","001","10:00-11:50am","Friday","120","103","0","Jim Ellis, Stacy Geck","HOH EDI"
"BUAD-105","The Business Experience","M","2.0 units","Lecture","14498R","001","8:00-9:50am","Monday","39","34","0","Bob Kiddoo","BRI5"
"BUAD-200x","Economic Foundations for Business","","2.0 units","Lecture","14485R","001","10:00-11:50am","Monday","40","40","0","Nimfa Bemis","HOH305"
"","","","","Lecture","14487R","001","10:00-11:50am","Wednesday","40","40","0","Nimfa Bemis","HOH305"
"BUAD-201x","Introduction to Business for Non-Majors","","4.0 units","Lecture","14490D","001","6:00-7:50pm","Tue, Thu","48","47","0","Albert Napoli","MHP B7B"
"","","","","Lecture","14492D","001","6:00-9:50pm","Tuesday","46","41","0","P Amini","ZHS163"
"BUAD-206","Transfer International Experience","M","2.0 units","Lecture","14550D","297","TBA","TBA","40","0","0","","TBA"
"BUAD-206a","Transfer International Experience","M","1.0 unit","Lecture","14544D","133","6:00-7:50pm","Tuesday","40","18","0","Gerald Giaquinta","HOH302"
"","","","","Lecture","14551D","297","10:00-11:50am","Friday","40","18","0","","HOH421"
"BUAD-215x","Foundations of Business Finance","P","4.0 units","Lecture","14495R","001","8:00-9:50am","Mon, Wed","45","45","0","Nimfa Bemis","HOH303"
"","","","","Lecture","14497R","001","8:00-9:50am","Tue, Thu","75","72","0","Nimfa Bemis","HOH EDI"
"BUAD-252","Choosing and Planning a Future Career in Business","","2.0 units","Lecture","14589R","001","6:00-7:50pm","Tuesday","48","46","0","Kirk Snyder","GFS118"
"","","","","Lecture","14591D","001","6:00-7:50pm","Thursday","48","32","0","Kirk Snyder","GFS118"
"BUAD-285a","Accounting Fundamentals, Financial and Managerial Accounting","","4.0 units","Lecture","14510D","001","8:00-9:50am","Mon, Wed","46","46","0","Eric Allen","ACC303"
"","","","","Lecture","14511D","001","4:00-5:50pm","Mon, Wed","39","34","0","Ruben Davila","HOH422"
"","","","","Lecture","14512D","001","8:00-9:50am","Tue, Thu","46","44","0","Smrity Randhawa","HOH303"
"","","","","Lecture","14513D","001","12:00-1:50pm","Mon, Wed","40","38","0","Eric Allen","HOH301"
"","","","","Lecture","14514D","001","8:00-9:50am","Mon, Wed","44","37","0","Ruben Davila","HOH421"
"","","","","Lecture","14515D","001","12:00-1:50pm","Tue, Thu","40","40","0","Smrity Randhawa","HOH301"
"","","","","Lecture","14516D","001","2:00-3:50pm","Tue, Thu","45","45","0","Smrity Randhawa","HOH304"
"","","","","Lecture","14517D","001","4:00-5:50pm","Tue, Thu","41","41","0","Adrian Stern","HOH301"
"","","","","Lecture","14518D","001","2:00-3:50pm","Mon, Wed","40","40","0","Eric Allen","HOH301"
"","","","","Lecture","14519D","001","6:00-7:50pm","Tue, Thu","39","37","0","Kevin Caporicci","HOH301"
"BUAD-285b","Accounting Fundamentals, Financial and Managerial Accounting","","2.0 units","Lecture","14520D","431","8:00-9:50am","Mon, Wed","40","33","0","Kendall Simmonds","HOH422"
"","","","","Lecture","14521D","431","10:00-11:50am","Mon, Wed","40","38","0","Bob Kiddoo","HOH422"
"","","","","Lecture","14522D","431","12:00-1:50pm","Tue, Thu","46","36","0","Thomas Lin","ACC201"
"","","","","Lecture","14523D","431","2:00-3:50pm","Tue, Thu","45","36","0","Thomas Lin","ACC303"
"","","","","Lecture","14525R","442","8:00-9:50am","Mon, Wed","1","0","0","",""
"","","","","Lecture","14526R","442","12:00-1:50pm","Mon, Wed","43","45","0","Merle Hopkins","HOH421"
"","","","","Lecture","14527R","442","10:00-11:50am","Mon, Wed","38","39","0","Bob Kiddoo","HOH422"
"BUAD-286a","Accounting Fundamentals, Managerial and Financial Accounting","","4.0 units","Lecture","14530D","001","8:00-9:50am","Tue, Thu","45","44","0","Zivia Wilson Sweeney","HOH304"
"","","","","Lecture","14531D","001","10:00-11:50am","Mon, Wed","46","45","0","Robert Shames","ACC303"
"","","","","Lecture","14532D","001","10:00-11:50am","Tue, Thu","46","45","0","Zivia Wilson Sweeney","HOH304"
"","","","","Lecture","14533D","001","12:00-1:50pm","Mon, Wed","46","44","0","Robert Shames","ACC303"
"","","","","Lecture","14534D","001","2:00-3:50pm","Tue, Thu","40","38","0","Zivia Wilson Sweeney","HOH301"
"","","","","Lecture","14538D","001","4:00-5:50pm","Mon, Wed","40","39","0","John Karayan","HOH301"
"BUAD-286b","Accounting Fundamentals, Managerial and Financial Accounting","","2.0 units","Lecture","14540D","431","8:00-9:50am","Tue, Thu","1","0","0","",""
"","","","","Lecture","14541D","431","10:00-11:50am","Tue, Thu","36","33","0","Gary Smith","ACC205"
"","","","","Lecture","14542D","431","12:00-1:50pm","Tue, Thu","36","30","0","Gary Smith","ACC205"
"","","","","Lecture","14543D","431","4:00-5:50pm","Tue, Thu","44","37","0","Gary Smith","ACC303"
"","","","","Lecture","14547R","442","10:00-11:50am","Mon, Wed","37","37","0","Kendall Simmonds","ACC236"
"","","","","Lecture","14548R","442","4:00-5:50pm","Mon, Wed","45","44","0","Andrew Tinseth","HOH303"
"","","","","Lecture","14549R","442","6:00-7:50pm","Mon, Wed","1","0","0","",""
"BUAD-301","Technical Entrepreneurship","","3.0 units","Lecture","14640D","001","6:00-8:50pm","Monday","54","46","0","Kathleen Allen","HOH2"
"","","","","Lecture","14641R","001","6:00-8:50pm","Monday","42","41","0","Greg Autry","BRI5"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","42","42","0","Greg Autry","BRI5"
"BUAD-302","Communication Strategy in Business","","4.0 units","Lecture","14646D","001","8:00-9:50am","Mon, Wed","32","29","0","Maria Colman","HOH302"
"","","","","Lecture","14648D","001","8:00-9:50am","Mon, Wed","32","28","0","Stacy Geck","HOH306"
"","","","","Lecture","14650D","001","10:00-11:50am","Mon, Wed","32","29","0","Rs Hubbard","HOH302"
"","","","","Lecture","14652D","001","10:00-11:50am","Mon, Wed","32","28","0","Stacy Geck","HOH306"
"","","","","Lecture","14654D","001","12:00-1:50pm","Mon, Wed","32","26","0","Rs Hubbard","HOH302"
"","","","","Lecture","14656D","001","12:00-1:50pm","Mon, Wed","32","30","0","Stacy Geck","HOH306"
"","","","","Lecture","14658D","001","2:00-3:50pm","Mon, Wed","32","32","0","Yolanda Kirk","HOH302"
"","","","","Lecture","14660D","001","2:00-3:50pm","Mon, Wed","32","31","0","Gerald Giaquinta","HOH306"
"","","","","Lecture","14662D","001","4:00-5:50pm","Mon, Wed","32","28","0","Rs Hubbard","HOH302"
"","","","","Lecture","14664D","001","4:00-5:50pm","Mon, Wed","32","31","0","Gerald Giaquinta","HOH306"
"","","","","Lecture","14666D","001","6:00-7:50pm","Mon, Wed","32","32","0","Cesar Armendariz","HOH302"
"","","","","Lecture","14668D","001","6:00-7:50pm","Mon, Wed","32","31","0","Gerald Giaquinta","HOH306"
"","","","","Lecture","14671D","001","8:00-9:50am","Tue, Thu","32","30","0","Ellen-Linnea Dipprey","HOH306"
"","","","","Lecture","14673D","001","8:00-9:50am","Tue, Thu","32","31","0","Cynthia Alt","HOH302"
"","","","","Lecture","14675D","001","10:00-11:50am","Tue, Thu","32","31","0","Cynthia Alt","HOH302"
"","","","","Lecture","14679D","001","12:00-1:50pm","Tue, Thu","32","30","0","Martha Townsend","HOH302"
"","","","","Lecture","14687D","001","4:00-5:50pm","Tue, Thu","32","31","0","David Bacci","HOH306"
"","","","","Lecture","14689D","001","4:00-5:50pm","Tue, Thu","32","32","0","Kirk Snyder","HOH302"
"","","","","Lecture","14691D","001","6:00-7:50pm","Tue, Thu","32","32","0","David Bacci","HOH306"
"","","","","Lecture","14693D","001","6:00-7:50pm","Tue, Thu","32","30","0","Cesar Armendariz","BRI5"
"BUAD-302t","Communication Strategy in Accounting","M","4.0 units","Lecture","14702D","001","2:00-3:50pm","Tue, Thu","39","39","0","Naomi Warren","ACC236"
"","","","","Lecture","14700D","001","8:00-9:50am","Mon, Wed","1","0","0","",""
"","","","","Lecture","14701D","001","10:00-11:50am","Mon, Wed","40","40","0","Yolanda Kirk","HOH303"
"","","","","Lecture","14704D","001","4:00-5:50pm","Tue, Thu","35","21","0","Naomi Warren","ACC236"
"","","","","Lab","14705D","001","8:00-9:50am","Friday","40","23","0","Naomi Warren, Yolanda Kirk","HOH421"
