"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"BUCO-252","The Art of Case Analysis and Presentation","","2.0 units","Lecture","15155R","001","10:00-11:50am","Friday","32","24","0","Michael Coombs","HOH302"
"BUCO-260","Business Communication Across Cultures","","2.0 units","Lecture","15160D","001","2:00-3:50pm","Tuesday","23","16","0","Jolanta Aritz","HOH302"
"BUCO-333m","Communication in the Working World -- Managing Diversity and Conflict","","4.0 units","Lecture","15168D","001","12:00-1:50pm","Tue, Thu","32","30","0","Sharoni Little","HOH306"
"BUCO-425","Ethics and Professional Communication","","4.0 units","Lecture","15169D","001","10:00-11:50am","Tue, Thu","25","25","0","Stephen Byars","BRI5"
"BUCO-445","Building Oral Communication Expertise","","4.0 units","Lecture","15170D","001","2:00-3:50pm","Tue, Thu","28","26","0","Kirk Snyder","HOH306"
"BUCO-450","Communication for Organizations: Exploring Creativity","","2.0 units","Lecture","15172D","001","2:00-3:50pm","Thursday","28","18","0","Ellen-Linnea Dipprey","HOH302"
"BUCO-503","Advanced Managerial Communication","M","3.0 units","Lecture","15178D","001","12:30-1:50pm","Mon, Wed","32","31","0","Peter Cardon","BRI202"
"","","","","Lecture","15179R","033","12:30-1:50pm","Tue, Thu","28","21","0","Stephen Byars","JKP102"
"BUCO-533","Managing Communication in Organizations","MC","3.0 units","Lecture","15182R","001","2:00-3:20pm","Tue, Thu","30","26","0","Daylanne Markwardt","BRI202"
"","","","","Lecture","15183R","001","12:30-1:50pm","Tue, Thu","30","28","0","Daylanne Markwardt","BRI202"
"BUCO-633","Writing a Journal Article for Publication","C","2.0 units, max 4","Lecture","15185D","036","3:30-5:20pm","Tuesday","10","5","0","Lee Cerling","ACC312"
"BUCO-636","Communication for Doctoral Students: Tutorial","PMC","1.0 units, max 4","Lecture","15186D","036","TBA","Thursday","5","1","0","Lee Cerling","OFFICE"
