"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHE-120","Introduction to Chemical Engineering","","3.0 units","Lecture","29490D","001","9:00-9:50am","MWF","35","14","0","Ted Lee","RTH109"
"","","","","Discussion","29492R","001","12:00-12:50pm","Friday","35","11","0","","VHE217"
"","","","","Discussion","29494R","001","1:00-1:50pm","Monday","35","3","0","","KAP145"
"CHE-330","Chemical Engineering Thermodynamics","","3.0 units","Lecture","29400D","001","9:30-10:50am","Tue, Thu","49","49","0","Katherine Shing","THH208"
"","","","","Lecture","29472D","001","2:00-3:20pm","Mon, Wed","50","24","0","Katherine Shing","GFS118"
"","","","","Discussion","29402R","001","11:00-11:50am","Tuesday","31","30","0","","MRF229"
"","","","","Discussion","29404R","001","11:00-11:50am","Thursday","27","23","0","","KAP140"
"","","","","Discussion","29405R","001","2:00-2:50pm","Wednesday","25","20","0","","VHE210"
"","","","","Discussion","29474D","001","2:00-2:50pm","Wednesday","25","0","0","","VKC205"
"CHE-405","Applications of Probability and Statistics for Chemical Engineers","P","3.0 units","Lecture","29406D","001","1:00-1:50pm","MWF","56","54","0","Katherine Shing","MHP105"
"CHE-442","Chemical Reactor Analysis","P","3.0 units","Discussion","29409R","001","1:00-1:50pm","Monday","30","21","0","","KAP158"
"","","","","Lecture","29407D","001","11:00-12:20pm","Tue, Thu","28","27","0","Theo Tsotsis","THH116"
"","","","","Lecture","29408D","001","2:00-3:20pm","Tue, Thu","35","32","0","Theo Tsotsis","GFS118"
"","","","","Discussion","29410R","001","4:00-4:50pm","Monday","65","38","0","","GFS116"
"CHE-444bL","Chemical Engineering Laboratory","P","3.0 units","Lecture","29412D","001","2:00-3:20pm","Monday","70","63","0","Katherine Shing, Faezeh Bagheri Tar","MHP101"
"","","","","Lab","29414R","001","3:30-6:20pm","Monday","15","15","0","","PCE104"
"","","","","Lab","29416R","001","3:30-6:20pm","Wednesday","15","15","0","","PCE104"
"","","","","Lab","29417R","001","2:00-4:50pm","Friday","15","3","0","",""
"","","","","Lab","29418R","001","4:00-6:50pm","Tuesday","15","15","0","","PCE104"
"","","","","Lab","29419R","001","2:00-4:50pm","Thursday","15","15","0","","PCE104"
"CHE-445","Heat Transfer in Chemical Engineering Processes","P","2.0 units","Lecture","29420D","001","6:30-8:20pm","Wednesday","72","69","0","Malancha Gupta","MHP106"
"","","","","Lecture","29421D","001","4:00-5:50pm","Wednesday","40","0","0","",""
"CHE-461","Formation Evaluation","","3.0 units","Lecture","32204D","001","11:00-1:40pm","Tuesday","70","61","0","Donald Hill","OHE136"
"","","","","Lecture","32206D","014","11:00-1:40pm","Tuesday","25","5","0","Donald Hill","DEN@Viterbi"
"","","","","Lecture","32299D","001","6:20-9:00pm","Monday","25","20","0","Donald Hill","KAP159"
"CHE-463L","Introduction to Transport Processes in Porous Media","P","3.0 units","Lecture","32208D","001","3:30-6:10pm","Wednesday","30","29","0","Kristian Jessen","OHE136"
"","","","","Lab","32210D","001","3:00-5:30pm","Monday","8","8","0","Kristian Jessen","PCE313"
"","","","","Lab","32280D","001","4:00-6:30pm","Friday","5","5","0","Kristian Jessen","PCE313"
"","","","","Lab","32288D","001","3:30-6:00pm","Tuesday","9","8","0","Kristian Jessen","PCE313"
"","","","","Lab","32290D","001","3:30-6:00pm","Thursday","8","8","0","Kristian Jessen","PCE313"
"CHE-465L","Drilling Technology and Subsurface Methods","P","3.0 units","Lecture","32212D","001","5:30-8:00pm","Tuesday","30","30","0","Bradford Pierce","KAP146"
