"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CHEM-050x","General Chemistry Tutorial","","2.0 units","Lecture","17200D","001","12:30-1:50pm","Tuesday","30","26","0","","KAP163"
"","","","","Lecture","17201D","001","9:30-10:50am","Tuesday","30","16","0","","VKC203"
"CHEM-102","The Molecular World","","4.0 units","Lecture","17210R","001","12:00-12:50pm","MWF","60","37","0","Rebecca Broyer","GFS118"
"","","","","Discussion","17212R","001","3:30-4:50pm","Thursday","60","37","0","","GFS101"
"CHEM-105aLg","General Chemistry","P","4.0 units","Lecture","17222R","001","9:00-9:50am","MWF","240","162","0","Thomas Bertolini","SGM123"
"","","","","Lecture","17226R","001","10:00-10:50am","MWF","240","195","0","Thomas Bertolini, Mark Thompson</a>","SGM123"
"","","","","Lecture","17230R","001","11:00-11:50am","MWF","280","228","0","Jessica Parr","SGM123"
"","","","","Quiz","17232R","001","3:30-4:50pm","Thursday","680","589","0","","SGM123"
"","","","","Lab","17239D","001","9:30-12:20pm","Tuesday","18","17","0","","SGM205"
"","","","","Lab","17241D","001","9:30-12:20pm","Tuesday","18","16","0","","SGM207"
"","","","","Lab","17243D","001","9:30-12:20pm","Tuesday","18","17","0","","SGM212"
"","","","","Lab","17245D","001","9:30-12:20pm","Tuesday","16","13","0","","SGM213"
"","","","","Lab","17247D","001","11:00-1:50pm","Tuesday","18","17","0","","SGM208"
"","","","","Lab","17249D","001","11:00-1:50pm","Tuesday","18","18","0","","SGM209"
"","","","","Lab","17251D","001","12:00-2:50pm","Wednesday","18","17","0","","SGM208"
"","","","","Lab","17253D","001","12:00-2:50pm","Wednesday","16","15","0","","SGM209"
"","","","","Lab","17255D","001","12:30-3:20pm","Tuesday","18","14","0","","SGM205"
"","","","","Lab","17257D","001","12:30-3:20pm","Tuesday","18","17","0","","SGM207"
"","","","","Lab","17259D","001","12:30-3:20pm","Tuesday","16","16","0","","SGM212"
"","","","","Lab","17261D","001","12:30-3:20pm","Tuesday","16","16","0","","SGM213"
"","","","","Lab","17263D","001","1:00-3:50pm","Monday","18","18","0","","SGM205"
"","","","","Lab","17265D","001","1:00-3:50pm","Monday","16","14","0","","SGM207"
"","","","","Lab","17267D","001","1:00-3:50pm","Monday","16","14","0","","SGM212"
"","","","","Lab","17269D","001","1:00-3:50pm","Monday","16","16","0","","SGM213"
"","","","","Lab","17271D","001","1:00-3:50pm","Wednesday","18","18","0","","SGM212"
"","","","","Lab","17273D","001","1:00-3:50pm","Wednesday","18","18","0","","SGM213"
"","","","","Lab","17275D","001","2:00-4:50pm","Monday","18","17","0","","SGM208"
"","","","","Lab","17277D","001","2:00-4:50pm","Monday","18","18","0","","SGM209"
"","","","","Lab","17279D","001","2:00-4:50pm","Tuesday","18","17","0","","SGM208"
"","","","","Lab","17281D","001","2:00-4:50pm","Tuesday","16","16","0","","SGM209"
"","","","","Lab","17283D","001","3:00-5:50pm","Wednesday","18","14","0","","SGM208"
"","","","","Lab","17285D","001","3:00-5:50pm","Wednesday","18","16","0","","SGM208"
"","","","","Lab","17287D","001","3:30-6:20pm","Tuesday","18","17","0","","SGM205"
"","","","","Lab","17289D","001","3:30-6:20pm","Tuesday","18","17","0","","SGM207"
"","","","","Lab","17291D","001","3:30-6:20pm","Tuesday","18","18","0","","SGM212"
"","","","","Lab","17293D","001","3:30-6:20pm","Tuesday","18","16","0","","SGM213"
"","","","","Lab","17295D","001","4:00-6:50pm","Monday","18","16","0","","SGM205"
"","","","","Lab","17297D","001","4:00-6:50pm","Monday","18","16","0","","SGM207"
"","","","","Lab","17299D","001","4:00-6:50pm","Monday","18","17","0","","SGM212"
"","","","","Lab","17301D","001","4:00-6:50pm","Monday","16","16","0","","SGM213"
"","","","","Lab","17303D","001","4:00-6:50pm","Wednesday","18","17","0","","SGM212"
"","","","","Lab","17305D","001","4:00-6:50pm","Wednesday","18","18","0","","SGM213"
"","","","","Lab","17307D","001","5:00-7:50pm","Tuesday","18","16","0","","SGM208"
"","","","","Lab","17309D","001","5:00-7:50pm","Tuesday","18","16","0","","SGM209"
"CHEM-105bL","General Chemistry","P","4.0 units","Lecture","17314R","001","11:00-11:50am","MWF","200","150","0","Thomas Bertolini","SGM124"
"","","","","Quiz","17316R","001","3:30-4:50pm","Tuesday","200","154","0","","SGM123"
"","","","","Lab","17317D","001","9:30-12:20pm","Thursday","8","8","0","","SGM208"
"","","","","Lab","17319D","001","9:30-12:20pm","Thursday","8","7","0","","SGM209"
"","","","","Lab","17321D","001","11:00-1:50pm","Thursday","14","14","0","","SGM205"
"","","","","Lab","17323D","001","11:00-1:50pm","Thursday","16","16","0","","SGM207"
"","","","","Lab","17325D","001","11:00-1:50pm","Thursday","2","2","0","","SGM212"
"","","","","Lab","17329D","001","12:30-3:20pm","Thursday","9","8","0","","SGM208"
"","","","","Lab","17331D","001","12:30-3:20pm","Thursday","7","7","0","","SGM209"
"","","","","Lab","17333D","001","1:00-3:50pm","Wednesday","16","16","0","","SGM205"
"","","","","Lab","17335D","001","1:00-3:50pm","Wednesday","16","15","0","","SGM207"
"","","","","Lab","17337D","001","2:00-4:50pm","Thursday","15","15","0","","SGM205"
"","","","","Lab","17339D","001","2:00-4:50pm","Thursday","12","10","0","","SGM207"
"","","","","Lab","17341D","001","2:00-4:50pm","Thursday","5","4","0","","SGM212"
"","","","","Lab","17349D","001","4:00-6:50pm","Wednesday","16","16","0","","SGM205"
"","","","","Lab","17351D","001","4:00-6:50pm","Wednesday","16","16","0","","SGM207"
"CHEM-115aLg","Advanced General Chemistry","","4.0 units","Lecture-Discussion","17352D","001","9:00-9:50am","MWF","80","73","0","Hanna Reisler, Jessica Parr</a>","SGM101"
"","","","","Quiz","17354R","001","3:30-4:50pm","Thursday","80","73","0","","SGM101"
"","","","","Lab","17357R","001","9:00-11:50am","Tuesday","16","13","0","","SGM117"
