"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CLAS-150g","The Greeks and the West","","4.0 units","Lecture","19800R","001","12:00-1:50pm","Mon, Wed","151","147","0","Susan Lape","THH301"
"","","","","Discussion","19801R","001","10:00-10:50am","Monday","25","25","0","Robert Matera","VPD106"
"","","","","Discussion","19802R","001","11:00-11:50am","Monday","25","24","0","Robert Matera","VKC207"
"","","","","Discussion","19803R","001","10:00-10:50am","Wednesday","25","25","0","Steven Gonzalez","GFS105"
"","","","","Discussion","19804R","001","11:00-11:50am","Wednesday","25","24","0","Hannah Mason","VKC207"
"","","","","Discussion","19805R","001","10:00-10:50am","Friday","25","25","0","Hannah Mason","VKC211"
"","","","","Discussion","19806R","001","11:00-11:50am","Friday","26","24","0","Steven Gonzalez","VKC211"
"CLAS-202","Archaeology: Our Human Past","","4.0 units","Lecture","10642R","001","9:30-10:50am","Tue, Thu","25","7","0","Thomas Garrison","GFS221"
"CLAS-320gm","Diversity and the Classical Western Tradition","","4.0 units","Lecture","19810D","001","11:00-12:20pm","Tue, Thu","200","197","0","Daniel Richter","THH101"
"","","","","Discussion","19811R","001","9:00-9:50am","Tuesday","25","25","0","Lucas Herchenroeder","WPH101"
"","","","","Discussion","19812R","001","9:00-9:50am","Tuesday","25","25","0","Sergio Arguello","VKC158"
"","","","","Discussion","19813R","001","9:00-9:50am","Thursday","25","25","0","Lucas Herchenroeder","WPH101"
"","","","","Discussion","19814R","001","9:00-9:50am","Thursday","25","24","0","Sergio Arguello","VKC252"
"","","","","Discussion","19815R","001","10:00-10:50am","Friday","25","25","0","Christian Lehmann","THH108"
"","","","","Discussion","19816R","001","10:00-10:50am","Friday","25","23","0","Charles Russell-Schlesinger","VKC210"
"","","","","Discussion","19817D","001","11:00-11:50am","Friday","26","25","0","Christian Lehmann","THH108"
"","","","","Discussion","19818R","001","11:00-11:50am","Friday","25","25","0","Charles Russell-Schlesinger","VKC210"
"CLAS-321","Greek Art and Archaeology","","4.0 units","Lecture","11923R","001","11:00-12:20pm","Tue, Thu","26","22","0","Ann Yasin","VKC260"
"CLAS-337","Ancient Drama","","4.0 units","Lecture","19820R","001","2:00-3:20pm","Mon, Wed","30","18","0","Thomas Cirillo","THH108"
"CLAS-415","Object-Worlds: Histories and Theories of Things","","4.0 units","Lecture","11991D","001","2:00-4:50pm","Tuesday","20","11","0","Ann Yasin","VKC209"
"CLAS-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","19840D","001","TBA","TBA","10","1","0","William Thalmann","OFFICE"
"CLAS-495x","Honors Research","","4.0 units","Lecture","19841D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-510","Seminar in Classical Philology","","4.0 units","Lecture","19842R","001","2:00-4:50pm","Tuesday","10","7","0","Thomas Habinek","SOS B45"
"CLAS-515","Topics in Classical Scholarship","","4.0 units","Lecture","19843R","001","2:00-4:50pm","Thursday","14","7","0","James Collins","THH107"
"CLAS-590","Directed Research","","1.0-12.0 units","Lecture","19855D","001","TBA","TBA","10","1","0","William Thalmann","OFFICE"
"CLAS-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"CLAS-594a","Master's Thesis","C","2.0 units","Lecture","19852D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-594b","Master's Thesis","P","2.0 units","Lecture","19853D","001","TBA","TBA","10","1","0","","OFFICE"
"CLAS-594z","Master's Thesis","P","0.0 units","Lecture","19854D","001","TBA","TBA","10","0","0","","OFFICE"
"CLAS-790","Research","","1.0-12.0 units","Lecture","19856D","001","TBA","TBA","8","0","0","","OFFICE"
"CLAS-794a","Doctoral Dissertation","C","2.0 units","Lecture","19860D","001","TBA","TBA","10","3","0","","OFFICE"
"CLAS-794b","Doctoral Dissertation","P","2.0 units","Lecture","19861D","001","TBA","TBA","10","2","0","","OFFICE"
"CLAS-794c","Doctoral Dissertation","P","2.0 units","Lecture","19862D","001","TBA","TBA","10","2","0","","OFFICE"
"CLAS-794d","Doctoral Dissertation","P","2.0 units","Lecture","19864D","001","TBA","TBA","10","1","0","","OFFICE"
"CLAS-794z","Doctoral Dissertation","P","0.0 units","Lecture","19865D","001","TBA","TBA","10","3","0","","OFFICE"
