"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMGT-500","Managing Communication","","4.0 units","Lecture","21700D","001","2:00-4:50pm","Monday","20","9","0","Kimberlie Stephens","ANN L115"
"","","","","Lecture","21701D","169","TBA","TBA","70","52","0","Kimberlie Stephens, Jane MacOubrie, Jessica Neff","ONLINE"
"CMGT-503","Strategic Communication Consulting","","4.0 units","Lecture","21705D","001","6:30-9:20pm","Thursday","28","28","0","Rebecca Weintraub","ASC204"
"CMGT-505","Communication in Work Settings","","4.0 units","Lecture","21707D","001","2:00-4:50pm","Tuesday","20","8","0","Colleen Keough","ANN211"
"CMGT-508","Communicating Strategy and Change","","4.0 units","Lecture","21711D","001","2:00-4:50pm","Wednesday","25","22","0","Susan Resnick West, Neil Teixeira","ANN L116"
"","","","","Lecture","21712D","169","TBA","TBA","90","40","0","Susan Resnick West, Julia Matthews, Jane MacOubrie, Cynthia Martinez","ONLINE"
"CMGT-510","Communication, Values, Attitudes and Behavior","","4.0 units","Lecture","21714D","001","6:30-9:20pm","Monday","20","11","0","Jessica Neff","ANN309"
"","","","","Lecture","21715D","001","2:00-4:50pm","Thursday","20","15","0","Mathew Curtis","ANN L115"
"","","","","Lecture","21716D","169","TBA","TBA","90","17","0","Michael Cody, Joyee Chatterjee","ONLINE"
"CMGT-537","The Industry, Science and Culture of Video Games","","4.0 units","Lecture","21729D","001","6:00-8:50pm","Wednesday","25","21","0","Dmitri Williams","ANN406"
"CMGT-540","Uses of Communication Research","","4.0 units","Lecture","21730D","001","6:30-9:20pm","Monday","160","149","0","Mathew Curtis, Courtney Pade","ASC G26"
"","","","","Lecture","21731D","001","2:00-4:50pm","Wednesday","55","49","0","Daniela Baroffio, Ben Lee, Brad Shipley, Liuning Zhou, David Craig, Joyee Chatterjee, Nithya Muthuswamy","ANN L101"
"","","","","Lecture","21732D","001","6:30-9:20pm","Wednesday","50","34","0","Daniela Baroffio, Ben Lee, Brad Shipley, Liuning Zhou, David Craig, Joyee Chatterjee, Nithya Muthuswamy","ASC204"
"","","","","Lecture","21733D","169","TBA","TBA","70","59","0","Mathew Curtis, Allison Ostrowski","ONLINE"
"CMGT-541","Integrated Communication Strategies","","4.0 units","Lecture","21734D","001","6:30-9:20pm","Tuesday","20","18","0","Andrea Hollingshead","ANN209"
"","","","","Lecture","21735D","169","TBA","TBA","90","58","0","Andrea Hollingshead, Nithya Muthuswamy, Courtney Pade","ONLINE"
"CMGT-544","Creating Organizational Identity: Meaning Through Messages","","4.0 units","Lecture","21738D","001","6:30-9:20pm","Thursday","21","17","0","Simon Uwins","ANN406"
"CMGT-547","Distribution of Recordings: Media, Retail and Online Channel","","4.0 units","Lecture","21741D","001","6:30-9:20pm","Monday","20","0","0","",""
"CMGT-552","Visual Storytelling: Production, Management and Culture","","4.0 units","Lecture","21745D","001","6:30-9:20pm","Thursday","39","36","0","David Craig, Bob Levy","ANN409ABC"
"CMGT-554","Copywriting and Creativity","","4.0 units","Lecture","21746D","001","6:30-9:20pm","Monday","20","19","0","Gary Wexler","ANN L101"
"","","","","Lecture","21744D","001","2:00-4:50pm","Monday","20","15","0","Gary Wexler","ASC240"
"CMGT-555","Online Marketing Communication Development and Analysis","","4.0 units","Lecture","21747D","001","6:30-9:20pm","Wednesday","27","21","0","Mayanna Framroze","ASC228"
"CMGT-556","Global Marketing Communication","","4.0 units","Lecture","21748D","001","2:00-4:50pm","Monday","40","32","0","Paolo Sigismondi","ANN L101"
"CMGT-559","Global Hollywood","","4.0 units","Lecture","21752D","001","6:30-9:20pm","Tuesday","28","16","0","David Craig","ASC331"
"CMGT-567","Internet Policy, Practice and Regulation","","4.0 units","Lecture","21758D","001","6:30-9:20pm","Tuesday","18","13","0","Michael Overing","KER202"
"CMGT-574","Tele-Media: Strategic and Critical Analysis","","4.0 units","Lecture","21760D","001","6:30-9:20pm","Wednesday","20","17","0","Lisa Vebber","ANN309"
"CMGT-576","Communication Strategies for Conflict Management","","4.0 units","Lecture","21764D","001","6:30-9:20pm","Wednesday","20","17","0","Colleen Keough","ASC331"
"CMGT-581","Media in Social Services: Design and Evaluation of Campaigns","","4.0 units","Lecture","21768D","001","2:00-4:50pm","Tuesday","16","15","0","Peter Clarke, Doe Mayer","ANN305"
"CMGT-582","Communication for International Development","","4.0 units","Lecture","21769D","001","3:00-5:50pm","Wednesday","20","16","0","Francois Bar","ANN405"
"CMGT-590","Directed Research","","1.0-12.0 units","Lecture","21773D","001","TBA","TBA","25","0","0","Ben Lee","OFFICE"
"","","","","Lecture","21776D","001","TBA","TBA","25","1","0","Mathew Curtis","OFFICE"
"","","","","Lecture","21777D","001","TBA","TBA","25","1","0","Brad Shipley","OFFICE"
"","","","","Lecture","21778D","001","TBA","TBA","25","1","0","Daniela Baroffio","OFFICE"
"","","","","Lecture","21779D","001","TBA","TBA","25","0","0","Ben Lee","OFFICE"
"","","","","Lecture","21780D","001","TBA","TBA","25","2","0","Karen North","OFFICE"
"","","","","Lecture","21781D","001","TBA","TBA","25","0","0","","OFFICE"
"CMGT-591","Communication Internship","M","1.0-2.0 units, max 3","Lecture","21783D","001","TBA","TBA","20","0","0","Daniela Baroffio","OFFICE"
"","","","","Lecture","21784D","001","TBA","TBA","20","4","0","David Craig","OFFICE"
"","","","","Lecture","21785D","001","TBA","TBA","20","5","0","Nick Cull","OFFICE"
"","","","","Lecture","21786D","001","TBA","TBA","30","24","0","Ben Lee","OFFICE"
"","","","","Lecture","21787D","001","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","21788D","001","TBA","TBA","20","3","0","Karen North","OFFICE"
"","","","","Lecture","21789D","001","TBA","TBA","20","4","0","Patricia Riley","OFFICE"
"CMGT-597a","Communication Research Practicum","PM","2.0 units","Lecture","21790D","001","6:30-9:20pm","Monday","18","13","0","Karen North, Zach Posner","KER101"
"","","","","Lecture","21791D","001","5:00-7:50pm","Monday","50","20","0","Daniela Baroffio, Ben Lee, Courtney Pade, Brad Shipley, Liuning Zhou","ANN409ABC"
"","","","","Lecture","21792D","001","6:30-9:20pm","Tuesday","50","17","0","Daniela Baroffio, Ben Lee, Courtney Pade, Brad Shipley, Liuning Zhou","ANN409ABC"
"","","","","Lecture","21793D","169","TBA","TBA","40","24","0","Kimberlie Stephens, Daniela Baroffio, Mathew Curtis","ONLINE"
"CMGT-597b","Communication Research Practicum","PM","2.0 units","Lecture","21794D","001","TBA","TBA","18","13","0","Karen North, Zach Posner","OFFICE"
"","","","","Lecture","21795D","001","TBA","TBA","50","20","0","Daniela Baroffio, Ben Lee, Courtney Pade, Brad Shipley, Liuning Zhou","OFFICE"
"","","","","Lecture","21796D","001","TBA","TBA","50","17","0","Daniela Baroffio, Ben Lee, Courtney Pade, Brad Shipley, Liuning Zhou","OFFICE"
"","","","","Lecture","21797D","169","TBA","TBA","40","13","0","Kimberlie Stephens, Daniela Baroffio, Mathew Curtis","ONLINE"
"CMGT-599","Special Topics","","2.0-4.0 units, max 8"
"","Celebrimedia: The Business of Fame &amp; Celebrity","","4.0","Lecture","21798D","001","6:30-9:20pm","Thursday","25","19","0","Aaron Settipane","ASC231"
"","Principles of Public Relations","","4.0","Lecture","21799D","169","TBA","TBA","25","9","0","Burghardt Tenderich","ONLINE"
