"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CMPP-541a","Producing Workshop","M","4.0 units","Lecture","19568D","037","9:00-11:50am","Tuesday","25","24","0","Noel Nosseck","SCA203, SCA214"
"CMPP-548","Introduction to Producing for Television","M","2.0 units","Lecture","19564D","037","7:00-10:00pm","Wednesday","25","24","0","David Kissinger","SCI207"
"CMPP-550","Script Analysis for the Producer","M","2.0 units","Lecture","19551D","037","7:00-10:00pm","Monday","27","24","0","Bobette Buster","SCI207"
"CMPP-561","Motion Picture and Television Marketing","M","2.0 units","Lecture","19552D","037","7:30-10:30pm","Tuesday","26","25","0","Robert Levin, Steven Melnick","SCA214"
"CMPP-563","Producing Symposium","M","1.0 unit","Lecture","19554D","037","2:00-4:50pm","Wednesday","25","24","0","Lawrence Turman","RZC111"
"CMPP-565","Scheduling and Budgeting","M","4.0 units","Lecture","19555D","037","7:30-10:30pm","Wednesday","25","25","0","Andrew Given, Janet Graham","SCA214"
"CMPP-566","Finance","M","2.0 units","Lecture","19557D","037","7:30-10:30pm","Thursday","26","25","0","David Hutkin","SCA214"
"CMPP-571","Producing the Screenplay","M","2.0 units","Lecture","19559D","037","7:30-10:30pm","Monday","9","9","0","Stu Krieger",""
"","","","","Lecture","19561D","037","7:30-10:30pm","Monday","9","8","0","Ken Lazebnik",""
"","","","","Lecture","19562D","037","7:30-10:30pm","Monday","9","8","0","Dara Creasey",""
"CMPP-589a","Graduate Film Business Seminar","M","3.0 units","Lecture","19567D","037","7:00-10:00pm","Thursday","26","24","0","Jeffrey Korchek","SCA203"
