"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CNB-501a","Gross Human Anatomy","","3.0 units","Lecture","40453D","046","TBA","TBA","10","0","0","","OFFICE"
"CNB-531","Cell Biology","","4.0 units","Lecture","40654D","046","9:00-11:00am","Tue, Thu","90","52","0","Axel Schonthal, Wei Li, Qilong Ying, Bangyan Stiles, Chengyu Liang, Robert Chow, Ralf Langen, Austin Mircheff, Reymundo Dominguez, Curtis Okamoto, Yves Declerck, Steve Swenson, Randall Widelitz, Cheng-Ming Chuong, Tai-Lan Tuan, Pinghui Feng, Amir Goldkorn","MCH256"
"CNB-550","Cell and Neurobiology Seminar","","1.0 units, max 6","Lecture","40478D","046","TBA","TBA","35","0","0","","OFFICE"
"CNB-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"CNB-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"CNB-572","Systems Physiology and Disease I","MC","4.0 units","Lecture","40673D","046","1:00-3:00pm","Mon, Thu","46","24","0","Herbert Meiselman, Robert Farley, Ray Matthews, E Schroeder, Harvey Kaslow, Michael Bowdish, Thomas Keens, Janos Peti Peterdi, Jang-Hyun Youn, Beiyun Zhou, John Wood, Michael Fong, Sanjeev Kumar, Laura Perin","MCH256"
"CNB-590","Directed Research","","1.0-12.0 units","Lecture","40481D","046","TBA","TBA","25","0","0","","OFFICE"
"CNB-594a","Master's Thesis","C","2.0 units","Lecture","40484R","046","TBA","TBA","20","0","0","","OFFICE"
"CNB-598","Introductory Laboratory Rotations","","1.0-3.0 units","Lecture","40487D","046","TBA","TBA","25","0","0","","OFFICE"
"CNB-790","Research","","1.0-12.0 units","Lecture","40500D","046","TBA","TBA","25","0","0","","OFFICE"
"CNB-794a","Doctoral Dissertation","C","2.0 units","Lecture","40503D","046","TBA","TBA","10","0","0","","OFFICE"
"CNB-794b","Doctoral Dissertation","PC","2.0 units","Lecture","40506D","046","TBA","TBA","10","0","0","","OFFICE"
"CNB-794c","Doctoral Dissertation","PC","2.0 units","Lecture","40509D","046","TBA","TBA","10","0","0","","OFFICE"
"CNB-794d","Doctoral Dissertation","PC","2.0 units","Lecture","40512D","046","TBA","TBA","10","0","0","","OFFICE"
"CNB-794z","Doctoral Dissertation","PC","0.0 units","Lecture","40516D","046","TBA","TBA","10","0","0","","OFFICE"
