"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CNTV-101","Reality Starts Here","M","2.0 units","Lecture","17825D","001","1:00-3:50pm","Friday","270","162","0","Tara McPherson","NCT"
"CNTV-375","Breaking Into the Film Industry","","2.0 units","Lecture","17827D","001","4:00-6:50pm","Thursday","27","22","0","Krista Parkinson","SCA363"
"CNTV-440","The Business of Motion Pictures, TV, Animation, Video Games, and Interactive Entertainment","","2.0 units","Lecture","17833D","001","7:00-10:00pm","Monday","35","25","0","Jeffrey Korchek","SCA203"
"CNTV-457","The Entertainment Entrepreneur:Getting Your First Project Made","","2.0 units","Lecture","17834D","001","7:00-10:00pm","Tuesday","32","25","0","Jason Berman, Warren Jenson","SCI207"
"CNTV-463","Television: Integrating Creative and Business Objectives","M","2.0 units","Lecture","17815D","001","6:00-9:00pm","Wednesday","43","32","0","Scott Stone","SCA110"
"CNTV-474","Digital DNA: Media Redefined","","2.0 units","Lecture","17844D","001","7:00-10:00pm","Wednesday","60","26","0","Diego Berdakin","SCA112"
"CNTV-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","17800D","001","TBA","TBA","15","1","0","Michael Renov","OFFICE"
"","","","","Lecture","17802D","001","TBA","TBA","15","0","0","Michael Renov","OFFICE"
"CNTV-495","Internship in Cinematic Arts","","1.0-4.0 units, max 4","Lecture","17820D","001","TBA","TBA","100","82","0","Kristen Clark","ONLINE"
"CNTV-521","The World of the Producer","","4.0 units","Lecture","17841D","037","7:00-10:00pm","Monday","35","23","0","Torrie Rosenzweig, Michael Levy","SCA214"
"CNTV-522","The Television Industry: Networks, Cable and the Internet","","4.0 units","Lecture","17842D","037","7:00-10:00pm","Monday","35","24","0","Eric Schrier","OFF CAMPUS"
"CNTV-523","Feature Film Financing and the Studio System","","4.0 units","Lecture","17843D","037","7:00-10:00pm","Wednesday","36","34","0","Fredric Bernstein","SCA203"
"CNTV-525","Entertainment Marketing in Today's Environment","","4.0 units","Lecture","17808D","037","7:00-10:00pm","Tuesday","45","42","0","Michael Luisi","SCB104"
"CNTV-590","Directed Research","","1.0-12.0 units","Lecture","17805D","037","TBA","TBA","15","3","0","Michael Renov","OFFICE"
"","","","","Lecture","17810D","037","TBA","TBA","15","3","0","Michael Renov","TBA"
"CNTV-594z","Master's Thesis","P","0.0 units","Lecture","17849D","037","TBA","TBA","1","1","0","Tracy Fullerton","OFFICE"
"CNTV-600","Historical Approaches to Media Arts and Culture","","4.0 units","Lecture","17835D","037","1:00-3:50pm","Tuesday","15","13","0","Henry Jenkins","SCA216"
"CNTV-602","Practice of Media Arts","","4.0 units, max 8","Lecture-Lab","17837D","037","6:00-8:50pm","Thursday","15","4","0","Andreas Kratky","SCI L106"
"CNTV-794a","Doctoral Dissertation","","2.0 units","Lecture","17838D","037","TBA","TBA","5","2","0","","OFFICE"
"CNTV-794b","Doctoral Dissertation","P","2.0 units","Lecture","17840D","037","TBA","TBA","3","0","0","","OFFICE"
"CNTV-794c","Doctoral Dissertation","P","2.0 units","Lecture","17845D","037","TBA","TBA","3","2","0","","OFFICE"
"CNTV-794d","Doctoral Dissertation","P","2.0 units","Lecture","17846D","037","TBA","TBA","3","3","0","","OFFICE"
"CNTV-794z","Doctoral Dissertation","P","0.0 units","Lecture","17847D","037","TBA","TBA","5","5","0","","OFFICE"
