"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COLT-101g","Masterpieces and Masterminds: Literature and Thought of the West","","4.0 units","Lecture","22000R","001","12:30-1:50pm","Tue, Thu","100","97","0","Vincent Farenga","WPH B27"
"","","","","Discussion","22001R","001","9:00-9:50am","Monday","25","24","0","Richard Mc Laughlin","SOS B37"
"","","","","Discussion","22002R","001","10:00-10:50am","Monday","25","25","0","Richard Mc Laughlin","SOS B37"
"","","","","Discussion","22003R","001","9:00-9:50am","Monday","25","24","0","Kristen Besinque","VKC155"
"","","","","Discussion","22004R","001","10:00-10:50am","Monday","26","24","0","Kristen Besinque","VKC155"
"COLT-302","Introduction to Literary Theory","","4.0 units","Lecture","22020R","001","2:00-3:20pm","Mon, Wed","30","17","0","Michael Du Plessis","WPH B30"
"COLT-365","Literature and Popular Culture","","4.0 units","Lecture","22031R","001","3:30-4:50pm","Mon, Wed","27","27","0","Michael Du Plessis","THH121"
"COLT-374gm","Women Writers in Europe and America","","4.0 units","Lecture","22040D","001","10:00-11:50am","Mon, Wed","85","83","0","Margaret Rosenthal","THH202"
"","","","","Discussion","22041R","001","9:00-9:50am","Tuesday","25","19","0","Arunima Paul","VKC256"
"","","","","Discussion","22042R","001","10:00-10:50am","Tuesday","25","25","0","Arunima Paul","VKC256"
"","","","","Discussion","22043R","001","9:00-9:50am","Thursday","25","16","0","Yu-Kai Lin","VKC256"
"","","","","Discussion","22044R","001","10:00-10:50am","Thursday","25","23","0","Yu-Kai Lin","VKC256"
"COLT-420","The Fantastic","","4.0 units","Lecture","22048R","001","3:30-4:50pm","Tue, Thu","25","8","0","Antonia Szabari","SOS B47"
"COLT-470","Literature and Media in Latin America","","4.0 units","Lecture","22060R","001","10:00-11:50am","Mon, Wed","25","13","0","Julian Gutierrez-Albilla","WPH106"
"COLT-472","Los Angeles Crime Fiction","","4.0 units","Lecture","22062R","001","2:00-3:20pm","Tue, Thu","25","21","0","William Thalmann","VKC258"
"COLT-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","22070D","001","TBA","TBA","10","7","0","","OFFICE"
"COLT-495","Senior Honors Thesis","","4.0 units","Lecture","22071D","001","TBA","TBA","10","0","0","","OFFICE"
"COLT-525","Studies in Literary and Cultural History","","4.0 units, max 8","Lecture","22079D","001","2:00-4:50pm","Wednesday","15","7","0","Natania Meeker, Marcus Levitt</a>","SOS B51"
"COLT-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
