"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"COMM-200","Communication and Social Science","","4.0 units","Lecture","20327D","001","11:00-12:20pm","Tue, Thu","220","217","0","Ken Sereno","ASC G26"
"","","","","Discussion","20328D","001","8:00-8:50am","Monday","20","18","0","Yao Sun","ANN209"
"","","","","Discussion","20329D","001","8:00-8:50am","Friday","20","20","0","Leila Bighash","ANN406"
"","","","","Discussion","20330D","001","9:00-9:50am","Monday","20","20","0","Yao Sun","ANN209"
"","","","","Discussion","20331D","001","9:00-9:50am","Friday","20","20","0","Leila Bighash","ANN406"
"","","","","Discussion","20332D","001","10:00-10:50am","Monday","20","19","0","Selene Hu","ANN209"
"","","","","Discussion","20333D","001","10:00-10:50am","Friday","20","20","0","Minhee Son","ANN406"
"","","","","Discussion","20334D","001","11:00-11:50am","Monday","20","20","0","Selene Hu","ANN209"
"","","","","Discussion","20335D","001","11:00-11:50am","Friday","20","20","0","Minhee Son","ANN406"
"","","","","Discussion","20336D","001","12:00-12:50pm","Monday","20","20","0","Ji Shin","ANN209"
"","","","","Discussion","20337D","001","12:00-12:50pm","Friday","20","20","0","Wenlin Liu","ANN406"
"","","","","Discussion","20338D","001","1:00-1:50pm","Monday","20","20","0","Ji Shin","ANN209"
"COMM-201","Rhetoric and the Public Sphere","","4.0 units","Lecture","20340D","001","9:30-10:50am","Tue, Thu","90","56","0","Marcia Dawkins","ASC204"
"COMM-202","Communication and Technology","","4.0 units","Lecture","20353D","001","2:00-3:20pm","Mon, Wed","120","101","0","Henry Jenkins","ANN L105A"
"","","","","Discussion","20354D","001","8:00-8:50am","Friday","20","6","0","Samantha Close","ANN209"
"","","","","Discussion","20355D","001","1:00-1:50pm","Friday","20","16","0","Rhea Vichot","ANN209"
"","","","","Discussion","20356D","001","9:00-9:50am","Friday","20","20","0","Samantha Close","ANN209"
"","","","","Discussion","20358D","001","10:00-10:50am","Friday","20","20","0","Andrew Schrock","ANN209"
"","","","","Discussion","20360D","001","11:00-11:50am","Friday","20","20","0","Andrew Schrock","ANN209"
"","","","","Discussion","20361D","001","12:00-12:50pm","Friday","20","19","0","Rhea Vichot","ANN209"
"COMM-203","Communication and Mass Media","","4.0 units","Lecture","20366D","001","12:00-1:50pm","Mon, Wed","220","214","0","Stacy Smith","ASC G26"
"COMM-204","Public Speaking","","4.0 units","Lecture","20375D","001","12:30-1:50pm","Tue, Thu","19","19","0","Cynthia Wang","ANN209"
"","","","","Lecture","20376D","001","5:00-6:20pm","Tue, Thu","19","17","0","Stephen O'Leary","ASC231"
"","","","","Lecture","20377D","001","11:00-11:50am","MWF","19","18","0","Erica Watson-Currie","ANN211"
"","","","","Lecture","20378D","001","12:30-1:50pm","Tue, Thu","19","19","0","Theo Mazumdar","ANN309"
"","","","","Lecture","20379D","001","3:30-4:50pm","Mon, Wed","19","19","0","Lee Sangalang","ANN209"
"","","","","Lecture","20380D","001","9:30-10:50am","Tue, Thu","19","19","0","Laurel Felt","ANN309"
"","","","","Lecture","20381D","001","10:00-10:50am","MWF","19","18","0","Erica Watson-Currie","ANN211"
"","","","","Lecture","20382D","001","8:00-9:20am","Tue, Thu","19","18","0","Ritesh Mehta","ANN309"
"","","","","Lecture","20383D","001","5:00-6:20pm","Tue, Thu","19","19","0","Laurance Strait","ANN305"
"","","","","Lecture","20384D","001","12:00-1:50pm","Mon, Wed","19","19","0","William McClain","ANN305"
"COMM-205x","Communication Practicum","C","1.0-2.0 units, max 4","Lecture","20385D","001","8:00-9:20am","Tuesday","24","21","0","Gordon Stables","ASC G38"
"","","","","Lecture","20386D","001","11:00-12:20pm","Tuesday","6","5","0","Gordon Stables","OFFICE"
"COMM-206","Communication and Culture","","4.0 units","Lecture","20388D","001","12:30-1:50pm","Tue, Thu","120","120","0","Alison Trope","ANN L105A"
"","","","","Discussion","20389D","001","8:00-8:50am","Monday","20","20","0","Melina Sherman","ANN211"
"","","","","Discussion","20391D","001","9:00-9:50am","Monday","21","20","0","Melina Sherman","ANN309"
"","","","","Discussion","20392D","001","10:00-10:50am","Monday","20","20","0","Kari Storla","ANN309"
"","","","","Discussion","20393D","001","10:00-10:50am","Monday","20","20","0","Emma Bloomfield","ANN408"
"","","","","Discussion","20394D","001","11:00-11:50am","Monday","20","20","0","Emma Bloomfield","ANN408"
"","","","","Discussion","20395D","001","11:00-11:50am","Monday","20","20","0","Kari Storla","ANN309"
"","","","","Discussion","20396D","001","11:00-11:50am","Friday","20","0","0","",""
"","","","","Discussion","20398D","001","12:00-12:50pm","Friday","20","0","0","",""
"COMM-207","Economic Thinking for Communication and Journalism","","2.0 units","Lecture","20400D","001","3:30-4:50pm","Wednesday","135","103","0","Paolo Sigismondi","ASC G26"
"COMM-300","Foundations for the Study of Entertainment, Communication and Society","","4.0 units","Lecture","20455D","001","11:00-12:20pm","Tue, Thu","90","69","0","Daniela Baroffio","ANN L105A"
"COMM-301L","Empirical Research in Communication","P","4.0 units","Lecture","20458D","001","9:30-10:50am","Tue, Thu","40","30","0","Carlos Godoy","ANN L101"
"","","","","Lab","20459D","001","12:00-12:50pm","Friday","20","19","0","Lena Uszkoreit","ANN408"
"","","","","Lab","20460D","001","1:00-1:50pm","Friday","20","11","0","Lena Uszkoreit","ANN408"
"COMM-302","Persuasion","","4.0 units","Lecture","20465D","001","2:00-3:20pm","Tue, Thu","135","133","0","Ken Sereno","ANN L105A"
"COMM-304","Interpersonal Communication","","4.0 units","Lecture","20475D","001","11:00-12:20pm","Tue, Thu","46","46","0","Jillian Pierson","ANN L101"
"COMM-305","Understanding Social Science Research","","4.0 units","Lecture","20477D","001","3:30-4:50pm","Tue, Thu","70","65","0","Lian Jian","ASC204"
"COMM-306","Innovation, Entertainment, and the Arts","","4.0 units","Lecture","20480D","001","3:30-4:50pm","Mon, Wed","90","69","0","Jonathan Taplin","ANN L105A"
"COMM-307","Sound Clash: Popular Music and American Culture","","4.0 units","Lecture","20485D","001","9:30-10:50am","Tue, Thu","135","121","0","Joshua Kun","ANN L105A"
"COMM-310","Media and Society","","4.0 units","Lecture","20495D","001","6:30-9:20pm","Tuesday","180","164","0","Robert Scheer","ASC G26"
"COMM-320","Small Group and Team Communication","","4.0 units","Lecture","20505D","001","9:30-10:50am","Tue, Thu","25","25","0","Dorine Lawrence-Hughes","ANN406"
"COMM-322","Argumentation and Advocacy","","4.0 units","Lecture","20510D","001","12:30-1:50pm","Tue, Thu","18","18","0","Randy Lake","ANN405"
"","","","","Lecture","20511D","001","9:00-9:50am","MWF","18","12","0","William McClain","ANN211"
"","","","","Lecture","20512D","001","11:00-12:20pm","Tue, Thu","18","18","0","Laurance Strait","ANN211"
"","","","","Lecture","20513D","001","8:00-9:20am","Tue, Thu","18","15","0","Marcia Dawkins","ANN211"
"","","","","Lecture","20514D","001","12:30-1:50pm","Tue, Thu","18","20","0","Carlos Godoy","ANN211"
"","","","","Lecture","20515D","001","9:30-10:50am","Tue, Thu","18","18","0","Joel Lemuel","ANN211"
"","","","","Lecture","20516D","001","12:30-1:50pm","Tue, Thu","18","20","0","Alyssa Bolin","ANN210"
"","","","","Lecture","20517D","001","5:00-6:20pm","Tue, Thu","18","20","0","Carlos Godoy","ANN211"
"","","","","Lecture","20518D","001","12:00-1:50pm","Mon, Wed","18","18","0","Daniel Durbin","ANN211"
"COMM-324m","Intercultural Communication","","4.0 units","Lecture","20520D","001","8:30-9:50am","Mon, Wed","25","14","0","Jillian Pierson","ANN409ABC"
"COMM-339","Communication Technology and Culture","","4.0 units","Lecture","20540D","001","12:30-1:50pm","Tue, Thu","25","23","0","Marcia Dawkins","ANN L101"
"COMM-345","Social and Economic Implications of Communication Technologies","","4.0 units","Lecture","20546D","001","11:00-12:20pm","Tue, Thu","25","16","0","Francois Bar","ANN406"
"COMM-355","Advertising and Communication","","4.0 units","Lecture","20556D","001","5:00-6:20pm","Mon, Wed","45","27","0","Rook Campbell","ANN L101"
"COMM-360","The Rhetoric of Los Angeles","","4.0 units","Lecture","20561D","001","10:00-11:50am","Mon, Wed","25","24","0","Vincent Brook","ASC331"
"COMM-363","Media Consumption","","4.0 units","Lecture","20991D","914","10:00-1:00pm","Thursday","20","4","0","Caroline Dover, Sabrina Chong","OFF CAMPUS"
"COMM-364","Comparative Media: United States and the United Kingdom","","4.0 units","Lecture","20992D","914","2:00-5:00pm","Tuesday","20","10","0","Margaret Coffey, Sabrina Chong","OFF CAMPUS"
"COMM-365","The Rhetoric of London","","4.0 units","Lecture","20993D","914","2:00-5:00pm","Wednesday","20","0","0","Carlos Galviz, Sabrina Chong",""
"COMM-366","Designing Media and Communication Projects for Social Change","","4.0 units","Lecture","20994D","914","10:00-1:00pm","Wednesday","20","8","0","Lisa Robinson, Sabrina Chong","OFF CAMPUS"
"COMM-371","Censorship and the Law: From the Press to Cyberspace","","4.0 units","Lecture","20572D","001","6:30-9:20pm","Wednesday","33","22","0","Paul Von Blum","ANN L116"
"COMM-372","The Image of the Journalist in Popular Culture","","4.0 units","Lecture","21208D","001","2:00-5:20pm","Tuesday","24","16","0","Joe Saltzman","ASC240"
"COMM-375","Business and Professional Communication","","4.0 units","Lecture","20576D","001","11:00-12:20pm","Tue, Thu","18","18","0","Laurel Felt","ANN309"
"","","","","Lecture","20577D","001","3:30-4:50pm","Mon, Wed","18","15","0","Paula Patnoe-Woodley","ANN409ABC"
"","","","","Lecture","20578D","001","10:00-11:50am","Mon, Wed","18","18","0","Jillian Pierson","ANN409ABC"
"COMM-380","Forensics Laboratory","","1.0-4.0 units, max 8","Lecture","20582D","001","TBA","TBA","20","0","0","Gordon Stables","OFFICE"
"","","","","Lecture","20583D","001","TBA","TBA","20","4","0","Gordon Stables","OFFICE"
"","","","","Lecture","20584D","001","TBA","TBA","20","0","0","Gordon Stables","OFFICE"
"","","","","Lecture","20585D","001","TBA","TBA","20","3","0","Gordon Stables","OFFICE"
"COMM-382","Sports, Business and Media in Today's Society","","4.0 units","Lecture","21203D","001","6:00-9:20pm","Wednesday","200","178","0","Jeffrey Fellenzer","ASC G26"
"COMM-383m","Sports, Communication and Culture","","4.0 units","Lecture","20588D","001","2:00-3:20pm","Tue, Thu","180","169","0","Daniel Durbin","ASC G26"
"COMM-384","Interpreting Popular Culture","","4.0 units","Lecture","20589D","001","10:00-11:50am","Mon, Wed","46","44","0","Tisha Dejmanee","ASC231"
"","","","","Lecture","20995D","914","2:30-5:30pm","Thursday","20","11","0","Justin Lorentzen, Sabrina Chong","OFF CAMPUS"
"COMM-385","Survey of Organizational Communication","","4.0 units","Lecture","20590D","001","2:00-3:20pm","Tue, Thu","20","8","0","Janet Fulk","ANN L116"
"COMM-387","Sports and Social Change","","4.0 units","Lecture","20592D","001","5:00-6:20pm","Tue, Thu","25","21","0","Evan Brody","ASC328"
"COMM-400","Seminar in Communication","","4.0 units, max 12"
"","Privacy and Security in the Surveillance Age","","4.0","Lecture","20614D","001","3:30-4:50pm","Tue, Thu","15","8","0","Michael Robinson","ANN210"
"COMM-402","Public Communication Campaigns","","4.0 units","Lecture","20618D","001","11:00-12:20pm","Tue, Thu","15","14","0","Michael Cody","ANN305"
"COMM-411","Communication Criticism","P","4.0 units","Lecture","20625D","001","12:30-1:50pm","Tue, Thu","15","0","0","",""
"COMM-412","Communication and Social Movements","","4.0 units","Lecture","20626D","001","11:00-12:20pm","Tue, Thu","15","15","0","Daniel Durbin","ASC240"
"","","","","Lecture","20996D","914","10:00-1:00pm","Tuesday","20","11","0","Richard Sharpe, Sabrina Chong","OFF CAMPUS"
"COMM-414","Communication and Social Change in China","","4.0 units","Lecture","20628D","001","12:30-1:50pm","Tue, Thu","16","16","0","Yu Hong","ANN406"
"COMM-422","Legal Issues and New Media","","4.0 units","Lecture","20636D","001","8:30-9:50am","Mon, Wed","15","15","0","Mark Lloyd","ANN405"
"COMM-424","Millennium in the Media","","4.0 units","Lecture","20638D","001","2:00-3:20pm","Tue, Thu","15","14","0","Stephen O'Leary","ANN210"
"COMM-443","Communicating Health Messages and Medical Issues","","4.0 units","Lecture","20657D","001","10:00-11:50am","Mon, Wed","43","17","0","Peter Clarke, Susan Evans","ASC G34"
"COMM-444","Critical Theories of Sport","","4.0 units","Lecture","20658D","001","10:00-11:50am","Mon, Wed","16","14","0","William Morgan","ANN405"
"COMM-451","Visual Communication and Social Change","","4.0 units","Lecture","20665D","001","3:30-6:20pm","Thursday","19","19","0","Jim Hubbard","ANN405"
"COMM-458m","Race and Ethnicity in Entertainment and the Arts","P","4.0 units","Lecture","20673D","001","9:30-10:50am","Tue, Thu","17","16","0","Taj Frazier","ANN305"
"COMM-465m","Gender in Media Industries and Products","","4.0 units","Lecture","20680D","001","2:00-3:20pm","Tue, Thu","18","18","0","Alison Trope","ANN309"
"COMM-494x","Research Practicum","","2.0-4.0 units, max 4","Lecture","20738D","001","3:30-5:20pm","Wednesday","6","1","0","Ken Sereno","OFFICE"
"","","","","Lecture","20739D","001","5:00-6:20pm","Tue, Thu","39","36","0","Marc Choueiti, Stacy Smith</a>","ANN409ABC"
"","","","","Lecture","20740D","001","4:00-5:50pm","Tuesday","15","0","0","",""
"","","","","Lecture","20741D","001","TBA","TBA","10","2","0","Christopher Smith","OFFICE"
"","","","","Lecture","20742D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20743D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20744D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20745D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20746D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20747D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20748D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20749D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20750D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20751D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20752D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20753D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20754D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20755D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20756D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20757D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20758D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20759D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20760D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20761D","001","TBA","TBA","10","0","0","","OFFICE"
"","","","","Lecture","20762D","001","TBA","TBA","10","0","0","","OFFICE"
"COMM-495","Honors Seminar","M","4.0 units, max 8","Lecture","20763D","001","2:00-4:50pm","Wednesday","8","4","0","Stacy Smith","ASC228"
"COMM-498","Ethical Issues in Entertainment and Communication","P","4.0 units","Lecture","20771D","001","5:00-6:20pm","Mon, Wed","15","15","0","Robert Scheer","ANN209"
"COMM-499","Special Topics","","2.0-4.0 units, max 8"
"","The Business and Culture of Celebrity","","4.0","Lecture","20774D","001","12:30-1:50pm","Tue, Thu","24","6","0","Christopher Smith","ANN305"
"COMM-518","American Public Address","M","4.0 units","Lecture","20796D","001","5:30-8:20pm","Tuesday","12","5","0","Gerald Goodnight, Randy Lake</a>","ASC230"
"COMM-525","Humanistic and Social Scientific Approaches to Human Communication I","M","4.0 units","Lecture","20803D","001","9:00-11:50am","Wednesday","19","18","0","Sandra Ball-Rokeach","ASC228"
"COMM-552","Qualitative Research Methods in Communication","M","4.0 units","Lecture","20830D","001","9:30-12:20pm","Tuesday","19","18","0","Sarah Banet-Weiser","ASC228"
"COMM-554","Regression and Multivariate Communication Research","M","4.0 units","Lecture","20832D","001","9:30-12:20pm","Tuesday","12","9","0","Lynn Miller","ASC G38"
"COMM-561","Leading and Communicating Change in Global Organizations","","4.0 units","Lecture","20839D","001","2:00-4:50pm","Thursday","18","18","0","Susan Resnick West","ANN209"
"COMM-579","Entrepreneurship in the New Media","","4.0 units","Lecture","20857D","001","6:30-9:20pm","Tuesday","19","19","0","Geoffrey Cowan","KER101"
"COMM-590","Directed Research","","1.0-12.0 units","Lecture","20864D","001","TBA","TBA","20","1","0","Andrea Hollingshead","OFFICE"
"","","","","Lecture","20865D","001","TBA","TBA","20","1","0","Christopher Smith","OFFICE"
"","","","","Lecture","20866D","001","TBA","TBA","20","2","0","Patricia Riley","OFFICE"
"","","","","Lecture","20867D","001","TBA","TBA","20","1","0","Henry Jenkins","OFFICE"
"","","","","Lecture","20868D","001","TBA","TBA","20","1","0","Joshua Kun","OFFICE"
"","","","","Lecture","20869D","001","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","20870D","001","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","20871D","001","TBA","TBA","20","0","0","","OFFICE"
"","","","","Lecture","20872D","001","TBA","TBA","20","0","0","","OFFICE"
"COMM-599","Special Topics","","2.0-4.0 units, max 8"
"","Seminar on Ph.D. Dissertation Design &amp; Research Strategy","","4.0","Lecture","20884D","001","3:30-6:20pm","Wednesday","12","3","0","Manuel Castells","ASC328"
"","Networked Publics: Theories and Encounters","","4.0","Lecture","20885D","001","2:00-4:50pm","Tuesday","12","5","0","Mike Ananny","ASC230"
"COMM-602","Seminar in Persuasion","","4.0 units","Lecture","20889D","001","2:00-4:50pm","Monday","13","10","0","Sheila Murphy","KER202"
"COMM-615","Health Communication","","4.0 units","Lecture","20903D","001","12:30-3:20pm","Wednesday","12","6","0","Peter Clarke, Margaret McLaughlin</a>","ANN309"
"COMM-620","Studies in Communication Theory","","4.0 units, max 12"
"","Economic Cultures","","4.0","Lecture","20908D","001","9:30-12:20pm","Thursday","15","13","0","Manuel Castells, Sarah Banet-Weiser","ASC328"
"","Data Retrieval and Processing Techniques","","4.0","Lecture","20909D","001","2:00-4:50pm","Wednesday","14","14","0","Lian Jian","ANN210"
"","Communication, Culture and Capitalism","","4.0","Lecture","20910D","001","3:30-6:20pm","Thursday","12","7","0","Christopher Smith","ASC240"
"","Developing, Evaluating, and Funding Serious Games to Change Behavior","","4.0","Lecture","20913D","001","TBA","TBA","12","0","0","","TBA"
"","Black Popular Culture: Theory and Central Debates","","4.0","Lecture","20914D","001","3:30-6:20pm","Wednesday","12","5","0","Taj Frazier","ANN309"
"COMM-640","Communication and Organizational Change","","4.0 units","Lecture","20933D","001","2:00-4:50pm","Tuesday","12","6","0","Peter Monge","ASC228"
