"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CORE-101","Symbols and Conceptual Systems: Thematic Option Honors Program","","4.0 units","Lecture","63500D","001","10:00-11:50am","Tue, Thu","42","40","0","Kate Flint","SOS B40"
"","","","","Discussion","63501D","001","10:00-10:50am","Friday","21","21","0","Robin Lewis","SOS B48"
"","","","","Discussion","63502D","001","11:00-11:50am","Friday","21","19","0","Robin Lewis","SOS B48"
"","","","","Lab","63507R","001","5:00-8:00pm","Wednesday","150","29","0","","THH201"
"","","","","Lab","63508D","001","TBA","TBA","50","11","0","","OFFICE"
"CORE-102","Culture and Values: Thematic Option Honors Program","","4.0 units","Lecture-Discussion","63509D","001","10:00-11:50am","Mon, Wed","28","26","0","Hilary Schor","THH108"
"","","","","Lecture-Discussion","63510D","001","10:00-11:50am","Mon, Wed","28","27","0","William Handley","VKC261"
"","","","","Lecture-Discussion","63511D","001","12:00-1:50pm","Mon, Wed","28","27","0","William Handley","THH108"
"","","","","Lecture-Discussion","63512D","001","2:00-3:50pm","Tue, Thu","28","27","0","Daniel Richter","THH119"
"","","","","Lecture-Discussion","63513D","001","2:00-3:50pm","Tue, Thu","26","26","0","Anthony Kemp","LVL13"
"","","","","Lecture-Discussion","63514D","001","10:00-11:50am","Tue, Thu","26","26","0","Anthony Kemp","THH108"
"","","","","Lecture-Discussion","63515D","001","2:00-3:50pm","Tue, Thu","26","26","0","Edwin McCann","THH108"
"","","","","Lab","63516R","001","5:00-8:00pm","Monday","200","183","0","","THH201"
"CORE-103","The Process of Change in Science: Thematic Option Honors Program","","4.0 units","Lecture","63521D","001","10:00-11:40am","Mon, Wed","42","37","0","Andrew Lakoff","VKC152"
"","","","","Discussion","63522D","001","10:00-10:50am","Friday","21","16","0","Caitlin Myers","VKC160"
"","","","","Discussion","63523D","001","11:00-11:50am","Friday","21","21","0","Caitlin Myers","VKC160"
"","","","","Lecture","63524D","001","10:00-11:50am","Tue, Thu","42","40","0","Paul Lerner","VKC102"
"","","","","Discussion","63525D","001","11:00-11:50am","Friday","21","20","0","Srinivas Venkata","VKC111"
"","","","","Discussion","63526D","001","12:00-12:50pm","Friday","23","20","0","Srinivas Venkata","VKC111"
"","","","","Lecture","63571D","001","2:00-3:50pm","Mon, Wed","38","10","0","Yehuda Ben-Zion","THH119"
"","","","","Discussion","63572D","001","11:00-11:50am","Friday","20","4","0","Zachary Ross","THH203"
"","","","","Discussion","63573D","001","12:00-12:50pm","Friday","20","6","0","Zachary Ross","THH203"
"","","","","Lab","63527R","001","5:00-8:00pm","Wednesday","150","61","0","","THH201"
"","","","","Lab","63528D","001","TBA","TBA","50","26","0","","OFFICE"
"CORE-104","Change and the Future: Thematic Option Honors Program","","4.0 units","Lecture","63532D","001","10:00-11:40am","Mon, Wed","42","41","0","Sharon Lloyd","WPH102"
"","","","","Discussion","63533D","001","11:00-11:50am","Friday","21","20","0","Woo Lee","VKC107"
"","","","","Discussion","63534D","001","12:00-12:50pm","Friday","21","21","0","Woo Lee","VKC107"
"","","","","Lecture","63529D","001","12:00-1:50pm","Mon, Wed","42","39","0","William Deverell","VKC152"
"","","","","Discussion","63530D","001","10:00-10:50am","Friday","22","17","0","Kristina Shull","VKC105"
"","","","","Discussion","63531D","001","11:00-11:50am","Friday","22","22","0","Kristina Shull","VKC105"
"","","","","Lab","63536R","001","5:00-8:00pm","Thursday","150","58","0","","THH201"
"","","","","Lab","63537D","001","TBA","TBA","50","22","0","","OFFICE"
"CORE-111","Writing Seminar I: Thematic Option Honors Program","","4.0 units","Lecture","63538D","001","10:00-11:50am","Monday","14","14","0","Marci Vogel","THH347"
"","","","","Lecture","63540D","001","10:00-11:50am","Tuesday","14","14","0","Nathan Pogar","THH347"
"","","","","Lecture","63542D","001","10:00-11:50am","Wednesday","14","14","0","Trisha Tucker","THH347"
"","","","","Lecture","63546D","001","12:00-1:50pm","Monday","12","12","0","Trisha Tucker","THH347"
"","","","","Lecture","63548D","001","12:00-1:50pm","Tuesday","13","13","0","Dagmar Van Engen","THH347"
"","","","","Lecture","63550D","001","12:00-1:50pm","Wednesday","14","14","0","Alison Pearl","THH347"
"","","","","Lecture","63552D","001","12:00-1:50pm","Thursday","14","14","0","Thomas Winningham III","THH347"
"","","","","Lecture","63554D","001","2:00-3:50pm","Monday","14","14","0","Ryan Shoemaker","THH347"
"","","","","Lecture","63556D","001","2:00-3:50pm","Tuesday","14","12","0","Megan Herrold","THH347"
"","","","","Lecture","63558D","001","2:00-3:50pm","Wednesday","14","12","0","Ashley Kramer","THH347"
"","","","","Lecture","63560D","001","2:00-3:50pm","Thursday","14","13","0","Michelle Brittan","THH347"
"","","","","Lecture","63562D","001","4:00-5:50pm","Tuesday","14","13","0","Katharine Zimolzak","THH347"
"","","","","Lecture","63564D","001","4:00-5:50pm","Wednesday","14","13","0","Lisa Lee","THH347"
"","","","","Lecture","63544D","001","10:00-11:50am","Thursday","14","13","0","Anthony Abboreno","THH347"
"CORE-499","Special Topics","","2.0-4.0 units, max 8"
"","Los Angeles A Polymathic Inquiry","","2.0","Lecture","63578D","001","2:00-3:50pm","Wednesday","15","9","0","William Deverell, Karin Huebner","DML241"
"CORE-601","Teaching Analytical Writing through Readings in the Humanities","C","1.0 units, max 4","Lecture","63570D","001","4:00-5:50pm","Thursday","12","10","0","Trisha Tucker","THH347"
