"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSCI-101L","Fundamentals of Computer Programming","","3.0 units","Lecture","29901R","001","2:00-3:20pm","Tue, Thu","65","60","0","Massoud Ghyam","ZHS252"
"","","","","Lab","29906R","001","12:00-1:50pm","Tuesday","35","34","0","","SAL126"
"","","","","Lab","29908R","001","4:00-5:50pm","Thursday","30","25","0","","SAL109"
"CSCI-103L","Introduction to Programming","","3.0 units","Lecture","30395R","001","9:30-10:50am","Tue, Thu","51","50","0","David Pritchard","MHP105"
"","","","","Quiz","30024R","001","7:00-8:50pm","Thursday","250","240","0","","TBA"
"","","","","Lecture","29919R","001","12:00-1:50pm","Mon, Wed","40","40","0","Mark Redekopp","RTH105"
"","","","","Lecture","29920R","001","11:00-12:20pm","Tue, Thu","50","50","0","Massoud Ghyam","ZHS252"
"","","","","Lecture","29921D","001","5:00-6:20pm","Tue, Thu","51","51","0","David Pritchard","THH114"
"","","","","Lecture","29922R","001","12:30-1:50pm","Tue, Thu","50","49","0","David Pritchard","THH114"
"","","","","Lab","29913R","001","4:00-5:50pm","Friday","30","30","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL109"
"","","","","Lab","29914D","001","4:00-5:50pm","Friday","37","36","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL126"
"","","","","Lab","29924R","001","2:00-3:50pm","Friday","30","30","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL109"
"","","","","Lab","29925R","001","2:00-3:50pm","Friday","37","36","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL126"
"","","","","Lab","29926R","001","2:00-3:50pm","Friday","36","36","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","WPH B36"
"","","","","Lab","29927D","001","4:00-5:50pm","Friday","1","0","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","KOH208"
"","","","","Lab","29902R","001","6:00-7:50pm","Friday","36","36","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL126"
"","","","","Lab","30180D","001","6:00-7:50pm","Friday","36","36","0","David Pritchard, Massoud Ghyam, Mark Redekopp</a>","SAL127"
"CSCI-104L","Data Structures and Object Oriented Design","P","4.0 units","Lecture","29903R","001","11:00-12:20pm","Tue, Thu","42","38","0","Aaron Cote","ZHS163"
"","","","","Lecture","29910R","001","2:00-3:20pm","Tue, Thu","42","41","0","Aaron Cote","MHP105"
"","","","","Lecture","30397R","001","9:30-10:50am","Tue, Thu","36","21","0","David Kempe","WPH205"
"","","","","Quiz","30025R","001","7:00-8:50pm","Friday","250","133","0","","TBA"
"","","","","Lecture","29931R","001","12:30-1:50pm","Tue, Thu","42","33","0","David Kempe","KAP146"
