"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSLC-502","Introduction to Literary Theory","","4.0 units","Lecture","22075D","001","2:00-4:50pm","Monday","15","9","0","Neetu Khanna","THH B10"
"CSLC-503","Introduction to Comparative Studies in Culture","","4.0 units","Lecture","22076D","001","2:00-4:50pm","Thursday","15","8","0","Edwin Hill","VKC154"
"CSLC-590","Directed Research","","1.0-12.0 units","Lecture","22085D","001","TBA","TBA","10","3","0","","OFFICE"
"CSLC-700","Professional Development II: Applying for Positions","","2.0 units","Lecture","22089D","001","4:00-5:50pm","Tuesday","15","6","0","Peggy Kamuf","THH221"
"CSLC-790","Research","","1.0-12.0 units, max 12","Lecture","22094D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794a","Doctoral Dissertation","","2.0 units","Lecture","22095D","001","TBA","TBA","10","4","0","","OFFICE"
"CSLC-794b","Doctoral Dissertation","P","2.0 units","Lecture","22096D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794c","Doctoral Dissertation","P","2.0 units","Lecture","22097D","001","TBA","TBA","10","1","0","","OFFICE"
"CSLC-794d","Doctoral Dissertation","P","2.0 units","Lecture","22098D","001","TBA","TBA","10","2","0","","OFFICE"
"CSLC-794z","Doctoral Dissertation","P","0.0 units","Lecture","22099D","001","TBA","TBA","12","1","0","","OFFICE"
