"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTAN-101","Introduction to the Art of Animation","MC","2.0 units","Lecture","17851D","001","1:00-3:50pm","Tuesday","16","16","0","Marcel Valcarce, Michael Patterson","SCB102, SCB207"
"CTAN-201","Introduction to Animation Techniques","PMC","3.0 units","Lecture-Lab","17855D","001","1:00-3:50pm","Wednesday","19","19","0","Tom Sito","SCB205"
"CTAN-301","Introduction to Digital Animation","PMC","3.0 units","Lecture","17870D","001","1:00-3:50pm","Wednesday","13","13","0","Jones Angie","SCB102, SCB102"
"CTAN-305","Professionalism of Animation","M","2.0 units","Lecture","17872D","001","4:00-6:50pm","Monday","11","9","0","Janet Nagel","SCB207"
"CTAN-330","Animation Fundamentals","","2.0 units","Lecture","17854R","001","7:00-9:50pm","Tuesday","16","16","0","Laura Yilmaz","SCB205"
"CTAN-401a","Senior Project","PMC","4.0 units","Lecture-Lab","17873D","001","9:00-11:50am","Tuesday","20","20","0","Sheila Sofian, Trixy Wattenbarger, Angie Jones</a>","SCB207"
"CTAN-420","Concept Design for Animation","","2.0 units","Lecture","17917R","001","7:00-9:50pm","Thursday","15","13","0","Mahoney John","SCB207"
"CTAN-435","Story Art Development","","2.0 units","Lecture","17912D","001","10:00-12:50pm","Wednesday","15","11","0","Sheila Sofian","SCB205"
"CTAN-436","Writing for Animation","","2.0 units","Lecture","17862R","001","1:00-3:50pm","Thursday","15","14","0","Brauer Elizabeth","SCB304"
"","","","","Lecture","17865R","001","10:00-12:50pm","Monday","15","15","0","Brauer Elizabeth","SCB304"
"CTAN-443L","Character Development for 3-D Animation and Games","P","2.0 units","Lecture-Lab","17864R","001","4:00-6:50pm","Tuesday","15","9","0","Maks Naporowski","SCB102, SCA356"
"CTAN-448","Introduction to Film Graphics - Animation","","4.0 units","Lecture","17868R","001","1:00-3:50pm","Friday","15","14","0","Trixy Wattenbarger","SCB205"
"CTAN-450a","Animation Theory and Techniques","","2.0 units","Lecture-Lab","17874R","001","9:00-10:50am","Wednesday","15","15","0","Shelly Wattenbarger","SCA356, SCB102"
"CTAN-450b","Animation Theory and Techniques","P","2.0 units","Lecture","17880R","001","5:00-6:50pm","Wednesday","14","7","0","Angie Jones","SCB102"
"CTAN-451","History of Animation","","2.0 units","Lecture","17888R","001","9:30-12:20pm","Friday","130","78","0","Christine Panushka","SCA108"
"CTAN-452","Introduction to 3-D Computer Animation","","2.0 units, max 4","Lecture-Lab","17892R","001","7:00-10:00pm","Tuesday","15","15","0","Dariush Derakhshani","SCB102, SCB102"
"","","","","Lecture-Lab","17893R","001","7:00-10:00pm","Monday","15","15","0","Maks Naporowski","SCB102, SCB102"
"","","","","Lecture-Lab","17894R","001","4:00-6:50pm","Monday","15","15","0","Maks Naporowski","SCB102, RZC117"
"CTAN-455L","Organic Modeling for Animation","","2.0 units","Lecture-Lab","17897R","001","1:00-3:50pm","Thursday","15","12","0","Mahoney John, Marcel Valcarce","SCB102, SCA356"
"CTAN-462","Visual Effects","","2.0 units","Lecture-Lab","17901R","001","7:00-9:50pm","Wednesday","14","12","0","Darren Kiner","RZC117, RZC117"
"","","","","Lecture-Lab","17898R","001","7:00-9:50pm","Tuesday","14","12","0","Kiner Darren","RZC117, RZC117"
"CTAN-464L","Digital Lighting and Rendering","P","2.0 units","Lecture-Lab","17909R","001","1:00-3:50pm","Tuesday","15","7","0","Frederic Durand","RZC117, RZC117"
"CTAN-496","Directed Studies","M","2.0 units","Lecture","17908D","001","TBA","TBA","12","2","0","Kathy Smith","OFFICE"
"CTAN-522","Animation Department Seminar","","1.0 units, max 6","Lecture","17928D","037","6:00-8:50pm","Wednesday","60","46","0","Christine Panushka","SCI108"
"CTAN-544","Introduction to the Art of Animation","MC","3.0 units","Lecture-Lab","17936D","037","10:00-12:50pm","Tuesday","15","15","0","Elisabeth Mann, Larissa Bank","SCB205, SCB202"
"CTAN-550","Stop Motion Puppet and Set Design","","2.0 units","Lecture","17952R","037","7:00-9:50pm","Tuesday","14","12","0","Brooker Musa","SCB207"
"CTAN-555","Animation Design and Production","PM","4.0 units","Lecture","17955D","037","9:30-12:20pm","Tue, Thu","15","15","0","Michael Patterson, Candace Reckinger</a>","RZC117"
"CTAN-564L","Motion Capture Fundamentals","P","2.0 units","Lecture-Lab","17997R","037","7:00-9:50pm","Friday","15","9","0","John Brennan","RZC117, RZC117"
"CTAN-565L","Motion Capture Performance","P","2.0 units","Lecture-Lab","17998R","037","10:00-12:50pm","Monday","14","0","0","",""
"CTAN-577a","Fundamentals of Animation","MC","2.0 units","Lecture","17954D","037","4:00-6:50pm","Thursday","15","15","0","Tom Sito","SCB205"
"CTAN-579","Expanded Animation","M","2.0 units","Lecture","17964D","037","9:00-11:50am","Monday","16","16","0","Kathy Smith","SCA356, SCB102"
"CTAN-592","Master Class","","2.0-6.0 units, max 12","Lecture","17970D","037","9:30-11:50am","Monday","12","7","0","Elisabeth Mann","SCB205"
"","","","","Lecture","17971R","037","7:00-9:50pm","Thursday","16","12","0","Gilbert Zimmerman","SCB205"
"CTAN-593","Directed Studies in Animation","MC","2.0 units, max 4","Lecture","17982D","037","TBA","TBA","10","6","0","Kathy Smith","OFFICE"
"CTAN-594a","Master's Thesis","","2.0 units","Lecture-Lab","17983D","037","10:00-11:50am","Wednesday","15","15","0","Sheila Sofian, Christine Panushka, Elisabeth Mann, Michael Patterson, David Fain, Candace Reckinger, Kathy Smith, Angie Jones</a>","SCB207"
