"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTCS-190","Introduction to Cinema","","4.0 units","Lecture","18000D","001","2:00-5:50pm","Tuesday","325","231","0","Drew Casper","NCT"
"","","","","Lecture","18005D","001","2:00-5:50pm","Wednesday","325","213","0","Drew Casper","NCT"
"","","","","Discussion","18040D","001","9:00-9:50am","Tuesday","25","20","0","","VKC160"
"","","","","Discussion","18045D","001","9:00-9:50am","Thursday","25","22","0","","THH217"
"","","","","Discussion","18050D","001","9:00-9:50am","Thursday","25","10","0","","KAP140"
"","","","","Discussion","18055D","001","10:00-10:50am","Tuesday","25","21","0","","SCA258"
"","","","","Discussion","18060D","001","10:00-10:50am","Thursday","25","25","0","","SCA112"
"","","","","Discussion","18065D","001","11:00-11:50am","Monday","25","25","0","","SCI106"
"","","","","Discussion","18070D","001","12:00-12:50pm","Tuesday","25","25","0","","SCB104"
"","","","","Discussion","18075D","001","12:00-12:50pm","Thursday","25","24","0","","SCB104"
"","","","","Discussion","18080D","001","11:00-11:50am","Friday","25","23","0","","THH110"
"","","","","Discussion","18085D","001","12:00-12:50pm","Monday","25","25","0","","THH B9"
"","","","","Discussion","18090D","001","12:00-12:50pm","Monday","25","25","0","","KAP166"
"","","","","Discussion","18095D","001","12:00-12:50pm","Tuesday","25","21","0","","SCA258"
"","","","","Discussion","18100D","001","12:00-12:50pm","Thursday","25","24","0","","SCA258"
"","","","","Discussion","18105D","001","12:00-12:50pm","Friday","25","10","0","","SOS B47"
"","","","","Discussion","18110D","001","12:00-12:50pm","Friday","25","21","0","","VKC160"
"","","","","Discussion","18115D","001","1:00-1:50pm","Monday","25","0","0","",""
"","","","","Discussion","18125D","001","1:00-1:50pm","Monday","25","25","0","","KAP166"
"","","","","Discussion","18135D","001","1:00-1:50pm","Friday","25","25","0","","VKC160"
"","","","","Discussion","18140D","001","2:00-2:50pm","Monday","25","24","0","","THH B9"
"","","","","Discussion","18145D","001","6:00-6:50pm","Wednesday","25","24","0","","VKC160"
"","","","","Discussion","18150D","001","6:00-6:50pm","Wednesday","25","25","0","","THH121"
"CTCS-191","Introduction to Television and Video","","4.0 units","Lecture","18155D","001","9:00-11:50am","Wednesday","100","98","0","Ellen Seiter","NCT"
"","","","","Discussion","18156D","001","11:00-11:50am","Monday","25","25","0","","SCA316"
"","","","","Discussion","18157D","001","12:00-12:50pm","Monday","25","23","0","","SCA316"
"","","","","Discussion","18158D","001","12:00-12:50pm","Tuesday","25","25","0","","SCA203"
"","","","","Discussion","18159D","001","12:00-12:50pm","Wednesday","26","25","0","","SCA214"
"CTCS-200","History of the International Cinema I","","4.0 units","Lecture","18160D","001","2:00-4:50pm","Monday","225","179","0","Laura Serna","NCT"
"","","","","Discussion","18331D","001","5:00-5:50pm","Monday","25","24","0","","SCA203"
"","","","","Discussion","18332D","001","5:00-5:50pm","Monday","25","24","0","","SCA214"
"","","","","Discussion","18333D","001","9:00-9:50am","Tuesday","25","24","0","","SCI207"
"","","","","Discussion","18334D","001","10:00-10:50am","Tuesday","25","25","0","","SCI207"
"","","","","Discussion","18335D","001","9:00-9:50am","Thursday","25","19","0","","SCA316"
"","","","","Discussion","18336D","001","9:00-9:50am","Thursday","25","0","0","",""
"","","","","Discussion","18337D","001","11:00-11:50am","Friday","25","18","0","","SCA316"
"","","","","Discussion","18338D","001","12:00-12:50pm","Friday","25","20","0","","SCA316"
"","","","","Discussion","18339D","001","5:00-5:50pm","Monday","25","25","0","","SCA310"
"CTCS-393","History of the American Film, 1946-1975","","4.0 units","Lecture","18165D","001","6:00-10:00pm","Tuesday","365","53","0","Drew Casper","NCT"
"CTCS-400","Non-Fiction Film and Television","","4.0 units","Lecture","18088D","001","9:00-12:50pm","Wednesday","49","23","0","Michael Renov","SCB104"
"CTCS-402","Practicum in Film/Television Criticism","","4.0 units, max 8","Lecture","18175D","001","2:00-5:50pm","Monday","19","19","0","Howard Rosenberg","SCA216"
"CTCS-403","Studies in National and Regional Media","","4.0 units"
"","Latin American Cinema Post-1960","","4.0","Lecture","18086D","001","2:00-5:50pm","Thursday","20","7","0","Laura Serna","SCA216"
"CTCS-407","African American Cinema","","4.0 units","Lecture","18097D","001","10:00-1:50pm","Wednesday","20","17","0","Christine Acham","SCA316"
"CTCS-409","Censorship in Cinema","","4.0 units","Lecture","18185D","001","9:00-12:50pm","Tuesday","200","33","0","Rick Jewell, Drew Casper","SCA108"
"CTCS-411","Film, Television and Cultural Studies","","4.0 units, max 8"
"","Adaptations","","4.0","Lecture","18190D","001","9:00-10:50am","Thursday","20","17","0","William Whittington","SCA216, SCA108"
"CTCS-412","Gender, Sexuality and Media","","4.0 units, max 8"
"","Queering of Cinematic Arts","","4.0","Lecture","18197D","001","2:00-5:50pm","Tuesday","21","18","0","Kara Keeling","SCA258"
"CTCS-464","Film and/or Television Genres","","4.0 units, max 8"
"","The Western","","4.0","Lecture","18200D","001","2:00-5:50pm","Monday","200","28","0","Rick Jewell","SCA108"
"","American Dream: The Remix","","4.0","Lecture","18205D","001","1:00-5:50pm","Thursday","200","122","0","Todd Boyd","SCA108"
"CTCS-466","Theatrical Film Symposium","","4.0 units, max 8","Lecture","18215D","001","7:00-11:00pm","Thursday","355","313","0","Leonard Maltin","NCT"
"CTCS-467","Television Symposium","","4.0 units, max 8","Lecture","18210D","001","7:00-11:00pm","Monday","190","95","0","Howard Rosenberg","SCA108"
"CTCS-469","Film and/or Television Style Analysis","","4.0 units"
"","Data-Based Media","","4.0","Lecture","18219D","001","10:00-1:50pm","Monday","20","0","0","Aniko Imre",""
"","Hitchcock","","4.0","Lecture","18225D","001","6:00-10:30pm","Wednesday","365","217","0","Drew Casper","NCT"
