"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTIN-101","Fundamentals of Procedural Media","","2.0 units","Lecture","18351D","001","10:00-12:50pm","Wednesday","32","30","0","Peter Brinson, Margaret Moser","SCI L113"
"CTIN-110","Statistical Analysis for Games: Storytelling with Numbers","","4.0 units","Lecture","18409D","001","10:00-12:50pm","Friday","8","7","0","Dennis Wixon","SCA B148"
"CTIN-190","Introduction to Interactive Entertainment","","4.0 units","Lecture","18353D","001","2:00-4:50pm","Tuesday","92","79","0","Jeff Watson","SCI108"
"CTIN-401L","Interface Design for Games","","2.0 units","Lecture-Lab","18368D","001","6:00-8:50pm","Monday","20","19","0","Chevon Hicks","SCI L113"
"CTIN-405L","Design and Technology for Mobile Experiences","","2.0 units","Lecture-Lab","18396D","001","5:00-6:50pm","Tuesday","20","17","0","Margaret Moser","SCA356"
"CTIN-406L","Sound Design for Games","","2.0 units","Lecture-Lab","18365D","001","12:00-1:50pm","Friday","28","26","0","Vincent Diamante","SCI L113"
"CTIN-458","Business and Management of Games","","2.0 units","Lecture","18366D","001","6:00-8:50pm","Monday","20","13","0","Robert Nashak","SCI108"
"CTIN-459L","Game Industry Workshop","P","4.0 units","Lecture-Lab","18367D","001","9:00-12:20pm","Wednesday","24","14","0","Joseph Garlington","SCI L114"
"CTIN-464","Game Studies Seminar","","2.0 units, max 4","Lecture","18419D","001","10:00-12:50pm","Wednesday","20","11","0","Robert Buerkle","SCI207"
"CTIN-483","Introduction to Game Development","","4.0 units","Lecture-Lab","18354D","001","3:00-4:50pm","Mon, Wed","24","24","0","Margaret Moser","SCI L113"
"CTIN-484L","Intermediate Game Development","P","2.0 units","Lecture-Lab","18357D","001","1:00-2:50pm","Thursday","20","19","0","Peter Brinson","SCI L113"
"","","","","Lecture-Lab","18406D","001","10:00-11:50am","Thursday","20","20","0","Peter Brinson","SCI L113"
"CTIN-486","Immersive Design Workshop","","2.0 units","Lecture-Lab","18410D","001","10:00-12:20pm","Tuesday","16","13","0","Peter Lu","SCI L114"
"CTIN-488","Game Design Workshop","","4.0 units","Lecture","18358D","001","10:00-11:50am","Monday","94","88","0","Michael John, Jane Pinckard","SCI108"
"","","","","Lab","18355D","001","10:00-11:50am","Tuesday","20","20","0","Sean Bouchard","SCI L106"
"","","","","Lab","18359D","001","12:00-1:50pm","Tuesday","20","17","0","Jesse Vigil","SCI L106"
"","","","","Lab","18360D","001","1:00-2:50pm","Wednesday","20","19","0","Sam Roberts","SCI L106"
"","","","","Lab","18361D","001","12:00-1:50pm","Thursday","20","17","0","Sam Roberts","SCI L106"
"","","","","Lab","18362D","001","1:00-2:50pm","Friday","16","0","0","",""
"","","","","Lab","18393D","001","3:00-4:50pm","Friday","20","15","0","Elizabeth Swensen","SCI L106"
"CTIN-489","Intermediate Game Design Workshop","P","2.0 units","Lecture","18363D","001","1:00-2:50pm","Tuesday","20","19","0","Richard Lemarchand","SCI L113"
"","","","","Lecture","18405D","001","10:00-11:50am","Tuesday","20","20","0","Jesse Vigil","SCI L113"
"CTIN-490x","Directed Research","","1.0-8.0 units, max 12","Lecture","18407D","001","TBA","TBA","15","11","0","Tracy Fullerton","OFFICE"
"CTIN-491L","Advanced Game Project I","","4.0 units, max 8","Lecture-Lab","18370D","001","3:30-6:50pm","Thursday","38","34","0","Laird Malamed","SCI108"
"CTIN-497a","Interactive Media Startup","","1.0 unit","Lecture","18425D","001","11:00-1:50pm","Monday","12","12","0","Jordan Weisman","SCI207"
"CTIN-499","Special Topics","","2.0-4.0 units, max 8"
"","Level Design Workshop","","2.0","Lecture","18415D","001","6:00-8:50pm","Wednesday","24","20","0","Scott Rogers","SCI L113"
"CTIN-506","Procedural Expression","","2.0 units","Lecture","18404D","037","TBA","TBA","12","6","0","Peter Brinson","OFFICE"
"CTIN-511","Interactive Media Seminar","","1.0 units, max 4","Lecture","18372D","037","4:00-5:50pm","Wednesday","30","27","0","Scott Fisher","SCI206"
"CTIN-532L","Interactive Design and Production I","M","4.0 units","Lecture-Lab","18383D","037","11:00-1:50pm","Monday","20","15","0","Richard Lemarchand","SCI L114, SCI L114"
"CTIN-534L","Experiments in Interactivity I","","4.0 units","Lecture-Lab","18411D","037","2:00-4:50pm","Tuesday","20","13","0","Andreas Kratky","SCI L114, SCI L114"
"CTIN-541","Design for Interactive Media","","2.0 units","Lecture","18385D","037","1:00-3:50pm","Wednesday","20","12","0","Tracy Fullerton","SCI L114"
"CTIN-590","Directed Research","","1.0-12.0 units","Lecture","18388D","037","TBA","TBA","10","1","0","Tracy Fullerton","OFFICE"
"CTIN-594a","Master's Thesis","PM","2.0 units","Lecture-Lab","18378D","037","10:00-1:50pm","Thursday","20","15","0","Laird Malamed, Dennis Wixon","SCI306"
"CTIN-599","Special Topics","","2.0-4.0 units, max 8"
"","Advanced Games","","4.0","Lecture","18384D","037","3:30-6:50pm","Thursday","6","0","0","Tracy Fullerton",""
