"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTPR-288","Originating and Developing Ideas for Film","","2.0 units","Lecture","18466D","001","1:00-3:50pm","Tuesday","16","11","0","Anne Desalvo","SCB207"
"","","","","Lecture","18467D","001","1:00-3:50pm","Wednesday","16","8","0","Doe Mayer","SCI209"
"CTPR-290","Cinematic Communication","M","4.0-6.0 units","Lecture-Lab","18470D","001","9:00-11:50am","Mon, Wed","18","17","0","Bill Yahraus","SCA363"
"","","","","Lecture-Lab","18471D","001","1:00-3:50pm","Tue, Thu","18","18","0","David Maquiling","SCA259"
"","","","","Lecture-Lab","18472D","001","9:00-11:50am","Mon, Wed","18","16","0","Juli Juteau","SCA310"
"","","","","Lecture-Lab","18473D","001","1:00-3:50pm","Tue, Thu","18","17","0","Miles Watkins","SCA310"
"","","","","Lecture-Lab","18476D","001","6:00-9:00pm","Mon, Wed","18","17","0","Sheldon Larry","SCA310"
"","","","","Lecture-Lab","18477D","001","6:00-9:00pm","Tue, Thu","18","18","0","Beth Block","SCA316"
"","","","","Lecture-Lab","18479D","001","1:00-3:50pm","Mon, Wed","18","18","0","James Savoca","SCA203"
"CTPR-294","Directing in Television, Fiction, and Documentary","M","4.0 units","Lecture","18461D","001","2:00-4:50pm","Wednesday","18","18","0","Jennifer Warren, Everett Lewis","SCE STG 2"
"","","","","Lecture","18462D","001","2:00-4:50pm","Wednesday","21","21","0","Bill Yahraus, Jennifer Warren, Everett Lewis","SCA214"
"","","","","Lecture","18464D","001","2:00-4:50pm","Wednesday","18","18","0","Everett Lewis, Jennifer Warren","RZC114"
"CTPR-295L","Cinematic Arts Laboratory","M","4.0 units","Lecture-Lab","18480D","001","1:00-3:50pm","Thursday","21","21","0","James Okeeffe, Sevak Ohanian, Tom Miller, Preston Defrancis","SCE STG 1, SCA310"
"","","","","Lecture-Lab","18481D","001","9:00-11:50am","Thursday","18","18","0","James Okeeffe, Sevak Ohanian, Tom Miller, Sahand Nikoukar","SCE STG 1, SCA258"
"","","","","Lecture-Lab","18482D","001","1:00-3:50pm","Thursday","18","18","0","James Okeeffe, Mary Posatko, Preston Defrancis, David Lloyd","SCA356, SCA B128"
"CTPR-310","Intermediate Production","P","4.0-6.0 units","Lecture-Discussion","18484D","001","9:00-11:50am","Tue, Thu","18","18","0","Brenda Goodman, David Maquiling, Robert Kositchek, Nancy Forner, Kenneth Hall","SCA310, SCE STG 1, SCA B148"
"","","","","Lecture-Discussion","18485D","001","9:00-11:50am","Tue, Thu","18","16","0","Nina Sadowsky, Jeffrey Lengyel, Jason Inouye, Lynzee Klingman, Simon Coke","SCA204, SCE STG 1, SCA B128"
"","","","","Lecture-Discussion","18486D","001","9:00-11:50am","Tue, Thu","18","16","0","Mary Posatko, Jeffrey Obrow, Angelo Pacifici, John Rosenberg, Stephen Flick","SCA209, SCE STG 1, SCA B128"
"CTPR-327","Motion Picture Camera","","3.0 units","Lecture","18493D","001","6:30-9:30pm","Tuesday","18","17","0","Christopher Chomyn","SCC STG 3"
"","","","","Lecture","18494D","001","6:30-9:30pm","Wednesday","18","9","0","Tristan Whitman","SCC STG 3"
"CTPR-335","Motion Picture Editing","","3.0 units","Lecture","18499D","001","7:00-10:00pm","Tuesday","16","13","0","Michael Economou","SCA363"
"","","","","Lecture","18500D","001","7:00-10:00pm","Thursday","16","12","0","Alex Jablonski","SCA259"
"","","","","Lecture","18501D","001","7:00-10:00pm","Monday","16","10","0","Duwayne Dunham","SCA362"
"CTPR-340","Creating the Motion Picture Sound Track","","2.0 units","Lecture","18503D","001","1:00-3:50pm","Tuesday","16","14","0","Don Hall","SCA B128"
"CTPR-371","Directing for Television","","4.0 units","Lecture","18502D","001","6:30-9:30pm","Tuesday","12","11","0","Mary Belli","RZC STG A"
"CTPR-385","Colloquium: Motion Picture Production Techniques","","4.0 units","Lecture","18510D","001","10:00-12:50pm","Tuesday","18","14","0","David O'Brien","RZC114"
"","","","","Lecture","18511D","001","4:00-6:50pm","Thursday","18","15","0","Todd Robinson","RZC114"
"CTPR-386","Art and Industry of the Theatrical Film","","4.0 units","Lecture","18515D","001","7:00-10:00pm","Tuesday","35","34","0","Jason Squire","SCA203"
