"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CTWR-106a","Screenwriting Fundamentals","M","4.0 units","Lecture","19150D","001","10:00-12:50pm","Thursday","10","10","0","Paul Foley","SCA342"
"","","","","Lecture","19151D","001","10:00-12:50pm","Tuesday","10","10","0","Irving Belateche","SCA342"
"","","","","Lecture","19425D","001","10:00-12:50pm","Tuesday","11","11","0","Robert Gardner","SCA214"
"CTWR-206a","Writing the Screenplay","M","4.0 units","Lecture","19156D","001","1:00-3:50pm","Friday","9","9","0","Deborah Baron","SCA203"
"","","","","Lecture","19157D","001","1:00-3:50pm","Friday","9","9","0","Robert Ramsey","SCA361"
"","","","","Lecture","19429D","001","1:00-3:50pm","Friday","10","9","0","Sandra Berg","SCA342"
"CTWR-305","Advanced Screenwriting: The Relationship Screenplay","M","4.0 units","Lecture","19160D","001","10:00-12:50pm","Tuesday","7","7","0","Rick Parks","SCA345"
"","","","","Lecture","19161D","001","1:00-3:50pm","Wednesday","7","7","0","Jack Epps","SCA345"
"","","","","Lecture","19162D","001","10:00-12:50pm","Monday","7","5","0","Peter Robinson","SCA345"
"","","","","Lecture","19317D","001","1:00-3:50pm","Tuesday","7","7","0","Mary Sweeney","SCA345"
"CTWR-321","Introduction to Hour-Long Television Writing","P","2.0 units","Lecture","19163D","001","10:00-12:50pm","Friday","10","10","5","David Balkan","SCA342"
"","","","","Lecture","19411D","001","10:00-12:50pm","Monday","9","9","9","Deborah Seibel","SCA362"
"","","","","Lecture","19426D","001","7:00-10:00pm","Monday","10","10","12","Kevin Arkadie","SCB101"
"","","","","Lecture","19430D","001","10:00-12:50pm","Wednesday","12","11","0","Harold Apter","SCA258"
"","","","","Lecture","19431D","001","10:00-12:50pm","Wednesday","12","12","0","Paul De Meo","SCI209"
"CTWR-404","Foundations of Comedy","","2.0 units","Lecture","19311R","001","7:00-10:00pm","Monday","150","98","0","Kenneth Levine","SCI106"
"CTWR-407","Creating the Comedic Character","","2.0 units","Lecture","19433R","001","10:00-12:50pm","Monday","20","18","0","Chase Winton","RZC114"
"CTWR-410L","Character Development and Storytelling for Games","","4.0 units","Lecture-Lab","19164D","001","7:00-10:00pm","Thursday","14","14","8","Danny Bilson","SCI207"
"CTWR-412","Introduction to Screenwriting","","2.0 units","Lecture","19166R","001","10:00-12:50pm","Monday","12","10","0","Frank Mc Adams","SCA258"
"","","","","Lecture","19167R","001","10:00-12:50pm","Friday","12","12","0","David Brind","SCA259"
"","","","","Lecture","19168R","001","4:00-6:50pm","Monday","12","10","0","Vincent Robert","SCA362"
"","","","","Lecture","19169R","001","4:00-6:50pm","Tuesday","12","12","0","James Mc Ginn","SCB101"
"","","","","Lecture","19171R","001","4:00-6:50pm","Thursday","12","10","0","Jason Squire","SCA214"
"","","","","Lecture","19172R","001","7:00-10:00pm","Monday","12","11","0","Jim Staahl","SCB205"
"","","","","Lecture","19174R","001","7:00-10:00pm","Thursday","12","11","0","Tim Curnen","SCA342"
"CTWR-413","Writing the Short Script I","","2.0 units","Lecture","19177D","001","10:00-12:50pm","Friday","14","14","0","Robert Gardner","SCA209"
"","","","","Lecture","19179D","001","10:00-12:50pm","Wednesday","15","15","0","Benita Garvin","SCB101"
"","","","","Lecture","19180D","001","10:00-12:50pm","Wednesday","14","14","0","Nevin Schreiner","SCA342"
"","","","","Lecture","19181D","001","10:00-12:50pm","Friday","15","15","0","Deborah Baron","SCI209"
"CTWR-414","The Screenplay","PM","2.0 units","Lecture","19188D","001","10:00-12:50pm","Monday","14","12","0","Robert Ramsey","SCA259"
"","","","","Lecture","19189D","001","10:00-12:50pm","Monday","14","12","0","Benita Garvin","SCB101"
"","","","","Lecture","19191D","001","10:00-12:50pm","Monday","14","12","0","Vincent Robert","SCB207"
"CTWR-415a","Advanced Writing","P","2.0 units","Lecture","19192D","001","1:00-3:50pm","Thursday","13","12","0","Paul Wolff","SCA363"
"","","","","Lecture","19193D","001","7:00-10:00pm","Tuesday","13","12","0","Paul Wolff","SCB101"
"","","","","Lecture","19427D","001","7:00-10:00pm","Wednesday","13","11","0","Sandra Berg","SCI209"
"","","","","Lecture","19432D","001","10:00-12:50pm","Thursday","13","12","0","Anne Postman","SCB101"
"CTWR-415b","Advanced Writing","P","4.0 units","Lecture","19194D","001","10:00-12:50pm","Wednesday","12","12","0","Tyger Williams","SCA362"
"CTWR-416","Motion Picture Script Analysis","","2.0 units","Lecture","19416R","001","1:00-4:50pm","Monday","150","120","0","Janet Batchler","SCI106"
"CTWR-417","Script Coverage and Story Analysis","","2.0 units","Lecture","19195R","001","10:00-12:50pm","Monday","25","17","0","Peter Exline","SCB104"
"CTWR-418a","Senior Thesis","PM","4.0 units","Lecture","19198D","001","1:00-3:50pm","Thursday","5","3","0","David Weber","SCA362"
"","","","","Lecture","19199D","001","1:00-3:50pm","Tuesday","5","5","0","John Bowman","SCA361"
"","","","","Lecture","19200D","001","1:00-3:50pm","Thursday","6","6","0","Mark Shepherd","SCA345"
