"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DANC-181a","Modern Dance","","2.0 units","Lecture","22370R","001","12:30-1:50pm","Mon, Wed","50","26","0","Saleemah Knight","PED207"
"DANC-181b","Modern Dance","P","2.0 units","Lecture","22375R","001","11:00-12:20pm","Mon, Wed","50","0","0","Jodie Gates",""
"DANC-183a","Ballet","","2.0 units","Lecture","22390R","001","8:00-9:20am","Tue, Thu","50","19","0","Jackie Kopcsak","PED207"
"","","","","Lecture","22391R","001","9:30-10:50am","Mon, Wed","50","20","0","Sasha Greschenko","PED207"
"DANC-183b","Ballet","P","2.0 units","Lecture","22395R","001","8:00-9:20am","Mon, Wed","50","10","0","Sasha Greschenko","PED207"
"","","","","Lecture","22396R","001","9:30-10:50am","Tue, Thu","50","15","0","Jackie Kopcsak","PED207"
"DANC-184a","Jazz Dance","","2.0 units","Lecture","22410R","001","2:00-3:20pm","Mon, Wed","50","17","0","Saleemah Knight","PED207"
"","","","","Lecture","22411R","001","3:30-4:50pm","Tue, Thu","50","11","0","Kenji Yamaguchi","PED207"
"DANC-184b","Jazz Dance","P","2.0 units","Lecture","22415R","001","5:00-6:20pm","Mon, Wed","50","8","0","Saleemah Knight","PED207"
"","","","","Lecture","22416R","001","2:00-3:20pm","Tue, Thu","20","7","0","Kenji Yamaguchi","PED205"
"DANC-185","Hip-Hop Dance","","2.0 units, max 4","Lecture","22425R","001","10:00-12:50pm","Friday","50","15","0","Brad Rapier","PED207"
"","","","","Lecture","22426R","001","12:30-1:50pm","Tue, Thu","50","23","0","Brad Rapier","PED207"
"","","","","Lecture","22427R","001","2:00-3:20pm","Tue, Thu","50","18","0","Sabela Grimes","PED207"
"","","","","Lecture","22428R","001","11:00-12:20pm","Tue, Thu","50","26","0","Brad Rapier","PED207"
"","","","","Lecture","22429R","001","3:30-4:50pm","Mon, Wed","50","33","0","Sabela Grimes","PED207"
"DANC-188a","International Style Ballroom Dance","","2.0 units","Lecture","22430R","001","6:00-7:20pm","Mon, Wed","50","49","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22431R","001","6:30-9:20pm","Friday","50","11","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22432R","001","7:30-8:50pm","Mon, Wed","50","43","0","Jesus Fuentes","MHP101"
"","","","","Lecture","22433R","001","7:30-8:50pm","Tue, Thu","50","29","0","Jesus Fuentes","MHP101"
"DANC-188b","International Style Ballroom Dance","P","2.0 units","Lecture","22440R","001","6:00-7:20pm","Tue, Thu","50","11","0","Miranda Garrison","MHP101"
"DANC-189a","Tap Dance","","2.0 units","Lecture","22450R","001","11:00-12:20pm","Tue, Thu","20","0","0","Jodie Gates",""
"","","","","Lecture","22451R","001","12:30-1:50pm","Tue, Thu","20","0","0","Jodie Gates",""
"DANC-280","Dance as an Art Form","","4.0 units","Lecture","22490D","001","2:00-3:20pm","Mon, Wed","16","13","0","Jackie Kopcsak","MRF206"
"DANC-362","Pilates Mat Training","","2.0 units, max 4","Lecture","22524R","001","11:00-12:20pm","Mon, Wed","50","23","0","Jackie Kopcsak","PED207"
"DANC-385","Choreography and Performance","","4.0 units","Lecture-Lab","22535R","001","1:00-3:50pm","Friday","20","5","0","Brad Rapier","PED208"
"DANC-402","Urban Folk and Street Dance: History and Culture","","4.0 units, max 8","Lecture","22553R","001","11:00-12:20pm","Tue, Thu","16","4","0","Sabela Grimes","SOS B45"
"DANC-483","Dance Performance","","2.0 units, max 8","Lecture","22575R","001","1:00-2:50pm","Friday","50","4","0","Saleemah Knight","PED207"
"DANC-490x","Directed Research","C","1.0-12.0 units, max 12","Lecture","22582D","001","TBA","TBA","5","1","0","Jodie Gates","STO328"
