"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DHYG-311a","Fundamentals of Clinical Dental Hygiene Practice","","3.0 units","Lecture","23000D","007","TBA","TBA","60","44","0","Michaela Nguyen","OFFICE"
"DHYG-314L","Dental Morphology Laboratory","","1.0 unit","Lecture-Lab","23001D","007","TBA","TBA","60","43","0","Richard Green","TBA"
"DHYG-316","Patient Education in Preventive Dental Care","","1.0 unit","Lecture","23002D","007","TBA","TBA","60","43","0","M Melrose","OFFICE"
"DHYG-410b","Clinic: Dental Hygiene","P","2.0-7.0 units","Lecture","23010D","043","TBA","TBA","60","39","0","Lupe Arevalo, M Melrose","OFFICE"
"DHYG-412","Preventive Dental Care Programs","","1.0 unit","Lecture","23011D","043","TBA","TBA","60","38","0","M Melrose","OFFICE"
"DHYG-414a","Advanced Dental Hygiene","","2.0 units","Lecture","23012D","043","TBA","TBA","60","38","0","Joyce Sumi","OFFICE"
"DHYG-424b","Research Methods","","1.0 unit","Lecture","23014D","043","TBA","TBA","60","38","0","Jane Forrest","OFFICE"
"DHYG-501","Dental Hygiene Theory and Science I","","3.0 units","Lecture","23018D","394","TBA","TBA","30","2","0","Ann Spolarich, Joyce Sumi","OFFICE"
"DHYG-502","Dental Hygiene Seminar I","","1.0 unit","Lecture","23019D","394","TBA","TBA","30","2","0","Ann Spolarich, Joyce Sumi","OFFICE"
"DHYG-510","Capstone Project","","4.0 units","Lecture","23037D","394","TBA","TBA","10","5","0","Ann Spolarich","OFFICE"
"DHYG-516a","Community Oral Health","","2.0 units","Lecture","23049D","043","TBA","TBA","60","38","0","Pam Hughes","OFFICE"
