"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DPBL-501a","Dental Problem Based Learning--Human Structure I","M","3.0 units","Lecture","23160D","006","TBA","TBA","150","145","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"DPBL-502a","Dental Problem Based Learning -- Human Function I","M","8.0 units","Lecture","23161D","006","TBA","TBA","150","145","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"DPBL-503a","Dental Problem Based Learning -- Human Behavior I","M","2.0 units","Lecture","23162D","006","TBA","TBA","150","145","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"DPBL-504a","Dental Problem Based Learning -- Human Clinical Dentistry I","M","4.0 units","Lecture","23163D","006","TBA","TBA","150","145","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
"DPBL-511a","Dental Problem Based Learning -- Human Structure II","P","2.0 units","Lecture","23164D","039","TBA","TBA","150","145","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"DPBL-512a","Dental Problem Based Learning -- Human Function II","P","5.0 units","Lecture","23165D","039","TBA","TBA","150","145","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"DPBL-513a","Dental Problem Based Learning -- Human Behavior II","P","3.0 units","Lecture","23166D","039","TBA","TBA","150","145","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"DPBL-514a","Dental Problem Based Learning -- Human Clinical Dentistry II","P","7.0 units","Lecture","23167D","039","TBA","TBA","150","145","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
"DPBL-521a","Dental Problem Based Learning -- Human Structure III","P","1.0 unit","Lecture","23154D","008","TBA","TBA","40","34","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"","","","","Lecture","23168D","040","TBA","TBA","150","142","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"DPBL-522a","Dental Problem Based Learning -- Human Function III","P","1.0 unit","Lecture","23155D","008","TBA","TBA","40","34","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"","","","","Lecture","23169D","040","TBA","TBA","150","142","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"DPBL-523a","Dental Problem Based Learning -- Human Behavior III","P","1.0 unit","Lecture","23156D","008","TBA","TBA","40","34","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"","","","","Lecture","23170D","040","TBA","TBA","150","142","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"DPBL-524a","Dental Problem Based Learning -- Human Clinical Dentistry III","P","14.0 units","Lecture","23157D","008","TBA","TBA","40","34","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
"","","","","Lecture","23171D","040","TBA","TBA","150","142","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
"DPBL-531a","Dental Problem Based Learning -- Human Structure IV","P","1.0 unit","Lecture","23150D","042","TBA","TBA","40","33","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"","","","","Lecture","23172D","041","TBA","TBA","150","141","0","Mahvash Navazesh, Malcolm Snead","OFFICE"
"DPBL-532a","Dental Problem Based Learning -- Human Function IV","P","1.0 unit","Lecture","23151D","042","TBA","TBA","40","33","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"","","","","Lecture","23173D","041","TBA","TBA","150","141","0","Mahvash Navazesh, Ilan Rotstein","OFFICE"
"DPBL-533a","Dental Problem Based Learning -- Human Behavior IV","P","1.0 unit","Lecture","23152D","042","TBA","TBA","40","33","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"","","","","Lecture","23174D","041","TBA","TBA","150","141","0","Mahvash Navazesh, Jane Forrest","OFFICE"
"DPBL-534a","Dental Problem Based Learning -- Human Clinical Dentistry IV","P","13.0 units","Lecture","23153D","042","TBA","TBA","40","33","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
"","","","","Lecture","23175D","041","TBA","TBA","150","141","0","Mahvash Navazesh, Casey Chen, Michael Mulvehill","OFFICE"
