"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSO-401","Business Information Systems -- Spreadsheet Applications","","2.0 units","Lecture","16214R","001","2:00-3:50pm","Monday","32","30","0","Francis Pereira","BRI202A"
"","","","","Lecture","16215R","001","4:00-5:50pm","Monday","32","30","0","Francis Pereira","BRI202A"
"","","","","Lecture","16218R","001","4:00-5:50pm","Wednesday","32","28","0","Francis Pereira","BRI202A"
"","","","","Lecture","16219R","001","6:00-7:50pm","Wednesday","32","30","0","Francis Pereira","BRI202A"
"DSO-402","Business Information Systems - Database Applications","","2.0 units","Lecture","16220R","001","6:00-7:50pm","Tuesday","32","30","0","Wayne Wilmeth","BRI202A"
"DSO-427","Designing Spreadsheet-Based Business Models","","4.0 units","Lecture","16222R","001","4:00-5:50pm","Tue, Thu","32","30","0","Omeed Selbe","BRI202A"
"DSO-431","Foundations of Digital Business Innovation","","4.0 units","Lecture","16225R","001","10:00-11:50am","Mon, Wed","30","29","0","Ann Majchrzak","BRI202A"
"DSO-435","Enterprise Data Architecture","","4.0 units","Lecture","16228R","001","2:00-3:50pm","Mon, Wed","44","44","0","Douglas Shook","HOH421"
"DSO-443","The Business of Digital Entertainment","","4.0 units","Lecture","16234D","001","8:00-9:50am","Tue, Thu","1","0","0","Francis Pereira",""
"DSO-455","Project Management","","4.0 units","Lecture","16236R","001","2:00-3:50pm","Tue, Thu","32","32","0","Murat Bayiz","ACC205"
"DSO-462","Managing a Small Business on the Internet","","2.0 units","Lecture","16244R","001","6:30-8:20pm","Tuesday","35","34","0","Richard Selby","HOH421"
"","","","","Lecture","16245R","001","6:30-8:20pm","Thursday","35","29","0","Richard Selby","HOH421"
"DSO-482","Supply Chain Management","P","4.0 units","Lecture","16248D","001","10:00-11:50am","Tue, Thu","1","0","0","Murat Bayiz",""
"DSO-505","Sustainable Supply Chains","MC","1.5 units","Lecture","16200D","175","5:00-8:00pm","Wednesday","43","43","0","Greys Sosic","ONLINE"
"","","","","Lecture","16298R","418","5:00-8:00pm","Wednesday","42","39","0","Greys Sosic","BRI202"
"DSO-506","Sourcing and Supplier Management","MC","1.5 units","Lecture","16201D","277","5:00-8:00pm","Wednesday","43","43","0","Greys Sosic","ONLINE"
"","","","","Lecture","16299D","419","5:00-8:00pm","Wednesday","42","39","0","Greys Sosic","BRI202"
"DSO-510","Business Analytics","M","3.0 units","Lecture","16301D","033","5:00-6:20pm","Tue, Thu","35","32","0","Richard Selby","JKP112"
"","","","","Lecture","16305R","033","6:30-9:30pm","Monday","35","32","23","Richard Selby","HOH305"
"DSO-522","Applied Time Series Analysis for Forecasting","MC","3.0 units","Lecture","16270R","033","6:30-9:30pm","Wednesday","39","20","0","Robertas Gabrys","ACC236"
