"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EALC-101x","Conversational Chinese and Intercultural Communication","","2.0 units","Lecture","25601D","001","4:00-5:50pm","Tuesday","15","7","0","Yi-Hsien Liu","THH108"
"","","","","Lecture","25602D","001","4:00-5:50pm","Thursday","15","6","0","Yi-Hsien Liu","WPH104"
"EALC-102","Language, Art and Culture: Calligraphy","","2.0 units","Lecture","25400R","001","12:00-1:50pm","Monday","15","13","0","Yi-Hsien Liu","WPH104"
"","","","","Lecture","25401R","001","12:00-1:50pm","Wednesday","15","14","0","Yi-Hsien Liu","WPH104"
"","","","","Lecture","25694R","001","12:00-1:50pm","Tuesday","15","15","0","Yi-Hsien Liu","WPH104"
"","","","","Lecture","25696R","001","2:00-3:50pm","Wednesday","15","12","0","Yi-Hsien Liu","WPH104"
"EALC-103a","Online Chinese I","","2.0 units","Lecture","25690D","001","12:00-1:50pm","Wednesday","17","17","0","John Chang","MRF206"
"","","","","Lecture","25693D","001","1:00-1:50pm","Tue, Thu","16","16","0","Hsiao-Yun Liao","VKC261"
"EALC-103b","Online Chinese I","P","2.0 units","Lecture","25692D","001","12:00-1:50pm","Monday","15","5","0","John Chang","VKC104"
"EALC-104","Chinese I","","4.0 units","Lecture","25402D","001","10:00-10:50am","MTuWTh","18","12","0","Nansong Huang","WPH104"
"","","","","Lecture","25403D","001","11:00-11:50am","MTuWTh","18","7","0","Nansong Huang","VKC161"
"","","","","Lecture","25406D","001","12:00-12:50pm","MTuWTh","18","4","0","Xianxian Fang","VKC209"
"","","","","Lecture","25636D","001","4:00-4:50pm","MTuWTh","18","14","0","Xianxian Fang","VKC108"
"EALC-106","Chinese II","P","4.0 units","Lecture","25412D","001","10:00-10:50am","MTuWTh","18","14","0","Ping Yang","WPH201"
"","","","","Lecture","25414D","001","11:00-11:50am","MTuWTh","18","12","0","Ping Yang","WPH201"
"","","","","Lecture","25416D","001","4:00-5:50pm","Mon, Wed","18","15","0","Xiang Jian","VKC254"
"","","","","Lecture","25417D","001","4:00-5:50pm","Tue, Thu","19","19","0","Xiang Jian","THH115"
"EALC-108","Reading and Writing Chinese","","4.0 units","Lecture","25418D","001","4:00-5:50pm","Mon, Wed","18","8","0","John Chang","VKC110"
"EALC-110g","East Asian Humanities: The Great Tradition","","4.0 units","Lecture","25420R","001","12:30-1:50pm","Tue, Thu","150","145","0","George Hayden","THH301"
"","","","","Discussion","25421R","001","9:00-9:50am","Monday","25","24","0","Giang Le","VKC256"
"","","","","Discussion","25422R","001","9:00-9:50am","Wednesday","25","24","0","Gladys Mac","VKC256"
"","","","","Discussion","25424R","001","10:00-10:50am","Monday","25","25","0","Giang Le","VKC257"
"","","","","Discussion","25425R","001","10:00-10:50am","Wednesday","25","24","0","Gladys Mac","VKC257"
