"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EASC-160gm","China and the World","","4.0 units","Lecture","25833R","001","2:00-3:20pm","Tue, Thu","202","201","0","Goldstein Joshua","THH201"
"","","","","Discussion","25819R","001","9:00-9:50am","Tuesday","25","25","0","","VKC252"
"","","","","Discussion","25823R","001","10:00-10:50am","Thursday","26","23","0","","VKC209"
"","","","","Discussion","25834R","001","10:00-10:50am","Monday","26","26","0","","THH119"
"","","","","Discussion","25835R","001","11:00-11:50am","Monday","28","28","0","","THH B9"
"","","","","Discussion","25836R","001","11:00-11:50am","Wednesday","28","28","0","","VKC260"
"","","","","Discussion","25837R","001","1:00-1:50pm","Wednesday","27","27","0","","VKC252"
"","","","","Discussion","25838R","001","10:00-10:50am","Friday","27","26","0","","THH110"
"","","","","Discussion","25839R","001","11:00-11:50am","Friday","27","18","0","","VKC154"
"EASC-490x","Directed Research","C","2.0-8.0 units, max 8","Lecture","25828D","001","TBA","TBA","10","2","0","Stanley Rosen, James Steele</a>","OFFICE"
"EASC-590","Directed Research","","1.0-12.0 units","Lecture","25840D","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-592","Proseminar on Issues and Trends in Contemporary East Asia","","4.0 units","Lecture","25842R","001","2:00-5:00pm","Wednesday","12","8","0","Eugene Cooper","KAP150"
"EASC-594a","Master's Thesis","","2.0 units","Lecture","25843R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594b","Master's Thesis","","2.0 units","Lecture","25844R","001","TBA","TBA","10","0","0","","OFFICE"
"EASC-594z","Master's Thesis","","0.0 units","Lecture","25845R","001","TBA","TBA","10","1","0","","OFFICE"
