"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ECON-203","Principles of Microeconomics","","4.0 units","Lecture","26022R","001","2:00-3:15pm","Tue, Thu","156","149","0","Lodovico Pizzati","THH301"
"","","","","Discussion","26024R","001","1:00-1:50pm","Friday","28","24","0","","THH121"
"","","","","Discussion","26026R","001","6:00-6:50pm","Tuesday","26","26","0","","THH213"
"","","","","Discussion","26028R","001","10:00-10:50am","Friday","27","27","0","","SOS B41"
"","","","","Discussion","26030R","001","11:00-11:50am","Friday","26","25","0","","THH121"
"","","","","Discussion","26032R","001","6:00-6:50pm","Thursday","25","25","0","","THH213"
"","","","","Discussion","26038R","001","2:00-2:50pm","Friday","24","22","0","","THH121"
"","","","","Lecture","26001R","001","3:30-4:45pm","Tue, Thu","104","93","0","Manochehr Rashidian","GFS106"
"","","","","Discussion","26003R","001","11:00-11:50am","Friday","28","24","0","","GFS222"
"","","","","Discussion","26010R","001","12:00-12:50pm","Friday","26","22","0","","KAP159"
"","","","","Discussion","26011R","001","6:00-6:50pm","Tuesday","27","25","0","","GFS104"
"","","","","Discussion","26012R","001","6:00-6:50pm","Thursday","25","22","0","","GFS104"
"ECON-205","Principles of Macroeconomics","","4.0 units","Lecture","26044R","001","12:30-1:45pm","Tue, Thu","54","53","0","Lodovico Pizzati","MHP106"
"","","","","Discussion","26058R","001","6:00-6:50pm","Tuesday","27","27","0","","THH108"
"","","","","Discussion","26059R","001","6:00-6:50pm","Wednesday","27","26","0","","THH108"
"","","","","Lecture","26062D","001","2:00-3:15pm","Mon, Wed","110","109","0","Joel David","SGM101"
"","","","","Discussion","26065R","001","10:00-10:50am","Friday","28","27","0","","KAP113"
"","","","","Discussion","26068R","001","11:00-11:50am","Friday","28","27","0","","KAP113"
"","","","","Discussion","26076R","001","6:00-6:50pm","Monday","27","27","0","","GFS222"
"","","","","Discussion","26078R","001","6:00-6:50pm","Wednesday","28","28","0","","GFS107"
"ECON-303","Intermediate Microeconomic Theory","P","4.0 units","Lecture","26082R","001","12:00-1:50pm","Tue, Thu","56","55","0","Ladan Masoudie","VPD116"
"","","","","Lecture","26083R","001","5:00-6:50pm","Tue, Thu","49","48","0","Ratika Narag","VPD116"
"","","","","Lecture","26084R","001","2:00-3:50pm","Mon, Wed","53","51","0","Ergin Bayrak","VPD105"
"","","","","Lecture","26085R","001","10:00-11:50am","Mon, Wed","49","49","0","Ergin Bayrak","VPD116"
"ECON-305","Intermediate Macroeconomic Theory","P","4.0 units","Lecture","26087R","001","4:00-5:50pm","Tue, Thu","45","19","0","Lodovico Pizzati","VKC152"
"","","","","Lecture","26088R","001","10:00-11:50am","Tue, Thu","44","39","0","Robert Dekle","GFS207"
"","","","","Lecture","26090R","001","4:00-5:50pm","Tue, Thu","51","51","0","Mohammad Safarzadeh","ZHS163"
"","","","","Lecture","26092R","001","12:00-1:50pm","Mon, Wed","53","53","0","Mark Moore","VPD116"
"ECON-317","Introduction to Statistics for Economists","P","4.0 units","Lecture","26093R","001","10:00-11:50am","Mon, Wed","40","32","0","Manochehr Rashidian","KAP163"
"","","","","Lecture","26094R","001","12:00-1:50pm","Tue, Thu","51","50","0","Mohammad Safarzadeh","VPD105"
"","","","","Lecture","26096R","001","2:00-3:50pm","Tue, Thu","52","52","0","Mohammad Safarzadeh","VPD105"
"ECON-318","Introduction to Econometrics","P","4.0 units","Lecture","26136R","001","12:00-1:50pm","Mon, Wed","44","33","0","Cheng Hsiao","GFS207"
"","","","","Lecture","26332R","001","4:00-5:50pm","Tue, Thu","49","18","0","Yu-Wei Hsieh","GFS118"
"","","","","Lecture","26336R","001","12:00-1:50pm","Mon, Wed","49","18","0","Manochehr Rashidian","THH114"
"","","","","Lecture","26338R","001","2:00-3:50pm","Tue, Thu","50","46","0","Ratika Narag","VPD116"
"ECON-332","Contracts, Organizations, and Institutions","P","4.0 units","Lecture","26100R","001","2:00-3:50pm","Mon, Wed","40","0","0","Harrison Cheng",""
"ECON-342","Economic Development of the Middle East","P","4.0 units","Lecture","26108R","001","12:00-1:50pm","Mon, Wed","48","15","0","Jeff Nugent","MHP B7B"
"ECON-344","Economic Development of Sub-Saharan Africa","P","4.0 units","Lecture","26111D","001","2:00-3:50pm","Tue, Thu","27","23","0","John Strauss","MHP B7B"
"ECON-346","Economics of Transition and Development: China","P","4.0 units","Lecture","26112R","001","2:00-3:50pm","Mon, Wed","54","53","0","Guofu Tan","GFS101"
"ECON-351x","Microeconomics for Business","P","4.0 units","Lecture","26000R","001","4:00-5:50pm","Mon, Wed","73","73","0","Yanhui Wu","MHP106"
"","","","","Lecture","26004R","001","4:00-5:50pm","Mon, Wed","70","69","0","Seda Durguner","THH210"
"","","","","Lecture","26005R","001","2:00-3:50pm","Tue, Thu","70","70","0","Rahsan Akbulut","THH210"
"","","","","Lecture","26007R","001","4:00-5:50pm","Tue, Thu","70","69","0","Sena Durguner","THH210"
"","","","","Lecture","26008R","001","4:00-5:50pm","Tue, Thu","70","69","0","Lingwen Huang","SLH100"
"","","","","Lecture","26009R","001","6:00-7:50pm","Tue, Thu","70","65","0","Sena Durguner","THH212"
"","","","","Lecture","26307R","001","6:00-7:50pm","Tue, Thu","70","56","0","Lingwen Huang","HOH EDI"
"","","","","Lecture","26308R","001","6:00-7:50pm","Mon, Wed","70","70","0","Nuray Akin","THH210"
"","","","","Lecture","26310R","001","2:00-3:50pm","Tue, Thu","70","68","0","Chad Kendall","THH212"
"","","","","Lecture","26348R","001","10:00-11:50am","Mon, Wed","46","46","0","Yanhui Wu","MHP B7B"
"","","","","Lecture","26349R","001","10:00-11:50am","Tue, Thu","31","31","0","Rahsan Akbulut","HOH306"
"","","","","Lecture","26375R","001","4:00-5:50pm","Tue, Thu","70","70","0","Chad Kendall","THH212"
"","","","","Lecture","26377R","001","8:00-9:50am","Mon, Wed","73","73","0","Scott Abrams","SLH100"
"","","","","Lecture","26378R","001","12:00-1:50pm","Mon, Wed","72","72","0","Yanhui Wu","THH210"
"","","","","Lecture","26379R","001","12:00-1:50pm","Mon, Wed","71","71","0","Seda Durguner","GFS116"
"ECON-352x","Macroeconomics for Business","","4.0 units","Lecture","26051R","001","2:00-3:50pm","Mon, Wed","70","69","0","Juan Eberhard","GFS116"
