"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDHP-500","Foundations of Higher, Adult and Professional Education","","3.0 units","Lecture","27000D","001","7:00-9:40pm","Tuesday","20","19","0","Samuel Kim","WPH101"
"","","","","Lecture","27005D","001","4:00-6:40pm","Thursday","22","22","0","Carol Kozeracki","WPH201"
"","","","","Lecture","27024D","001","4:15-6:55pm","Thursday","20","16","0","Paul Dieken","SOS B49"
"EDHP-551","Applied Educational Ethnography","","3.0 units","Lecture","27004D","001","4:00-6:40pm","Tuesday","25","23","0","William Tierney","WPH206"
"EDHP-560","Feminist Theory","","4.0 units","Lecture","34980R","001","2:00-4:50pm","Monday","15","14","0","Karina Eileraas","SOS B37"
"EDHP-563","Student Affairs Work in College","","3.0 units","Lecture","27008D","001","4:00-6:40pm","Monday","25","22","0","Tracy Tambascia","WPH103"
"","","","","Lecture","27010D","001","4:00-6:40pm","Monday","25","25","0","Viannda Hawkins","WPH207"
"","","","","Lecture","27310D","001","4:00-6:40pm","Monday","25","15","0","Monique Allard","WPH203"
"EDHP-587","Fieldwork in Higher, Adult and Professional Education","","1.0-8.0 units, max 8","Lecture","27015D","001","7:00-8:40pm","Thursday","20","11","0","Paz Oliverez","WPH203"
"","","","","Lecture","27039D","001","4:00-5:40pm","Wednesday","24","22","0","Shirley Chan","WPH103"
"EDHP-593a","Master's Seminar","","2.0 units","Lecture","27301D","001","4:15-5:55pm","Tuesday","25","20","0","Sheila Banuelos","OFFICE"
"EDHP-594a","Master's Thesis","C","2.0 units","Lecture","27018D","001","TBA","TBA","10","5","0","Tracy Tambascia, Kristan Venegas","OFFICE"
"EDHP-594b","Master's Thesis","PC","2.0 units","Lecture","27020D","001","TBA","TBA","10","0","0","Tracy Tambascia, Kristan Venegas","OFFICE"
"EDHP-594z","Master's Thesis","PC","0.0 units","Lecture","27022D","001","TBA","TBA","10","1","0","Tracy Tambascia","OFFICE"
"EDHP-687","Student Development in Higher Education","","3.0 units","Lecture","27026D","001","4:00-6:40pm","Tuesday","25","22","0","Patricia Tobey","WPH103"
"","","","","Lecture","27028D","001","7:00-9:40pm","Monday","25","21","0","Kevin Colaner, Susan Ashe","WPH106"
"","","","","Lecture","27030D","001","7:00-9:40pm","Tuesday","25","23","0","Patricia Tobey","WPH103"
