"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EDUC-140m","Mind, Belief and Behavior: Learning in a Diverse World","","4.0 units","Lecture","27904R","001","12:00-1:50pm","Mon, Wed","25","21","0","Patricia Tobey","SOS B37"
"EDUC-392","Undergraduate Research Methods","","2.0 units","Lecture","10433D","001","4:00-5:50pm","Tuesday","12","6","0","George Sanchez","KAP150"
"EDUC-500","The Counseling Process","","3.0 units","Lecture","27305D","001","7:00-9:40pm","Tuesday","25","20","0","Janice Schafrik","WPH107"
"EDUC-501","Instruction for Teaching English as a New Language","M","3.0 units","Lecture","27865D","383","5:00-7:30pm","Tuesday","15","7","0","Evelyn Monat","ONLINE"
"","","","","Lecture","27866D","383","5:30-8:00am","Friday","15","14","0","Roderick Castro","ONLINE"
"","","","","Lecture","27879D","383","4:00-6:30pm","Tuesday","15","13","0","Carlos Cortez","ONLINE"
"","","","","Lecture","27880D","383","6:00-8:30pm","Tuesday","15","13","0","Joan Tardibuono","ONLINE"
"","","","","Lecture","27881D","383","9:00-11:30am","Wednesday","15","15","0","Michael Genzuk","ONLINE"
"","","","","Lecture","27882D","383","3:00-5:30pm","Wednesday","15","11","0","Michael Genzuk","ONLINE"
"","","","","Lecture","27883D","383","6:00-8:30pm","Wednesday","15","15","0","Joan Tardibuono","ONLINE"
"","","","","Lecture","27884D","383","5:00-7:30pm","Thursday","15","14","0","Carlos Cortez","ONLINE"
"","","","","Lecture","27885D","383","5:30-8:00am","Friday","15","8","0","Dolores Beltran","ONLINE"
"","","","","Lecture","27886D","383","8:30-11:00am","Thursday","15","13","0","Dolores Beltran","ONLINE"
"","","","","Lecture","27955D","348","10:00-12:20pm","Tuesday","20","16","0","Candace Kelly","ATT604"
"","","","","Lecture","27957D","348","10:30-12:50pm","Thursday","22","22","0","Rhoda Coleman","ATT606"
"EDUC-502a","Teaching Science in Secondary Classrooms","M","3.0 units","Lecture","27899D","383","8:00-10:00am","Wednesday","9","9","0","Anthony Maddox","ONLINE"
"","","","","Lecture","27910D","383","8:00-10:00am","Wednesday","9","7","0","Frederick Freking","ONLINE"
"EDUC-502b","Teaching Science in Secondary Classrooms","M","4.0 units","Lecture","27836D","383","8:00-11:00am","Friday","15","10","0","Frederick Freking","ONLINE"
"","","","","Lecture","27837D","383","6:00-9:00pm","Thursday","15","6","0","Paolo De Guzman","ONLINE"
"EDUC-503","Learning and Motivation","","3.0 units","Lecture","27002D","594","3:45-5:45pm","Thursday","20","12","0","Helena Seli","ONLINE"
"EDUC-504","Foundations of Literacy Development and Instruction","M","2.0 units","Lecture","27939D","383","9:30-12:00pm","Tuesday","15","14","0","Eugenia Mora-Flores","ONLINE"
"","","","","Lecture","27940D","383","5:00-7:30pm","Thursday","15","10","0","Joan Tardibuono","ONLINE"
"","","","","Lecture","27941D","383","5:00-7:30pm","Monday","16","16","0","Joan Tardibuono","ONLINE"
"EDUC-505","Integrating Literacy in Secondary Content Instruction","M","2.0 units","Lecture","27870D","383","8:00-10:00am","Tuesday","15","11","0","Rodrick Jenkins","ONLINE"
"","","","","Lecture","27871D","383","4:00-6:00pm","Thursday","15","8","0","Laura Amador","ONLINE"
"","","","","Lecture","27890D","383","9:00-11:00am","Tuesday","16","15","0","Monique Datta","ONLINE"
"","","","","Lecture","27891D","383","4:00-6:00pm","Tuesday","15","13","0","Esther Jang-Tamanaha","ONLINE"
"","","","","Lecture","27892D","383","5:00-7:00pm","Wednesday","15","10","0","Stephanie Kim","ONLINE"
"","","","","Lecture","27894D","383","5:30-7:30pm","Thursday","16","14","0","Rebecca Williams","ONLINE"
