"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-101","Introduction to Digital Logic","","3.0 units","Discussion","30896R","001","11:00-12:20pm","Friday","25","0","0","",""
"","","","","Lecture","30400D","001","12:30-1:50pm","Tue, Thu","51","51","0","Mark Redekopp","OHE230"
"","","","","Lecture","30403D","001","8:30-9:50am","Tue, Thu","47","46","0","Mark Redekopp","OHE230"
"","","","","Lecture","30404R","001","6:00-7:20pm","Mon, Wed","45","36","0","Michael Castle","SGM601"
"","","","","Discussion","30406R","001","9:30-10:50am","Friday","36","36","0","","VHE205"
"","","","","Discussion","30407D","001","11:00-12:20pm","Friday","37","36","0","","VHE205"
"","","","","Discussion","30408R","001","12:30-1:50pm","Friday","37","37","0","","VHE205"
"","","","","Discussion","30892R","001","8:00-9:20am","Friday","36","22","0","","VHE205"
"","","","","Quiz","30409R","001","2:00-3:50pm","Friday","200","122","0","","TBA"
"","","","","Lecture","30401R","001","9:30-10:50am","Tue, Thu","45","31","0","Monte Ung","RTH105"
"","","","","Discussion","30402R","001","3:30-4:50pm","Thursday","45","33","0","","VHE205"
"EE-105","Introduction to Electrical Engineering","","3.0 units","Lecture","30410R","001","10:00-11:20am","Mon, Wed","40","33","0","Patrick Nasiatka","OHE230"
"","","","","Lecture-Lab","30412R","001","4:00-5:20pm","Tue, Thu","45","42","0","Armand Tanguay","OHE230"
"EE-109L","Introduction to Embedded Systems","","3.0 units","Lecture","31291D","001","2:00-3:20pm","Tue, Thu","38","37","0","Mark Redekopp, Allan Weber","VHE205"
"","","","","Lab","31292D","001","3:30-4:50pm","Tuesday","40","37","0","","VHE205"
"","","","","Lecture","31395D","001","12:30-1:50pm","Tue, Thu","38","33","0","Allan Weber","VHE205"
"","","","","Lab","31396D","001","2:00-3:20pm","Wednesday","40","33","0","","VHE205"
"EE-150L","Engineering Computational Methods","","3.0 units","Lecture","30414R","001","11:00-12:20pm","Tue, Thu","68","46","0","Douglas Burke","MHP105"
"","","","","Lecture","30415R","001","2:00-3:20pm","Mon, Wed","77","77","0","Douglas Burke","ZHS352"
"","","","","Lecture","30844R","001","4:00-5:20pm","Mon, Wed","1","0","0","","OFFICE"
"","","","","Lab","30416R","001","10:00-11:50am","Tuesday","30","14","0","","SAL109"
"","","","","Lab","30417R","001","3:30-5:20pm","Wednesday","40","38","0","","SAL126"
"","","","","Lab","30418R","001","5:00-6:50pm","Monday","36","20","0","","SAL127"
"","","","","Lab","30419D","001","12:00-1:50pm","Monday","40","39","0","","SAL126"
"","","","","Lab","30475R","001","5:00-6:50pm","Monday","30","12","0","","SAL109"
"","","","","Lab","30855R","001","5:30-7:20pm","Thursday","30","0","0","",""
"EE-154","Fundamentals of Digital Logic","PM","2.0 units","Lecture","30693R","595","10:00-11:50am","Tue, Thu","40","26","0","Mark Redekopp","VHE205"
"","","","","Quiz","30411R","001","TBA","TBA","80","10","0","","OFFICE"
"EE-201L","Introduction to Digital Circuits","P","4.0 units","Lecture","30421R","001","10:00-11:50am","Mon, Wed","1","0","0","",""
"","","","","Lecture","30422R","001","2:00-3:50pm","Mon, Wed","1","0","0","",""
