"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENE-453","Water Quality Control","P","3.0 units","Lecture","29669R","001","6:30-9:10pm","Wednesday","25","20","0","Massoud Pirbazari","KAP156"
"","","","","Lecture","29670R","001","6:30-9:10pm","Thursday","25","20","0","Massoud Pirbazari","KAP146"
"","","","","Discussion","29671R","001","4:00-4:50pm","Wednesday","24","17","0","","KAP137"
"","","","","Discussion","29672D","001","3:30-4:20pm","Tuesday","26","23","0","","KAP140"
"ENE-486","Design of Solid and Hazardous Waste Engineering Systems","P","3.0 units","Lecture","31407R","001","6:30-9:10pm","Monday","25","11","0","Rezvan Ramezani","KAP145"
"ENE-523","Process Kinetics and Dynamics in Environmental Engineering","P","3.0 units","Lecture","29736R","048","2:00-3:20pm","Tue, Thu","40","14","0","Amy Childress","KAP158"
"ENE-553","Chemical and Biological Processes in Environmental Engineering","P","3.0 units","Lecture","29781R","048","3:30-6:10pm","Monday","32","30","0","Adam Smith","KAP163"
"ENE-590","Directed Research","","1.0-12.0 units","Lecture","31434D","048","TBA","TBA","30","4","0","Erik Johnson","OFFICE"
"ENE-596","Chemical Reactions in the Atmosphere","","3.0 units","Lecture","31436R","048","11:00-12:20pm","Tue, Thu","18","13","0","Ronald Henry","KAP164"
"ENE-790","Research","","1.0-12.0 units","Lecture","31439D","048","TBA","TBA","30","2","0","Erik Johnson","OFFICE"
"ENE-794a","Doctoral Dissertation","C","2.0 units","Lecture","31440D","048","TBA","TBA","15","2","0","Erik Johnson","OFFICE"
"ENE-794b","Doctoral Dissertation","PC","2.0 units","Lecture","31441R","048","TBA","TBA","15","1","0","Erik Johnson","OFFICE"
"ENE-794c","Doctoral Dissertation","PC","2.0 units","Lecture","31442R","048","TBA","TBA","15","0","0","Erik Johnson","OFFICE"
"ENE-794d","Doctoral Dissertation","PC","2.0 units","Lecture","31443R","048","TBA","TBA","15","1","0","Erik Johnson","OFFICE"
"ENE-794z","Doctoral Dissertation","PC","0.0 units","Lecture","31444D","048","TBA","TBA","15","1","0","Erik Johnson","OFFICE"
