"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-105x","Creative Writing for Non-Majors","","4.0 units, max 8","Lecture","32820D","001","2:00-4:20pm","Monday","12","10","0","Christopher Muniz","THH111"
"","","","","Lecture","32821D","001","2:00-4:20pm","Tuesday","12","8","0","Christine Vranicar","THH111"
"","","","","Lecture","32822D","001","2:00-4:20pm","Thursday","12","12","0","David St John","THH111"
"","","","","Lecture","32862D","001","2:00-4:20pm","Friday","12","10","0","Stacy Gnall","THH107"
"ENGL-261","English Literature to 1800","","4.0 units","Lecture","32604D","001","9:30-10:50am","Tue, Thu","19","18","0","Thea Cervone","THH203"
"","","","","Lecture","32605D","001","10:00-11:50am","Mon, Wed","19","14","0","Jessica Rosenberg","THH214"
"","","","","Lecture","32608D","001","12:00-1:50pm","Mon, Wed","19","19","0","David Rollo","MRF229"
"","","","","Lecture","32612D","001","2:00-3:20pm","Tue, Thu","19","17","0","Thea Cervone","VKC206"
"","","","","Lecture","32614D","001","3:30-4:50pm","Mon, Wed","19","0","0","",""
"ENGL-262","English Literature since 1800","","4.0 units","Lecture","32619D","001","10:00-10:50am","MWF","19","13","0","Richard Berg","VKC206"
"","","","","Lecture","32621D","001","11:00-12:20pm","Tue, Thu","19","19","0","Christopher Freeman","THH203"
"","","","","Lecture","32628D","001","3:30-4:50pm","Mon, Wed","19","13","0","Erika Wright","THH117"
"ENGL-263","American Literature","","4.0 units","Lecture","32629D","001","3:30-4:50pm","Mon, Wed","19","17","0","David Roman","THH115"
"","","","","Lecture","32635D","001","11:00-12:20pm","Tue, Thu","19","19","0","Michelle Gordon","THH214"
"","","","","Lecture","32636D","001","12:00-12:50pm","MWF","19","17","0","Richard Berg","VKC255"
"","","","","Lecture","32637D","001","12:30-1:50pm","Tue, Thu","19","17","0","Kerry Ingram","THH203"
"ENGL-303","Introduction to Fiction Writing","","4.0 units","Lecture","32645D","001","2:00-4:20pm","Monday","12","10","0","Percival Everett","THH105"
"","","","","Lecture","32646D","001","4:30-6:50pm","Monday","12","12","0","Susan Segal","THH107"
"","","","","Lecture","32649D","001","2:00-4:20pm","Wednesday","12","12","0","Susan Segal","THH105"
"","","","","Lecture","32653D","001","2:00-4:20pm","Friday","13","13","0","Kerry Ingram","THH105"
"ENGL-304","Introduction to Poetry Writing","","4.0 units","Lecture","32655D","001","2:00-4:20pm","Monday","12","12","0","Anna Journey","THH107"
"","","","","Lecture","32657D","001","2:00-4:20pm","Tuesday","12","12","0","Mary Bendall","THH109"
"","","","","Lecture","32661D","001","2:00-4:20pm","Thursday","12","12","0","Mary Bendall","VKC104"
"","","","","Lecture","32663D","001","2:00-4:20pm","Friday","12","0","0","",""
"ENGL-305","Introduction to Nonfiction Writing","","4.0 units","Lecture","32830D","001","4:30-6:50pm","Wednesday","13","10","0","Anna Journey","VKC109"
"ENGL-375","Science Fiction","","4.0 units","Lecture","32665D","001","10:00-10:50am","MWF","19","18","0","Michael Du Plessis","VKC209"
"ENGL-392","Visual and Popular Culture","","4.0 units","Lecture","32667D","001","12:00-1:50pm","Mon, Wed","19","16","0","Alice Gambrell","THH203"
"ENGL-404","The Writer in the Community","","2.0-4.0 units, max 8","Lecture","32673D","001","2:00-4:20pm","Thursday","12","0","0","",""
"ENGL-405","Fiction Writing","P","4.0 units, max 8","Lecture","32674D","001","2:00-4:20pm","Monday","4","0","0","",""
"","","","","Lecture","32679D","001","4:30-6:50pm","Wednesday","12","10","0","Marianne Wiggins","THH105"
"","","","","Lecture","32680D","001","2:00-4:20pm","Thursday","12","11","0","Dana Johnson","THH109"
"ENGL-406","Poetry Writing","P","4.0 units, max 8","Lecture","32686D","001","2:00-4:20pm","Tuesday","12","11","0","Mark Irwin","VKC103"
"ENGL-407","Advanced Fiction Writing","P","4.0 units, max 8","Lecture","32841D","001","4:30-6:50pm","Monday","12","8","0","Percival Everett","THH105"
"ENGL-420","English Literature of the Middle Ages (1100-1500)","P","4.0 units","Lecture","32709D","001","10:00-11:50am","Mon, Wed","19","18","0","David Rollo","THH203"
"ENGL-421","English Literature of the 16th Century","P","4.0 units","Lecture","32710R","001","11:00-12:20pm","Tue, Thu","19","0","0","",""
"ENGL-423","English Literature of the 18th Century (1660-1780)","P","4.0 units","Lecture","32712R","001","12:30-1:50pm","Tue, Thu","19","0","0","",""
"ENGL-425","English Literature of the Victorian Age (1832-1890)","P","4.0 units","Lecture","32714D","001","10:00-11:50am","Wed, Fri","19","8","0","Erika Wright","SOS B40"
"ENGL-430","Shakespeare","","4.0 units","Lecture","32716D","001","12:00-1:50pm","Mon, Wed","19","18","0","Lawrence Green","THH213"
"","","","","Lecture","32874D","001","11:00-12:20pm","Tue, Thu","19","19","0","Thea Cervone","THH106"
