"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGR-100a","Engineering Honors Colloquium","","1.0 unit","Lecture","28501D","001","1:00-1:50pm","Friday","93","76","0","Aluizio Prata","SGM101"
"ENGR-100b","Engineering Honors Colloquium","P","1.0 unit","Lecture","28502D","001","1:00-1:50pm","Friday","33","18","0","Aluizio Prata","SGM101"
"ENGR-100c","Engineering Honors Colloquium","P","1.0 unit","Lecture","28503D","001","1:00-1:50pm","Friday","45","18","0","Aluizio Prata","SGM101"
"ENGR-100d","Engineering Honors Colloquium","P","1.0 unit","Lecture","28504D","001","1:00-1:50pm","Friday","20","9","0","Aluizio Prata","SGM101"
"ENGR-101","Introduction to Engineering","","3.0 units","Lecture","28505D","001","10:00-11:50am","Tuesday","31","24","0","Najmedin Meshkati","RTH115"
"","","","","Lab","28506D","001","10:00-11:50am","Thursday","31","24","0","Najmedin Meshkati","RTH115"
"ENGR-102","Engineering Freshman Academy","C","2.0 units","Lecture","28507R","001","11:00-12:50pm","Monday","27","26","0","Urbashi Mitra","DRB146"
"","","","","Lecture","28508D","001","3:00-4:50pm","Thursday","1","0","0","","RTH115"
"","","","","Lecture","28509R","001","12:00-1:50pm","Monday","27","27","0","Ted Lee","RTH109"
"","","","","Lecture","28510R","001","1:00-2:50pm","Monday","29","29","0","Brent Liu","RTH115"
"","","","","Lecture","28511R","001","1:00-2:50pm","Monday","28","27","0","Costas Synolakis","DRB146"
"","","","","Lecture","28512R","001","3:00-4:50pm","Monday","28","27","0","Urbashi Mitra","DRB146"
"","","","","Lecture","28513R","001","1:00-2:50pm","Thursday","28","27","0","Joseph Greenfield","DRB146"
"","","","","Lecture","28514R","001","12:00-1:50pm","Wednesday","20","19","0","Andrea Armani","DRB146"
"","","","","Lecture","28515R","001","11:00-12:50pm","Tuesday","28","27","0","Krishna Nayak, Steve Bucher","DRB146"
"","","","","Lecture","28516R","001","1:00-2:50pm","Wednesday","29","28","0","Malancha Gupta","RTH109"
"","","","","Lecture","28517R","001","3:00-4:50pm","Tuesday","28","26","0","Brent Liu","RTH115"
"","","","","Lecture","28518R","001","1:00-2:50pm","Tuesday","28","25","0","Malancha Gupta","DRB146"
"","","","","Lecture","28519R","001","10:00-11:50am","Tuesday","28","27","0","Anthony Maddox","RTH109"
"","","","","Lecture","28520D","001","3:00-4:50pm","Wednesday","30","29","0","Steve Bucher","RTH109"
"","","","","Lecture","28630R","001","10:00-11:50am","Wednesday","28","27","0","Andrea Armani","DRB146"
"","","","","Lecture","28631D","001","2:00-3:50pm","Monday","30","30","0","Ted Lee","RTH109"
"","","","","Lecture","28632R","001","12:00-1:50pm","Tuesday","28","28","0","Bhaskar Krishnamachari","RTH105"
"","","","","Lecture","28633R","001","11:00-12:50pm","Thursday","28","27","0","Anthony Maddox","DRB146"
"","","","","Lecture","28634R","001","10:00-11:50am","Wednesday","28","21","0","Erik Johnson","RTH105"
"","","","","Lecture","28635R","001","12:00-1:50pm","Wednesday","29","21","0","Krishna Nayak, Steve Bucher","RTH115"
"","","","","Lecture","28636R","001","1:00-2:50pm","Tuesday","28","23","0","Joseph Greenfield","RTH115"
"ENGR-301","Technical Entrepreneurship","","3.0 units","Lecture","14640D","001","6:00-8:50pm","Monday","54","46","0","Kathleen Allen","HOH2"
"","","","","Lecture","14641R","001","6:00-8:50pm","Monday","42","41","0","Greg Autry","BRI5"
"","","","","Lecture","14642R","001","6:00-8:50pm","Wednesday","42","42","0","Greg Autry","BRI5"
"ENGR-345","Principles and Practices of Global Innovation","","3.0 units","Lecture","28600D","001","8:00-10:00am","Wednesday","20","20","0","Ang Liu, Stephen Lu","RTH217"
"ENGR-395ax","Cooperative Education Work Experience","","1.0-2.0 units, max 5","Lecture","28521D","001","5:00-7:00pm","TuWTh","25","6","0","Louise Yates","OFFICE"
"ENGR-395bx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28522D","001","5:00-7:00pm","TuWTh","30","1","0","Louise Yates","OFFICE"
"ENGR-395cx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28523D","001","5:00-7:00pm","TuWTh","20","1","0","Louise Yates","OFFICE"
"ENGR-395dx","Cooperative Education Work Experience","P","1.0-2.0 units, max 5","Lecture","28524D","001","5:00-8:00pm","MTuWTh","85","0","0","","SGM101"
"ENGR-400","Engineering Honors Projects","M","1.0-3.0 units, max 12","Lecture","28525D","001","TBA","TBA","15","0","0","","OFFICE"
"ENGR-401x","Communicating Science and Engineering to Children","MC","3.0 units, max 6","Lecture","28576D","001","6:00-9:00pm","Tuesday","20","11","0","Tara Chklovski","KAP137"
"ENGR-490x","Directed Research","","2.0-8.0 units, max 8","Lecture","28546D","001","TBA","TBA","15","0","0","","OFFICE"
"ENGR-499","Special Topics","","2.0-4.0 units, max 8"
"","Microscope Design and Construction","","2.0","Lecture","28589D","001","3:00-4:50pm","Friday","6","0","0","Andrea Armani",""
"","Microscope Design and Construction","","3.0","Lecture","28591D","001","2:00-4:50pm","Friday","6","5","0","Andrea Armani",""
"ENGR-502x","Writing Skills for Engineering Ph.D. Students","","2.0 units, max 4","Lecture","28571R","900","3:30-5:20pm","Tue, Thu","15","5","0","Elizabeth Fife","VHE214"
"","","","","Lecture","28572R","901","3:30-5:20pm","Tue, Thu","15","10","0","Elizabeth Fife","VHE214"
"ENGR-503x","Oral Communication Skills for Engineering Ph.D. Students","","2.0 units, max 4","Lecture","28573R","902","5:00-6:50pm","Tue, Thu","15","5","0","Martha Townsend","KAP138"
"","","","","Lecture","28574R","903","5:00-6:50pm","Tue, Thu","15","1","0","Martha Townsend","KAP165"
"ENGR-596","Internship in Engineering","MC","1.0 units, max 3","Lecture","28560D","048","TBA","TBA","400","178","0","Kelly Goulis","OFFICE"
"","","","","Lecture","28561D","913","TBA","TBA","10","8","0","Kelly Goulis","OFFICE"
"","","","","Lecture","28569D","048","TBA","TBA","25","11","0","Kelly Goulis","OFFICE"
