"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EXSC-490x","Directed Research","C","2.0-8.0 units, max 8","Lecture","38487D","001","TBA","TBA","15","0","0","","OFFICE"
"EXSC-491L","Laboratory Experience in Kinesiology","P","2.0-4.0 units, max 4","Lecture-Lab","38489D","001","TBA","TBA","15","0","0","","OFFICE"
"EXSC-590","Directed Research","","1.0-12.0 units","Lecture","38500D","001","TBA","TBA","15","0","0","","OFFICE"
"EXSC-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"EXSC-690","Directed Readings","","1.0-8.0 units, max 8","Lecture","38519D","001","TBA","TBA","15","0","0","","OFFICE"
"EXSC-790","Research","","1.0-12.0 units","Lecture","38521D","001","TBA","TBA","20","0","0","","TBA"
"EXSC-794a","Doctoral Dissertation","C","2.0 units","Lecture","38523D","001","TBA","TBA","5","0","0","","TBA"
"EXSC-794b","Doctoral Dissertation","PC","2.0 units","Lecture","38524D","001","TBA","TBA","5","0","0","","TBA"
"EXSC-794c","Doctoral Dissertation","PC","2.0 units","Lecture","38525D","001","TBA","TBA","10","0","0","","TBA"
"EXSC-794d","Doctoral Dissertation","PC","2.0 units","Lecture","38526D","001","TBA","TBA","10","0","0","","TBA"
"EXSC-794z","Doctoral Dissertation","P","0.0 units","Lecture","38527D","001","TBA","TBA","10","0","0","","TBA"
