"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FA-140x","A Cultural Guide to Los Angeles","","2.0 units","Lecture-Discussion","33287D","001","1:00-3:50pm","Friday","32","13","0","Alexis Disselkoen","VKC201"
"FA-208ax","Three-Dimensional Art Workshop","","2.0 units"
"","Ceramics Workshop","","2.0","Lecture-Lab","33256D","001","12:00-1:50pm","Tuesday","20","19","0","Thomas Muller","WAH107"
"","Perceptual and Carving Skills","","2.0","Lecture-Lab","33276D","001","6:00-8:50pm","Tue, Thu","20","7","0","Julie Schustack","DEN223"
"FA-208bx","Three-Dimensional Art Workshop","P","2.0 units"
"","Ceramics Workshop","","2.0","Lecture-Lab","33250D","001","12:00-1:50pm","Tuesday","3","0","0","Thomas Muller","WAH107"
"FA-418","Independent Studies in Studio Arts","","1.0-4.0 units","Lecture","33292D","001","TBA","TBA","15","0","0","Robert Alderette","OFFICE"
"","","","","Lecture","33293D","001","TBA","TBA","15","0","0","","OFFICE"
"","","","","Lecture","33294D","001","TBA","TBA","15","0","0","Caroline Clerc","OFFICE"
"","","","","Lecture","33295D","001","TBA","TBA","15","0","0","Shannon Ebner","OFFICE"
"","","","","Lecture","33296D","001","TBA","TBA","15","0","0","Jud Fine","OFFICE"
"","","","","Lecture","33297D","001","TBA","TBA","15","0","0","Robbert Flick","OFFICE"
"","","","","Lecture","33298D","001","TBA","TBA","15","0","0","Sherin Guirguis","OFFICE"
"","","","","Lecture","33299D","001","TBA","TBA","15","0","0","Karen Koblitz","OFFICE"
"","","","","Lecture","33300D","001","TBA","TBA","15","0","0","Andrew Kutchera","OFFICE"
"","","","","Lecture","33301D","001","TBA","TBA","15","0","0","Margaret Lazzari","OFFICE"
"","","","","Lecture","33302D","001","TBA","TBA","15","0","0","Haven Lin-Kirk","OFFICE"
"","","","","Lecture","33303D","001","TBA","TBA","15","0","0","Sharon Lockhart","OFFICE"
"","","","","Lecture","33304D","001","TBA","TBA","15","0","0","Ann Page","OFFICE"
"","","","","Lecture","33305D","001","TBA","TBA","15","0","0","Julia Paull","OFFICE"
"","","","","Lecture","33306D","001","TBA","TBA","15","0","0","Frances Stark","OFFICE"
"","Tba","","1.0-4.0","Lecture","33315D","001","TBA","TBA","15","0","0","A Steiner","OFFICE"
"","Tba","","1.0-4.0","Lecture","33316D","001","TBA","TBA","15","0","0","Rochelle Steiner","OFFICE"
"","Tba","","1.0-4.0","Lecture","33317D","001","TBA","TBA","15","0","0","Ruth Weisberg","OFFICE"
"","","","","Lecture","33346D","001","TBA","TBA","15","0","0","Jennifer Greisz West","OFFICE"
"","","","","Lecture","33347D","001","TBA","TBA","15","0","0","Charles White","OFFICE"
"","","","","Lecture","33348D","001","TBA","TBA","15","1","0","Ewa Wojciak","OFFICE"
"","","","","Lecture-Lab","33349D","001","TBA","TBA","15","1","0","Jeffrey Cain","OFFICE"
"","","","","Lecture-Lab","33350D","001","TBA","TBA","15","1","0","Ruth Weisberg","OFFICE"
"FA-419","Professional Internship in the Arts","MC","2.0 units","Lecture","33290D","001","TBA","TBA","35","33","0","Penelope Jones","OFFICE"
"FA-499","Special Topics","","2.0-4.0 units"
"","Graphic Design in Fashion","","2.0","Lecture-Lab","33345D","001","2:00-4:50pm","Mon, Wed","22","20","0","Lorrie Ivas","VPD LL101A"
"FA-515","Visiting Artist Forum","","1.0 units, max 6","Lecture","33309D","001","12:00-1:50pm","Wednesday","22","17","0","A Steiner","IFT141"
"FA-520","Individual Studies","","1.0-5.0 units","Lecture-Lab","33337D","001","TBA","TBA","16","7","0","A Steiner","OFFICE"
"FA-550","Seminar: Contemporary Issues","","1.0 unit","Lecture-Lab","33308D","001","3:00-5:50pm","Thursday","16","14","0","A Steiner","IFT141"
"FA-551","Fine Art and Interdisciplinary Studies","","4.0 units","Lecture-Discussion","33411D","001","10:00-12:50pm","Friday","28","14","0","Bruce Hainley","OFFICE"
"FA-590","Directed Research","","1.0-12.0 units","Lecture","33310D","001","TBA","Tuesday","15","0","0","A Steiner","IFT109"
"","","","","Lecture","33352D","001","TBA","TBA","20","0","0","A Steiner","TBA"
"FA-594a","Master's Thesis","C","2.0 units","Lecture","33354D","001","2:00-4:50pm","Friday","15","7","0","A Steiner","IFT141"
"FA-594z","Master's Thesis","PC","0.0 units","Lecture","33392D","001","TBA","TBA","6","0","0","A Steiner","OFFICE"
