"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FADN-102","Design Fundamentals","","4.0 units","Lecture-Lab","33259D","001","9:00-11:50am","Mon, Wed","20","17","0","Alexis Zoto","HAR117"
"","","","","Lecture-Lab","33260D","001","9:00-11:50am","Tue, Thu","20","17","0","Sherin Guirguis","HAR117"
"","","","","Lecture-Lab","33261D","001","2:00-4:50pm","Mon, Wed","20","19","0","China Adams","HAR117"
"","","","","Lecture-Lab","33262D","001","2:00-4:50pm","Tue, Thu","20","18","0","Sherin Guirguis","HAR117"
"","","","","Lecture-Lab","33332D","001","6:00-8:50pm","Mon, Wed","20","19","0","China Adams","WAH105"
"","","","","Lecture-Lab","33410D","001","9:30-3:20pm","Friday","20","13","0","China Adams","HAR117"
"FADN-202","Design II","P","4.0 units","Lecture-Lab","33263D","001","9:00-11:50am","Mon, Wed","21","21","0","Ewa Wojciak","WAH105"
"","","","","Lecture-Lab","33264D","001","6:00-8:50pm","Tue, Thu","21","17","0","Stephen Child","WAH105"
"","","","","Lecture-Lab","33325D","001","9:00-11:50am","Tue, Thu","21","20","0","Osvaldo Trujillo","WAH105"
"FADN-203","Digital Tools for Design","","2.0 units","Lecture-Lab","33266D","001","6:00-7:20pm","Tue, Thu","15","14","0","Jason Ellenburg","HAR220"
"","","","","Lecture-Lab","33267D","001","9:00-11:50am","Friday","15","11","0","Osvaldo Trujillo","HAR220"
"","","","","Lecture-Lab","33324D","001","6:00-7:20pm","Mon, Wed","15","11","0","Stephen Child","HAR220"
"","","","","Lecture-Lab","33334D","001","12:00-1:20pm","Mon, Wed","16","15","0","Stephen Child","WAH105"
"","","","","Lecture-Lab","33414D","001","12:00-1:20pm","Tue, Thu","15","14","0","Jason Ellenburg","HAR112D"
"","","","","Lecture-Lab","33424D","001","2:00-4:50pm","Friday","15","10","0","Osvaldo Trujillo","HAR220"
"FADN-230","3D Design: Materials and Tools","P","4.0 units","Lecture-Lab","33331D","001","2:00-4:50pm","Mon, Wed","18","12","0","Alexis Zoto","HAR112D"
"FADN-302","Design III","P","4.0 units","Lecture-Lab","33268D","001","2:00-4:50pm","Mon, Wed","18","15","0","Jeffrey Cain","WAH105"
"","","","","Lecture-Lab","33269D","001","6:00-8:50pm","Mon, Wed","18","8","0","Jeffrey Cain","HAR112D"
"","","","","Lecture-Lab","33323D","001","9:00-11:50am","Tue, Thu","18","18","0","Andrew Kutchera","HAR112D"
"FADN-303","Web Design","P","2.0 units","Lecture-Lab","33327D","001","12:00-1:20pm","Mon, Wed","17","17","0","Jeffrey Cain","HAR112D"
"","","","","Lecture-Lab","33333D","001","6:00-7:20pm","Mon, Wed","16","12","0","Jody Zellen","WAH6"
"","","","","Lecture-Lab","33335D","001","6:00-7:20pm","Tue, Thu","16","16","0","Jeffrey Cain","HAR112D"
"FADN-323","Design Theory","","4.0 units","Lecture","33329D","001","12:00-1:50pm","Tue, Thu","20","20","0","Andrew Kutchera","WAH105"
"FADN-332a","Typography","","2.0 units","Lecture-Lab","33214D","001","2:00-4:50pm","Friday","20","18","0","Joseph Potts","WAH105"
"","","","","Lecture-Lab","33326D","001","9:00-11:50am","Friday","20","16","0","Joseph Potts","WAH105"
"FADN-332b","Typography","P","2.0 units","Lecture-Lab","33215D","001","2:00-4:50pm","Friday","20","13","0","Andrew Byrom","HAR112D"
"FADN-402","Advanced Design Projects","P","4.0 units, max 12","Lecture-Lab","33409D","001","2:00-4:50pm","Tue, Thu","21","21","0","Haven Lin-Kirk","WAH105"
"","","","","Lecture-Lab","33415D","001","9:00-11:50am","Mon, Wed","21","17","0","Andrew Kutchera","HAR112D"
"FADN-432","Special Projects in Design","PC","2.0 units, max 6","Lecture-Lab","33413D","001","9:00-11:50am","Friday","20","11","0","Ewa Wojciak","HAR112D"
