"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FADW-101","Introduction to Drawing: Studio Projects, Methods, Materials","","4.0 units","Lecture-Lab","33200D","001","9:00-11:50am","Mon, Wed","1","0","0","Richard Parker",""
"","","","","Lecture-Lab","33201D","001","9:00-11:50am","Tue, Thu","20","13","0","Margaret Lazzari","WAH118"
"","","","","Lecture-Lab","33202D","001","2:00-4:50pm","Mon, Wed","20","20","0","Jennifer Phelps","WAH118"
"","","","","Lecture-Lab","33203D","001","2:00-4:50pm","Tue, Thu","20","20","0","Marisa Mandler","WAH118"
"","","","","Lecture-Lab","33204D","001","6:00-8:50pm","Tue, Thu","20","13","0","Robert Alderette","WAH118"
"","","","","Lecture-Lab","33210D","001","6:00-8:50pm","Mon, Wed","20","20","0","David McDonald","WAH118"
"FADW-201","Intermediate Drawing","P","4.0 units","Lecture","33205D","001","9:00-11:50am","Tue, Thu","14","0","0","",""
"","","","","Lecture-Lab","33208D","001","9:00-11:50am","Tue, Thu","14","11","0","Ann Page","WAH102A"
"","","","","Lecture-Lab","33216D","001","9:00-11:50am","Mon, Wed","14","11","0","Ruth Weisberg","WAH102A"
"","","","","Lecture-Lab","33225D","001","2:00-4:50pm","Tue, Thu","14","11","0","Rachel Roske","WAH102A"
"","","","","Lecture-Lab","33226D","001","6:00-8:50pm","Tue, Thu","14","0","0","",""
"FADW-301","Advanced Drawing","P","4.0 units","Lecture-Lab","33209D","001","6:00-8:50pm","Mon, Wed","18","14","0","Jennifer Phelps","WAH102A"
"","","","","Lecture-Lab","33212D","001","2:00-4:50pm","Mon, Wed","8","2","0","David McDonald","WAH102A"
"FADW-321","Anatomical Drawing from Life","P","2.0 units","Lecture-Lab","33207D","001","2:00-4:50pm","Friday","18","12","0","Jamie Sweetman","WAH118"
"FADW-331","Studies in Drawing and Painting","C","4.0 units, max 12","Lecture-Lab","33211D","001","9:00-11:50am","Tue, Thu","10","0","0","Ann Page",""
"FADW-401","Topics in Advanced Drawing","P","4.0 units, max 12","Lecture-Lab","33213D","001","2:00-4:50pm","Mon, Wed","7","5","0","David McDonald","WAH102A"
