"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FAIN-210","Introduction to Digital Photography","","4.0 units","Lecture-Lab","33239D","001","9:00-11:50am","Mon, Wed","15","14","0","Jennifer Greisz West","HAR220"
"","","","","Lecture-Lab","33240D","001","9:00-11:50am","Tue, Thu","15","14","0","Caroline Clerc","HAR220"
"","","","","Lecture-Lab","33241D","001","2:00-4:50pm","Tue, Thu","15","12","0","Caroline Clerc","HAR220"
"","","","","Lecture-Lab","33242D","001","2:00-4:50pm","Mon, Wed","15","12","0","Peter Holzhauer","HAR220"
"FAIN-220","Introduction to Video and Time-based Experimentation","","4.0 units","Lecture-Lab","33244D","001","2:00-4:50pm","Mon, Wed","16","12","0","Jennifer Greisz West","WAH6"
"FAIN-315","Internet Studio: Online Experimentation and Expression","","4.0 units","Lecture-Lab","33247D","001","9:00-11:50am","Mon, Wed","16","14","0","Jean Robison","WAH6"
"FAIN-320","Video Studio","P","4.0 units","Lecture-Lab","33246D","001","6:00-8:50pm","Tue, Thu","16","7","0","Emilie Halpern","WAH6"
"FAIN-330","Ideas in Intermedia","","4.0 units, max 8"
"","Stand-Up Comedy and the Comedic in Contemporary Practice","","4.0","Lecture-Discussion","33248D","001","12:00-1:50pm","Mon, Wed","20","15","0","Sarah Lehrer-Graiwer","VKC254"
"FAIN-440","Post-Material Studio and Roundtable","","4.0 units, max 8","Lecture-Lab","33330D","001","6:00-8:50pm","Mon, Wed","16","16","0","Charles White","GFS212"
