"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FAPH-209","Introduction to Photography","","4.0 units","Lecture-Lab","33227D","001","9:00-11:50am","Tue, Thu","19","13","0","Robbert Flick","HAR211"
"","","","","Lecture-Lab","33228D","001","2:00-4:50pm","Mon, Wed","19","8","0","Julia Paull","HAR211"
"","","","","Lecture-Lab","33229D","001","2:00-4:50pm","Tue, Thu","19","13","0","Robbert Flick","HAR211"
"","","","","Lecture-Lab","33230D","001","6:00-8:50pm","Mon, Wed","19","13","0","Helen Kim","HAR211"
"","","","","Lecture-Lab","33231D","001","9:00-11:50am","Mon, Wed","19","12","0","Julia Paull","HAR211"
"FAPH-309a","Intermediate Photography","P","4.0 units","Lecture-Lab","33232D","001","2:00-4:50pm","Tue, Thu","15","14","0","Peter Holzhauer","IFT141"
"","","","","Lecture-Lab","33233D","001","9:00-11:50am","Mon, Wed","15","14","0","Peter Holzhauer","IFT141"
"FAPH-309b","Intermediate Photography","P","4.0 units","Lecture-Lab","33235D","001","2:00-4:50pm","Mon, Wed","16","11","0","Shannon Ebner","IFT141"
"","","","","Lecture-Lab","33238D","001","6:00-8:50pm","Mon, Wed","2","1","0","Shannon Ebner","IFT141"
"FAPH-409","Topics in Advanced Photography","P","4.0 units, max 12","Lecture-Lab","33237D","001","6:00-8:50pm","Mon, Wed","9","8","0","Shannon Ebner","IFT141"
