"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FASC-106","Sculpture I","","4.0 units","Lecture-Lab","33271D","001","2:00-4:50pm","Tue, Thu","18","16","0","Patrick Jackson","WAH108"
"","","","","Lecture-Lab","33272D","001","9:00-11:50am","Tue, Thu","18","10","0","Caroline Thomas","WAH108"
"","","","","Lecture-Lab","33273D","001","6:00-8:50pm","Mon, Wed","18","16","0","Nancy Lupo","WAH108"
"","","","","Lecture-Lab","33274D","001","2:00-4:50pm","Mon, Wed","18","14","0","Jud Fine","WAH108"
"FASC-136","Modeling and Mold Making","","2.0 units","Lecture-Lab","33270D","001","9:00-11:50am","Friday","20","7","0","Nancy Lupo","WAH108"
"FASC-206","Sculpture II","P","4.0 units","Lecture-Lab","33275D","001","9:00-11:50am","Mon, Wed","18","9","0","Jud Fine","WAH108"
"FASC-236","Metal","","2.0 units","Lecture-Lab","33278D","001","9:00-11:50am","Friday","20","14","0","Brian Olson","WAH108"
"FASC-306","Advanced Sculpture","P","4.0 units","Lecture-Lab","33281D","001","6:00-8:50pm","Tue, Thu","9","4","0","Patrick Jackson","WAH108"
"FASC-406","Topics in Advanced Sculpture","P","4.0 units, max 12","Lecture-Lab","33318D","001","6:00-8:50pm","Tue, Thu","9","7","0","Patrick Jackson","WAH108"
"FASC-436","Art and Technology","","4.0 units","Lecture-Lab","33328D","001","2:00-4:50pm","Tue, Thu","18","12","0","Ann Page","HAR112D"
