"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FBE-324","The Financial System","PC","4.0 units","Lecture","15343R","001","2:00-3:50pm","Tue, Thu","40","26","0","Fatemeh Nazarian","JKP104"
"FBE-391","Real Estate Finance and Investment","PC","4.0 units","Lecture","15305R","001","10:00-11:50am","Mon, Wed","40","32","0","Selale Tuzel","ACC205"
"","","","","Lecture","15306R","001","12:00-1:50pm","Mon, Wed","40","34","0","Selale Tuzel","HOH305"
"FBE-400x","Introduction to Real Estate Finance and Development","","4.0 units","Lecture","15314R","001","4:00-5:50pm","Mon, Wed","50","37","0","Bob Bridges","WPH B27"
"","","","","Lecture","15315R","001","4:00-5:50pm","Tue, Thu","52","48","0","Bob Bridges","ACC310"
"","","","","Lecture","15316R","001","10:00-11:50am","Tue, Thu","48","48","0","Stephen Silk","HOH303"
"FBE-403","Introduction to the Legal Environment of Business","C","4.0 units","Lecture","15320R","001","4:00-5:50pm","Mon, Wed","73","73","0","Kevin Fields","HOH2"
"FBE-421","Financial Analysis and Valuation","PC","4.0 units","Lecture","15324R","001","10:00-11:50am","Tue, Thu","75","74","0","Julia Plotts","JKP110"
"","","","","Lecture","15325R","001","12:00-1:50pm","Tue, Thu","75","74","0","Julia Plotts","JKP110"
"","","","","Lecture","15326R","001","4:00-5:50pm","Mon, Wed","70","48","0","Stephen Moyer","HOH1"
"FBE-423","Introduction to Venture Capital and Private Equity","P","4.0 units","Lecture","15328R","001","2:00-3:50pm","Mon, Wed","45","33","0","Stephen Moyer","JKP102"
"FBE-427","Real Estate Law","C","4.0 units","Lecture","15330R","001","10:00-11:50am","Mon, Wed","91","91","0","Kevin Fields","HOH EDI"
"FBE-428","Principles of Employment Law","","4.0 units","Lecture","15333R","001","2:00-3:50pm","Tue, Thu","65","26","0","Kerry Fields","HOH2"
"FBE-431","Financial Policies and Corporate Governance","P","4.0 units","Lecture","15337R","001","10:00-11:50am","Tue, Thu","40","37","0","Harry De Angelo","HOH305"
