"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FREN-020x","Course in Reading French I","","2.0 units","Lecture","34200D","001","6:00-7:40pm","Wednesday","19","5","0","Colin Keaveney","THH209"
"FREN-120","French I","","4.0 units","Lecture","34204D","001","10:00-10:50am","MTuWTh","19","19","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34206D","001","11:00-11:50am","MTuWTh","19","19","0","Jesus Garcia","WPH101"
"","","","","Lecture","34208D","001","1:00-1:50pm","MTuWTh","19","19","0","Anis Brinsi","WPH101"
"","","","","Lecture","34210D","001","2:00-2:50pm","MTuWTh","19","11","0","Jessica Kanoski","WPH101"
"","","","","Lecture","34212D","001","2:00-3:50pm","Tue, Thu","19","15","0","Pierre Cras","VKC111"
"","","","","Lecture","34214D","001","3:00-3:50pm","MTuWTh","19","8","0","Julia Chamberlin","WPH101"
"FREN-150","French II","P","4.0 units","Lecture","34220D","001","10:00-10:50am","MTuWTh","19","18","0","Mina Soroosh","THH110"
"","","","","Lecture","34222D","001","11:00-11:50am","MTuWTh","19","19","0","Paulette Chandler","THH110"
"","","","","Lecture","34224D","001","11:00-11:50am","MTuWTh","19","19","0","Guilan Siassi","VKC257"
"","","","","Lecture","34226D","001","1:00-1:50pm","MTuWTh","19","13","0","Paulette Chandler","THH110"
"","","","","Lecture","34227D","001","1:00-1:50pm","MTuWTh","19","16","0","Guilan Siassi","VKC209"
"","","","","Lecture","34228D","001","2:00-2:50pm","MTuWTh","19","17","0","Mina Soroosh","THH110"
"","","","","Lecture","34230D","001","3:00-3:50pm","MTuWTh","19","11","0","Paulette Chandler","THH110"
"","","","","Lecture","34232D","001","4:00-5:50pm","Mon, Wed","19","17","0","Mina Soroosh","THH110"
"","","","","Lecture","34234D","001","6:00-7:50pm","Mon, Wed","19","14","0","Moussa Bocoume","THH110"
"FREN-220","French III","P","4.0 units","Lecture","34240D","001","9:00-9:50am","MTuWTh","19","6","0","Paulette Chandler","THH112"
"","","","","Lecture","34242D","001","10:00-10:50am","MTuWTh","19","19","0","Guilan Siassi","THH112"
"","","","","Lecture","34244D","001","11:00-11:50am","MTuWTh","19","12","0","Mina Soroosh","VKC202"
"","","","","Lecture","34245D","001","11:00-11:50am","MTuWTh","19","8","0","Jessica Kanoski","VKC109"
"","","","","Lecture","34247D","001","1:00-1:50pm","MTuWTh","19","15","0","Julie Nack Ngue","THH112"
