"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FSEM-100","Freshman Seminar","C","2.0 units, max 4"
"","A Journey Through Central Asia","","2.0","Lecture","34601D","001","12:00-1:50pm","Monday","18","8","0","Azade-Ayse Rorlich","MRF206"
"","Technology and Environment","","2.0","Lecture","34605D","001","2:00-3:50pm","Monday","18","16","0","Najmedin Meshkati","WPH201"
"","The Art of the Comic Book","","2.0","Lecture","34606D","001","2:00-3:50pm","Monday","18","14","0","William Feuer","WPH202"
"","What Are Earthquakes and Tsunmais All About?","","2.0","Lecture","34607D","001","2:00-3:50pm","Monday","18","5","0","Henry Koffman","GFS204"
"","Who are the Israelis?","","2.0","Lecture","34608D","001","2:00-3:50pm","Monday","18","4","0","Bruce Phillips","WPH104"
"","Anne Frank Was Not Alone: Holland and the Holocaust","","2.0","Lecture","34609D","001","2:00-3:50pm","Tuesday","18","11","0","Anthony Anderson","WPH201"
"","Body Size and Shape: Fitness and Nutrition","","2.0","Lecture","34610D","001","2:00-3:50pm","Tuesday","18","14","0","Bob Girandola","WPH202"
"","Legal Reasoning and Communication","","2.0","Lecture","34611D","001","2:00-3:50pm","Tuesday","18","18","0","James Brecher","WPH104"
"","Producing Live Entertainment: A Look Behind the Curtain","","2.0","Lecture","34612D","001","2:00-3:50pm","Tuesday","18","8","0","Jeff Flowers","GFS212"
"","Poetry, Breath and Meditation","","2.0","Lecture","34614D","001","2:00-3:50pm","Wednesday","18","11","0","Susan McCabe","VKC158"
"","Science, Technology and Society","","2.0","Lecture","34615D","001","2:00-3:50pm","Wednesday","18","4","0","John Slaughter","GFS205"
"","Developing a Portfolio for a Career in Medicine","","2.0","Lecture","34616D","001","2:00-3:50pm","Wednesday","18","13","0","Erin Quinn","GFS210"
"","Writing to be Read","","2.0","Lecture","34619D","001","2:00-3:50pm","Thursday","18","11","0","Richard Fliegel","WPH201"
"","Body Politics","","2.0","Lecture","34621D","001","2:00-3:50pm","Thursday","18","12","0","Robin Romans","WPH104"
"","The Practical Uses of Monsters","","2.0","Lecture","34622D","001","2:00-3:50pm","Thursday","18","14","0","Hugh McHarg","DML241"
"","Practical Humanities and the Art of Medicine","","2.0","Lecture","34624D","001","5:00-6:50pm","Monday","18","5","0","Pamela Schaff, Erika Wright","THH117"
"","Interrogating Authenticity","","2.0","Lecture","34625R","001","5:00-6:50pm","Tuesday","18","17","0","Lanita Jacobs","KAP159"
"","Puzzles, Patterns, Games and Illusions","","2.0","Lecture","34626D","001","3:00-4:50pm","Tuesday","17","13","0","Sol Golomb","GFS205"
"","Musical Subcultures of the Sixties","","2.0","Lecture","34629D","001","4:00-5:50pm","Wednesday","18","15","0","Bill Biersach","WPH104"
"","(W)rites of Passage","","2.0","Lecture","34630D","001","4:00-5:50pm","Thursday","18","12","0","Susan Harris","WPH B28"
"","Foundations of Self for Women of Color","","2.0","Lecture","34631D","001","5:30-7:20pm","Tuesday","16","12","0","Nohelani Lawrence","GFS212"
