"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AHIS-125g","Arts of Asia: Antiquity to 1300","","4.0 units","Lecture","11838R","001","12:00-1:50pm","Mon, Wed","102","98","0","Sonya Lee","ZHS159"
"","","","","Discussion","11839R","001","9:00-9:50am","Friday","26","25","0","Yoon Hwang","VKC260"
"","","","","Discussion","11840R","001","10:00-10:50am","Friday","26","25","0","Yoon Hwang","VKC260"
"","","","","Discussion","11841R","001","11:00-11:50am","Friday","25","25","0","Rika Hiro","VKC260"
"","","","","Discussion","11842R","001","12:00-12:50pm","Friday","26","23","0","Rika Hiro","VKC260"
"AHIS-128g","Arts of Latin America","","4.0 units","Lecture","11863D","001","12:00-1:50pm","Mon, Wed","100","98","0","Daniela Bleichmar","GFS106"
"","","","","Discussion","11864D","001","9:00-9:50am","Friday","25","23","0","Alexis Clark","VKC258"
"","","","","Discussion","11865D","001","10:00-10:50am","Friday","26","23","0","Alexis Clark","VKC258"
"","","","","Discussion","11866D","001","11:00-11:50am","Friday","26","25","0","Alexis Clark","VKC258"
"","","","","Discussion","11867D","001","12:00-12:50pm","Friday","27","27","0","Alexis Clark","VKC258"
"AMST-135gm","Peoples and Cultures of the Americas","","4.0 units","Lecture","10320D","001","9:30-10:50am","Tue, Thu","155","152","0","Alicia Chavez","SGM101"
"","","","","Discussion","10321R","001","10:00-10:50am","Friday","26","26","0","Luis Rodriguez","THH217"
"","","","","Discussion","10322R","001","11:00-11:50am","Wednesday","27","27","0","Luis Rodriguez","THH B9"
"","","","","Discussion","10323D","001","12:00-12:50pm","Thursday","23","25","0","Cecilia Caballero","VKC109"
"","","","","Discussion","10324D","001","1:00-1:50pm","Thursday","23","24","0","Cecilia Caballero","SOS B52"
"","","","","Discussion","10326R","001","2:00-2:50pm","Wednesday","26","25","0","Luis Rodriguez","SOS B37"
"","","","","Discussion","10328R","001","3:00-3:50pm","Wednesday","26","25","0","Luis Rodriguez","SOS B37"
"ANTH-100g","Principles of Human Organization: Non-Western Societies","","4.0 units","Lecture","10602D","001","11:00-12:20pm","Tue, Thu","100","92","0","Eugene Cooper","GFS106"
"","","","","Discussion","10603R","001","9:00-9:50am","Tuesday","25","22","0","","GFS108"
"","","","","Discussion","10604R","001","9:00-9:50am","Thursday","26","26","0","","GFS108"
"","","","","Discussion","10605R","001","10:00-10:50am","Tuesday","25","24","0","","GFS108"
"","","","","Discussion","10606R","001","10:00-10:50am","Thursday","25","20","0","","GFS108"
"ANTH-263g","Exploring Culture Through Film","","4.0 units","Lecture","10644R","001","8:00-9:20am","Mon, Wed","116","116","0","Jennifer Cool","GFS106"
"","","","","Discussion","10645R","001","8:00-8:50am","Friday","27","27","0","","KAP163"
"","","","","Discussion","10646R","001","9:00-9:50am","Friday","30","30","0","","KAP163"
"","","","","Discussion","10647R","001","10:00-10:50am","Friday","28","28","0","","KAP163"
"","","","","Discussion","10648R","001","11:00-11:50am","Friday","29","29","0","","KAP163"
"","","","","Lecture","10653R","001","2:00-3:20pm","Tue, Thu","123","123","0","Andrei Simic","GFS106"
"","","","","Discussion","10655R","001","9:00-9:50am","Tuesday","30","30","0","","GFS222"
"","","","","Discussion","10656R","001","10:00-10:50am","Tuesday","31","31","0","","GFS222"
"","","","","Discussion","10657R","001","9:00-9:50am","Thursday","30","30","0","","GFS222"
"","","","","Discussion","10658R","001","10:00-10:50am","Thursday","31","31","0","","GFS222"
"ANTH-314g","The Nature of Maya Civilization","","4.0 units","Lecture","10667R","001","12:30-1:50pm","Tue, Thu","27","26","0","Thomas Garrison","GFS107"
"ANTH-316gm","North American Indians in American Public Life","","4.0 units","Lecture","10668R","001","12:30-1:50pm","Tue, Thu","104","103","0","Tok Thompson","GFS106"
"","","","","Discussion","10669R","001","9:00-9:50am","Tuesday","26","26","0","","GFS107"
"","","","","Discussion","10670R","001","10:00-10:50am","Tuesday","28","28","0","","GFS107"
"","","","","Discussion","10671R","001","11:00-11:50am","Wednesday","26","24","0","","LVL13"
"","","","","Discussion","10672R","001","2:00-2:50pm","Thursday","25","25","0","","WPH205"
"EALC-110g","East Asian Humanities: The Great Tradition","","4.0 units","Lecture","25420R","001","12:30-1:50pm","Tue, Thu","150","145","0","George Hayden","THH301"
"","","","","Discussion","25421R","001","9:00-9:50am","Monday","25","24","0","Giang Le","VKC256"
"","","","","Discussion","25422R","001","9:00-9:50am","Wednesday","25","24","0","Gladys Mac","VKC256"
"","","","","Discussion","25424R","001","10:00-10:50am","Monday","25","25","0","Giang Le","VKC257"
"","","","","Discussion","25425R","001","10:00-10:50am","Wednesday","25","24","0","Gladys Mac","VKC257"
"","","","","Discussion","25426R","001","9:00-9:50am","Monday","25","24","0","Wooseok Kang","VKC257"
"","","","","Discussion","25427R","001","10:00-10:50am","Wednesday","25","24","0","Wooseok Kang","VKC207"
"EALC-145g","Introduction to Chinese Culture, Art and Literature","","4.0 units","Lecture","25671R","001","11:00-12:20pm","Tue, Thu","150","147","0","Dominic Cheung","THH301"
"","","","","Discussion","25672R","001","9:00-9:50am","Monday","25","21","0","Yunwen Gao","VKC258"
"","","","","Discussion","25673R","001","10:00-10:50am","Monday","26","26","0","Yunwen Gao","VKC207"
"","","","","Discussion","25674R","001","9:00-9:50am","Tuesday","26","26","0","Li-Ping Chen","THH217"
"","","","","Discussion","25675R","001","10:00-10:50am","Tuesday","25","25","0","Li-Ping Chen","VKC261"
"","","","","Discussion","25676R","001","9:00-9:50am","Wednesday","25","25","0","Melissa Chan","VKC154"
"","","","","Discussion","25677R","001","10:00-10:50am","Wednesday","25","23","0","Melissa Chan","VKC260"
"EALC-342g","Japanese Literature and Culture","","4.0 units","Lecture","25685R","001","2:00-3:20pm","Tue, Thu","50","49","0","David Bialock","THH116"
"","","","","Discussion","25686R","001","9:00-9:50am","Monday","25","25","0","Jesse Drian","SOS B47"
"","","","","Discussion","25687R","001","10:00-10:50am","Monday","25","24","0","Jesse Drian","SOS B47"
"EALC-350g","Chinese Civilization","","4.0 units","Lecture","25565R","001","10:00-11:50am","Wed, Fri","102","102","0","Bettine Birge","WPH B27"
"","","","","Discussion","25566R","001","10:00-10:50am","Monday","26","26","0","Haiwei Liu","VKC260"
"","","","","Discussion","25586R","001","10:00-10:50am","Monday","26","26","0","Jillian Barndt","THH B10"
"","","","","Discussion","25587R","001","11:00-11:50am","Monday","25","25","0","Haiwei Liu","VKC155"
"","","","","Discussion","25667R","001","11:00-11:50am","Monday","25","25","0","Jillian Barndt","THH B10"
"EALC-352g","Chinese Literature and Culture","","4.0 units","Lecture","25466R","001","11:00-12:20pm","Tue, Thu","50","49","0","George Hayden","THH114"
"","","","","Discussion","25467R","001","9:00-9:50am","Wednesday","25","25","0","Nicolette Lee","SOS B47"
"","","","","Discussion","25468R","001","10:00-10:50am","Wednesday","25","24","0","Nicolette Lee","SOS B47"
"EASC-160gm","China and the World","","4.0 units","Lecture","25833R","001","2:00-3:20pm","Tue, Thu","202","201","0","Goldstein Joshua","THH201"
"","","","","Discussion","25819R","001","9:00-9:50am","Tuesday","25","25","0","","VKC252"
"","","","","Discussion","25823R","001","10:00-10:50am","Thursday","26","23","0","","VKC209"
"","","","","Discussion","25834R","001","10:00-10:50am","Monday","26","26","0","","THH119"
"","","","","Discussion","25835R","001","11:00-11:50am","Monday","28","28","0","","THH B9"
"","","","","Discussion","25836R","001","11:00-11:50am","Wednesday","28","28","0","","VKC260"
"","","","","Discussion","25837R","001","1:00-1:50pm","Wednesday","27","27","0","","VKC252"
"","","","","Discussion","25838R","001","10:00-10:50am","Friday","27","26","0","","THH110"
"","","","","Discussion","25839R","001","11:00-11:50am","Friday","27","18","0","","VKC154"
"HIST-105g","The Korean Past","","4.0 units","Lecture","36940D","001","12:30-1:50pm","Tue, Thu","48","41","0","Kyung Hwang","WPH B28"
"","","","","Discussion","36942R","001","9:00-9:50am","Friday","25","17","0","Kevin Wilson","VKC160"
"","","","","Discussion","36943R","001","10:00-10:50am","Friday","25","24","0","Kevin Wilson","VKC252"
"HIST-106g","Chinese Lives: An Introduction to Chinese History","","4.0 units","Lecture","36950D","001","9:30-10:50am","Tue, Thu","1","0","0","Brett Sheehan",""
"HIST-180g","The Middle East","","4.0 units","Lecture","36970D","001","9:30-10:50am","Tue, Thu","50","40","0","Ramzi Rouighi","VKC150"
"","","","","Discussion","36971R","001","9:00-9:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"","","","","Discussion","36972R","001","10:00-10:50am","Friday","25","20","0","Hamish Cameron","VKC154"
"HIST-266g","Business and East Asian Culture, 1800-Present","","4.0 units","Lecture","36955D","001","9:30-10:50am","Tue, Thu","100","95","0","Brett Sheehan","THH102"
"","","","","Discussion","36956R","001","8:00-8:50am","Friday","25","21","0","Brett Sheehan","VKC206"
"","","","","Discussion","36957R","001","9:00-9:50am","Friday","25","25","0","Brett Sheehan","VKC206"
"","","","","Discussion","36958R","001","10:00-10:50am","Friday","25","25","0","Brett Sheehan","VKC201"
"","","","","Discussion","36959R","001","11:00-11:50am","Friday","25","24","0","Brett Sheehan","VKC201"
"HIST-271g","Early Native American Stories","","4.0 units","Lecture","37135D","001","12:00-1:50pm","Mon, Wed","125","119","0","Peter Mancall","MRF340"
"","","","","Discussion","37138D","001","8:00-8:50am","Friday","2","1","0","",""
"","","","","Discussion","37141R","001","8:00-8:50am","Friday","25","24","0","Michael Block","VKC154"
"","","","","Discussion","37143R","001","9:00-9:50am","Friday","25","23","0","Heather Daly","VKC158"
"","","","","Discussion","37144R","001","9:00-9:50am","Friday","25","23","0","Michael Block","VKC151"
"","","","","Discussion","37145R","001","10:00-10:50am","Friday","25","24","0","Heather Daly","VKC158"
"","","","","Discussion","37147R","001","12:00-12:50pm","Friday","25","24","0","Heather Daly","VKC200"
