"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOG-255","American Environmentalism","","4.0 units","Lecture","35654R","001","9:00-9:50am","MWF","25","8","0","Rod Mc Kenzie","WPH107"
"GEOG-257g","Environment and Ethics","","4.0 units","Lecture","35655R","001","1:00-1:50pm","MWF","52","52","0","Rod Mc Kenzie","THH116"
"","","","","Discussion","35656R","001","2:00-2:50pm","Tuesday","25","24","0","Rod Mc Kenzie","THH215"
"","","","","Discussion","35657R","001","2:00-2:50pm","Wednesday","28","28","0","Rod Mc Kenzie","THH106"
"GEOG-345","Conservation of Natural Resources","","4.0 units","Lecture","35691R","001","11:00-11:50am","MWF","24","6","0","Rod Mc Kenzie","SOS B47"
"GEOG-593","Practicum in Teaching the Liberal Arts","","2.0 units","Lecture","42297R","001","TBA","TBA","275","87","0","","OFFICE"
"GEOG-790","Research","","1.0-12.0 units","Lecture","35781D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794a","Doctoral Dissertation","","2.0 units","Lecture","35783D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794b","Doctoral Dissertation","P","2.0 units","Lecture","35786D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794c","Doctoral Dissertation","P","2.0 units","Lecture","35789D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794d","Doctoral Dissertation","P","2.0 units","Lecture","35792D","001","TBA","TBA","5","0","0","","OFFICE"
"GEOG-794z","Doctoral Dissertation","P","0.0 units","Lecture","35795D","001","TBA","TBA","10","2","0","","OFFICE"
