"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GEOL-105Lg","Planet Earth","","4.0 units","Lecture","24800R","001","2:00-2:50pm","MWF","180","177","0","Gregory Davis, John Platt","SAL101"
"","","","","Lab","24802R","001","8:00-9:50am","Tuesday","20","20","0","Haoran Xia","ZHS B56"
"","","","","Lab","24804R","001","8:00-9:50am","Wednesday","20","20","0","Hannah Liddy","ZHS B56"
"","","","","Lab","24806R","001","10:00-11:50am","Tuesday","20","20","0","William Schmidt","ZHS B56"
"","","","","Lab","24810R","001","10:00-11:50am","Friday","20","19","0","William Schmidt","ZHS B56"
"","","","","Lab","24812R","001","12:00-1:50pm","Thursday","20","20","0","Hannah Liddy","ZHS B56"
"","","","","Lab","24816R","001","12:00-1:50pm","Friday","20","20","0","William Schmidt","ZHS B56"
"","","","","Lab","24818R","001","2:00-3:50pm","Tuesday","20","18","0","Haoran Xia","ZHS B56"
"","","","","Lab","24860R","001","2:00-3:50pm","Thursday","21","20","0","Hannah Liddy","ZHS B56"
"","","","","Lab","24878R","001","4:00-5:50pm","Tuesday","20","20","0","Haoran Xia","ZHS B56"
"GEOL-107Lg","Oceanography","","4.0 units","Lecture","24828R","001","9:00-9:50am","MWF","182","180","0","Steve Lund","THH201"
"","","","","Lab","24832R","001","8:00-9:50am","Thursday","21","20","0","Rachel Lippoldt","ZHS B61"
"","","","","Lab","24834R","001","10:00-11:50am","Tuesday","20","19","0","Paulina Pinedo Gonzalez","ZHS B61"
"","","","","Lab","24836R","001","10:00-11:50am","Thursday","22","20","0","Mong Wu","ZHS B61"
"","","","","Lab","24840R","001","12:00-1:50pm","Wednesday","21","21","0","Rachel Lippoldt","ZHS B61"
"","","","","Lab","24842R","001","2:00-3:50pm","Friday","20","19","0","Rachel Lippoldt","ZHS B61"
"","","","","Lab","24846R","001","4:00-5:50pm","Tuesday","20","20","0","Paulina Pinedo Gonzalez","ZHS B61"
"","","","","Lab","24847R","001","2:00-3:50pm","Tuesday","20","19","0","Paulina Pinedo Gonzalez","ZHS B61"
"","","","","Lab","24849R","001","2:00-3:50pm","Thursday","20","20","0","Mong Wu","ZHS B61"
"","","","","Lab","24850R","001","4:00-5:50pm","Thursday","22","22","0","Mong Wu","ZHS B61"
"GEOL-108Lg","Crises of a Planet","","4.0 units","Lecture","24858R","001","11:00-12:20pm","Tue, Thu","180","178","0","Thorsten Becker","SAL101"
"","","","","Lab","24863R","001","8:00-9:50am","Wednesday","20","20","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24865R","001","8:00-9:50am","Friday","20","19","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24866R","001","10:00-11:50am","Wednesday","21","21","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24867R","001","10:00-11:50am","Friday","20","19","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24868R","001","12:00-1:50pm","Wednesday","20","19","0","Jessica Donovan","ZHS B54"
"","","","","Lab","24870R","001","12:00-1:50pm","Friday","20","20","0","Guang-Sin Lu, Jessica Donovan","ZHS B54"
"","","","","Lab","24872R","001","2:00-3:50pm","Tuesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"","","","","Lab","24874R","001","2:00-3:50pm","Wednesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"","","","","Lab","24880R","001","4:00-5:50pm","Tuesday","20","20","0","Jessica Donovan, Michael Kaplan","ZHS B54"
"GEOL-125Lg","Earth History: A Planet and Its Evolution","","4.0 units","Lecture","24890R","001","2:00-3:20pm","Tue, Thu","120","120","0","David Bottjer","SAL101"
"","","","","Lab","24892R","001","8:00-9:50am","Thursday","20","20","0","Nathan Carroll","ZHS B56"
"","","","","Lab","24894R","001","10:00-11:50am","Wednesday","21","21","0","Nathan Carroll","ZHS B56"
"","","","","Lab","24896R","001","10:00-11:50am","Thursday","21","21","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24898R","001","12:00-1:50pm","Tuesday","20","18","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24900R","001","12:00-1:50pm","Wednesday","20","20","0","Carlie Pietsch","ZHS B56"
"","","","","Lab","24902R","001","2:00-3:50pm","Wednesday","20","20","0","Nathan Carroll","ZHS B56"
"GEOL-130Lg","The Nature of Scientific Inquiry","","4.0 units","Lecture","24904R","001","9:30-10:50am","Tue, Thu","180","144","0","Scott Paterson","SGM123"
"","","","","Lab","24906R","001","8:00-9:50am","Wednesday","20","18","0","Snir Attia, William Eymold","ZHS B61"
"","","","","Lab","24907R","001","8:00-9:50am","Friday","20","6","0","Katie Ardill","ZHS B61"
"","","","","Lab","24908R","001","10:00-11:50am","Wednesday","20","20","0","Snir Attia, William Eymold","ZHS B61"
"","","","","Lab","24909R","001","10:00-11:50am","Friday","20","12","0","Snir Attia, William Eymold","ZHS B61"
"","","","","Lab","24910R","001","12:00-1:50pm","Tuesday","20","20","0","Katie Ardill","ZHS B61"
"","","","","Lab","24912R","001","12:00-1:50pm","Thursday","20","19","0","Snir Attia, William Eymold","ZHS B61"
"","","","","Lab","24913R","001","12:00-1:50pm","Friday","20","9","0","Snir Attia, William Eymold","ZHS B61"
"","","","","Lab","24914R","001","2:00-3:50pm","Wednesday","20","20","0","Katie Ardill","ZHS B61"
"","","","","Lab","24916R","001","4:00-5:50pm","Wednesday","20","20","0","Snir Attia, William Eymold","ZHS B61"
"GEOL-150Lg","Climate Change","","4.0 units","Lecture","24920R","001","10:00-10:50am","MWF","180","78","0","Lowell Stott","SAL101"
"","","","","Lab","24924R","001","8:00-9:50am","Tuesday","1","0","0","",""
"","","","","Lab","24926R","001","8:00-9:50am","Thursday","20","0","0","",""
"","","","","Lab","24928R","001","10:00-11:50am","Tuesday","20","15","0","Jun Shao","ZHS B54"
"","","","","Lab","24930R","001","10:00-11:50am","Thursday","20","10","0","Jun Shao",""
"","","","","Lab","24931R","001","12:00-1:50pm","Tuesday","20","8","0","Jianghao Wang","ZHS B54"
"","","","","Lab","24932R","001","12:00-1:50pm","Thursday","20","0","0","",""
"","","","","Lab","24934R","001","2:00-3:50pm","Thursday","20","10","0","Jianghao Wang","ZHS B54"
"","","","","Lab","24935R","001","2:00-3:50pm","Friday","20","16","0","Jun Shao","ZHS B54"
"","","","","Lab","24936R","001","4:00-5:50pm","Wednesday","20","19","0","Jianghao Wang","ZHS B54"
"GEOL-240Lg","Earthquakes","","4.0 units","Lecture","24950D","001","12:30-1:50pm","Tue, Thu","240","213","0","James Dolan","SAL101"
"","","","","Lab","24952R","001","8:00-9:50am","Tuesday","20","17","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24954R","001","8:00-9:50am","Wednesday","20","17","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24956R","001","8:00-9:50am","Friday","21","12","0","Xin Liu","ZHS B63"
"","","","","Lab","24958R","001","10:00-11:50am","Tuesday","20","20","0","Jessica Grenader","ZHS B63"
"","","","","Lab","24960R","001","10:00-11:50am","Wednesday","20","20","0","Yaman Ozakin","ZHS B63"
