"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"GERO-200","Gerontology: The Science of Adult Development","","4.0 units","Lecture","36200R","001","TBA","TBA","70","68","0","John Walsh","ONLINE"
"GERO-310","Physiology of Aging","P","4.0 units","Lecture","36210R","001","10:00-11:50am","Mon, Wed","35","21","0","John Walsh","VKC203"
"GERO-320","Psychology of Adult Development","","4.0 units","Lecture","36220R","001","2:00-4:50pm","Monday","35","27","0","George Shannon, Aaron Hagedorn","KAP144"
"GERO-330","Society and Adult Development","","4.0 units","Lecture","36225R","001","2:00-4:50pm","Tuesday","30","19","0","George Shannon, Aaron Hagedorn","GFS223"
"GERO-350","Administrative Problems in Aging","","2.0-4.0 units","Lecture","36235R","001","2:00-4:50pm","Thursday","20","11","0","Kathleen Wilber","GER125"
"GERO-380m","Diversity in Aging","","4.0 units","Lecture","36242R","001","TBA","TBA","175","164","0","Julie Bates, Tameka Brown, George Shannon</a>","ONLINE"
"GERO-411L","Physiology, Nutrition, and Aging","","2.0-4.0 units","Lecture-Lab","36243R","001","4:00-5:50pm","Tuesday","20","7","0","Carin Kreutzer","GER305"
"GERO-435m","Women and Aging: Psychological, Social, and Political Implications","","4.0 units","Lecture","36245R","001","10:00-11:50am","Tue, Thu","16","10","0","Morgan Levine","HED103"
"GERO-461","Seminar in Molecular and Computational Biology","C","2.0 units"
"","Imaging Cells: Applications of Microscopy to Cell Biology","","2.0","Lecture","13056D","001","4:00-5:50pm","Tuesday","15","5","0","Donald Arnold","RRI221"
"GERO-483","Global Health and Aging","","4.0 units","Lecture","36257R","001","TBA","TBA","20","12","0","Aaron Hagedorn","OFFICE"
"GERO-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","36280D","001","TBA","TBA","15","0","0","","OFFICE"
"GERO-491","Practicum","","2.0-8.0 units, max 8","Lecture","36282D","001","TBA","TBA","15","5","0","Anna Nguyen","OFFICE"
"GERO-495","Practicum in Geriatric Care","","4.0 units","Lecture","36290R","001","9:00-11:50am","Wednesday","15","3","0","Ed Schneider","OFFICE"
"GERO-497a","Honors Seminar","M","2.0 units","Lecture","36292D","001","TBA","TBA","10","1","0","Aaron Hagedorn","OFFICE"
"GERO-497b","Honors Seminar","PM","2.0 units","Lecture","36293D","001","TBA","TBA","10","2","0","Aaron Hagedorn","OFFICE"
"GERO-497c","Honors Seminar","PM","2.0-4.0 units","Lecture","36294D","001","TBA","TBA","10","0","0","Aaron Hagedorn","OFFICE"
"GERO-499","Special Topics","","2.0-4.0 units, max 8"
"","The Retirement 2.0- Preparing for a new life stage","","2.0","Lecture","36296R","001","2:00-3:50pm","Thursday","20","3","0","Helen Dennis","GER305"
"GERO-500","Perspectives on a Changing Society: An Introduction to Aging","","4.0 units","Lecture","36297R","001","10:00-12:50pm","Tuesday","20","13","0","Aaron Hagedorn","GER230"
"","","","","Lecture","36300R","607","TBA","TBA","40","34","0","Aaron Hagedorn","ONLINE"
"GERO-501","Applied Legal and Regulatory Issues in Aging","","4.0 units","Lecture","36299R","607","TBA","TBA","25","22","0","Julia Walsh","ONLINE"
"","","","","Lecture","36298R","001","10:00-12:50pm","Friday","20","4","0","Julia Walsh","GER230"
"GERO-502","Marketing and Shifts in Consumer Decision Making","","4.0 units","Lecture","36302R","607","TBA","TBA","25","19","0","Gregory Bearce, Ronald Schaefer","ONLINE"
"","","","","Lecture","36301R","001","4:00-6:50pm","Wednesday","15","5","0","Gregory Bearce, Ronald Schaefer","GER230"
"GERO-507","End of Life Care","","4.0 units","Lecture","36307R","607","TBA","TBA","35","30","0","Susan Enguidanos","ONLINE"
"","","","","Lecture","36306R","001","9:00-11:50am","Wednesday","20","5","0","Susan Enguidanos","GER230"
"GERO-520","Life Span Developmental Psychology","","2.0-4.0 units","Lecture","36317R","001","2:00-4:50pm","Thursday","30","17","0","Cleopatra Abdou","GER230"
"","","","","Lecture","36318D","607","TBA","TBA","50","43","0","Cleopatra Abdou","ONLINE"
"GERO-540","Social Policy and Aging","","4.0 units","Lecture","36333R","001","2:00-4:50pm","Monday","27","18","0","Jon Pynoos","GER230"
"","","","","Lecture","36334R","607","TBA","TBA","41","40","0","Jon Pynoos","ONLINE"
"GERO-541","Health Care Delivery Models: Comparative Approaches","","4.0 units","Lecture","36336R","607","TBA","TBA","25","6","0","Sally Ramirez","TBA"
"","","","","Lecture","36335R","001","5:00-7:50pm","Tuesday","20","4","0","Sally Ramirez",""
"GERO-543","Continuum of Care: Systems Perspective","","4.0 units","Lecture","36341R","607","TBA","TBA","20","4","0","Monika White","ONLINE"
"","","","","Lecture","36340R","001","1:00-3:50pm","Tuesday","20","0","0","Monika White","GER230"
"GERO-555","Integrating Gerontology: A Multidisciplinary Approach","","4.0 units","Lecture","36350R","001","1:00-3:50pm","Monday","25","8","0","Elizabeth Zelinski","GER125"
"GERO-589","Case Studies in Leadership and Change Management","","4.0 units","Lecture","36354R","607","TBA","TBA","35","28","0","Ed Schneider","ONLINE"
"","","","","Lecture","36355R","001","9:00-11:50am","Monday","30","17","0","Ed Schneider","GER230"
"GERO-590","Directed Research","","1.0-12.0 units","Lecture","36360D","001","TBA","TBA","15","5","0","Susan Enguidanos, Aaron Hagedorn, Jon Pynoos","OFFICE"
"GERO-591","Field Practicum","","2.0-12.0 units, max 12","Lecture","36365D","001","10:00-11:50am","Thursday","25","9","0","Anna Nguyen","OFFICE"
"GERO-592","Multidisciplinary Research Seminar in Aging","","2.0 units, max 8","Lecture","36367D","001","10:00-11:50am","Tuesday","25","11","0","Eileen Crimmins","GER125"
